参数分类,字段名称,字段类型,是否必需,数据来源,计算方法,自动化解读用途,参考范围,解读能力等级
ADA核心指标,report_id,VARCHAR_32,必需,系统生成,UUID生成,报告标识,UUID格式,基础
ADA核心指标,time_in_range_70_180,DECIMAL_4_1,必需,CGM计算,70-180mg/dL时间百分比,血糖控制质量,>70%为目标,基础
ADA核心指标,time_below_range_54_69,DECIMAL_4_1,必需,CGM计算,54-69mg/dL时间百分比,轻度低血糖风险,<4%为目标,基础
ADA核心指标,time_below_range_under_54,DECIMAL_4_1,必需,CGM计算,<54mg/dL时间百分比,严重低血糖风险,<1%为目标,基础
ADA核心指标,time_above_range_181_250,DECIMAL_4_1,必需,CGM计算,181-250mg/dL时间百分比,轻度高血糖,<25%为目标,基础
ADA核心指标,time_above_range_over_250,DECIMAL_4_1,必需,CGM计算,>250mg/dL时间百分比,严重高血糖,<5%为目标,基础
ADA核心指标,average_glucose,DECIMAL_4_1,必需,CGM计算,所有血糖值均值,整体控制水平,4.4-10.0mmol/L,基础
ADA核心指标,coefficient_of_variation,DECIMAL_4_1,必需,CGM计算,标准差/均值*100%,血糖变异性,<36%为目标,基础
ADA核心指标,glucose_management_indicator,DECIMAL_4_2,必需,CGM计算,基于均值估算HbA1c,长期控制估计,<7.0%为目标,基础
时间模式分析,dawn_phenomenon_detected,BOOLEAN,必需,CGM时间分析,4-8点vs2-4点血糖差值>2mmol/L,黎明现象识别,布尔值,中级
时间模式分析,dawn_phenomenon_magnitude,DECIMAL_4_1,必需,CGM时间分析,清晨血糖升高幅度,黎明现象严重程度,mmol/L,中级
时间模式分析,nocturnal_hypoglycemia_risk,TINYINT,必需,CGM时间分析,22-6点低血糖频率等级,夜间安全评估,0:无;1:低;2:中;3:高,中级
时间模式分析,postprandial_pattern_breakfast,TINYINT,必需,CGM模式识别,6-11点血糖峰值模式,早餐后血糖模式,0:正常;1:轻度;2:中度;3:重度,中级
时间模式分析,postprandial_pattern_lunch,TINYINT,必需,CGM模式识别,11-16点血糖峰值模式,午餐后血糖模式,0:正常;1:轻度;2:中度;3:重度,中级
时间模式分析,postprandial_pattern_dinner,TINYINT,必需,CGM模式识别,16-22点血糖峰值模式,晚餐后血糖模式,0:正常;1:轻度;2:中度;3:重度,中级
时间模式分析,weekend_weekday_difference,DECIMAL_4_1,必需,CGM时间分析,周末vs工作日血糖均值差,生活方式影响,mmol/L差值,中级
时间模式分析,sleep_glucose_stability,DECIMAL_4_1,必需,CGM时间分析,22-6点血糖CV,夜间血糖稳定性,CV值,中级
异常事件检测,severe_hypoglycemia_episodes,INT,必需,CGM事件检测,<54mg/dL持续>15分钟次数,严重低血糖事件,次数,高级
异常事件检测,prolonged_hypoglycemia_episodes,INT,必需,CGM事件检测,<70mg/dL持续>120分钟次数,持续低血糖事件,次数,高级
异常事件检测,severe_hyperglycemia_episodes,INT,必需,CGM事件检测,>300mg/dL持续>30分钟次数,严重高血糖事件,次数,高级
异常事件检测,glucose_variability_spikes,INT,必需,CGM变异分析,1小时内变化>5mmol/L次数,血糖急剧变化,次数,高级
异常事件检测,rebound_hyperglycemia_episodes,INT,必需,CGM模式识别,低血糖后4-8h内高血糖次数,反弹性高血糖,次数,高级
模式识别高级,mean_amplitude_glucose_excursions,DECIMAL_5_2,必需,CGM变异计算,血糖波动幅度MAGE,血糖波动评估,<3.9mmol/L,高级
模式识别高级,low_blood_glucose_index,DECIMAL_4_2,必需,CGM风险计算,低血糖风险指数LBGI,低血糖风险量化,<1.1,高级
模式识别高级,high_blood_glucose_index,DECIMAL_4_2,必需,CGM风险计算,高血糖风险指数HBGI,高血糖风险量化,<4.5,高级
模式识别高级,glucose_entropy,DECIMAL_6_3,必需,CGM复杂性分析,血糖序列熵值计算,血糖模式混乱度,熵值,专家级
模式识别高级,circadian_rhythm_score,DECIMAL_4_2,必需,CGM节律分析,24小时血糖节律评分,昼夜节律评估,0-1评分,专家级
预测性指标,hypoglycemia_risk_score,DECIMAL_4_2,必需,CGM风险建模,基于历史模式预测低血糖风险,低血糖预警,0-1评分,专家级
预测性指标,hyperglycemia_risk_score,DECIMAL_4_2,必需,CGM风险建模,基于历史模式预测高血糖风险,高血糖预警,0-1评分,专家级
预测性指标,glucose_trend_slope_current,DECIMAL_6_3,必需,CGM趋势分析,当前血糖变化斜率,短期趋势预测,mg/dL/min,专家级
预测性指标,glucose_stability_forecast,DECIMAL_4_2,必需,CGM稳定性模型,未来4小时稳定性预测,血糖稳定性预测,0-1评分,专家级
数据质量评估,data_sufficiency_percentage,DECIMAL_4_1,必需,CGM数据统计,有效数据点百分比,数据可靠性,>70%为可靠,基础
数据质量评估,sensor_signal_loss_episodes,INT,必需,CGM数据统计,信号丢失>30分钟次数,数据完整性,次数,基础
数据质量评估,glucose_readings_per_day_avg,DECIMAL_4_1,必需,CGM数据统计,日均血糖读数,数据密度,次/天,基础
数据质量评估,calibration_deviation_avg,DECIMAL_4_2,非必需,CGM准确性分析,校准偏差均值,数据准确性,mg/dL,中级
时间窗口分析,fasting_glucose_pattern,DECIMAL_4_1,必需,CGM模式识别,空腹血糖模式(连续6小时无峰值),空腹血糖评估,mmol/L,中级
时间窗口分析,postprandial_duration_avg,INT,必需,CGM时长分析,餐后血糖恢复到基线平均时长,餐后恢复能力,分钟,中级
时间窗口分析,glucose_excursion_frequency,INT,必需,CGM波动分析,血糖偏离目标范围频率,血糖稳定性,次/天,中级
时间窗口分析,rapid_glucose_changes,INT,必需,CGM变化率分析,快速血糖变化(>3mg/dL/min)次数,血糖控制稳定性,次数,高级
个性化评估,glucose_pattern_consistency,DECIMAL_4_2,必需,CGM一致性分析,日间血糖模式一致性评分,生活规律性推断,0-1评分,高级
个性化评估,meal_response_variability,DECIMAL_4_2,必需,CGM餐后分析,餐后血糖反应变异性,饮食/用药一致性推断,CV值,高级
个性化评估,stress_response_indicator,DECIMAL_4_2,必需,CGM应激分析,血糖异常波动频率,应激状态推断,0-1评分,专家级
个性化评估,insulin_sensitivity_estimate,DECIMAL_4_2,必需,CGM敏感性分析,基于血糖下降速率估算,胰岛素敏感性推断,相对值,专家级
安全性评估,hypoglycemia_unawareness_indicator,DECIMAL_4_2,必需,CGM低血糖分析,低血糖时血糖下降斜率,低血糖感知能力,斜率值,高级
安全性评估,nocturnal_safety_score,DECIMAL_4_2,必需,CGM夜间分析,夜间血糖安全性综合评分,夜间安全评估,0-1评分,高级
安全性评估,exercise_response_pattern,TINYINT,非必需,CGM活动推断,基于血糖下降模式推断运动,运动血糖反应,0:无;1:轻;2:中;3:重,专家级
报告生成支持,glucose_trend_summary,TEXT,必需,CGM趋势汇总,血糖趋势文字描述,自动化报告生成,文本描述,基础
报告生成支持,pattern_recognition_summary,TEXT,必需,CGM模式汇总,识别到的血糖模式汇总,模式解读报告,文本描述,中级
报告生成支持,risk_alert_summary,TEXT,必需,CGM风险汇总,风险提醒文字汇总,风险评估报告,文本描述,高级
报告生成支持,clinical_recommendation_priority,JSON,必需,CGM建议生成,基于分析结果的建议优先级,临床建议排序,JSON格式,专家级
