临床场景,指标名称,指标简写,数据类型,时间窗口,计算方法,临床意义,正常参考值,异常阈值,临床警示级别,解读建议
夜间低血糖,夜间低血糖指数,NLGI,DECIMAL_5_2,22:00-06:00,夜间<3.9mmol/L的加权风险指数,夜间低血糖风险量化,<2.0,>5.0为高风险,高危,需要紧急评估基础胰岛素
夜间低血糖,夜间血糖最低值,NGMin,DECIMAL_4_1,22:00-06:00,夜间时段的最低血糖值,夜间安全底线,>4.0mmol/L,<3.0为危险,紧急,立即调整治疗方案
夜间低血糖,夜间低血糖持续时间,NHLT,INT,22:00-06:00,<3.9mmol/L的累计分钟数,低血糖暴露时间,<30分钟,>120分钟为严重,高危,评估基础胰岛素过量
夜间低血糖,夜间低血糖频次,NHLF,INT,22:00-06:00,夜间低血糖事件发生次数,低血糖事件密度,<2次/周,>5次/周为频繁,高危,需要降低胰岛素剂量
夜间低血糖,夜间血糖下降速率,NGDR,DECIMAL_6_3,22:00-06:00,夜间血糖下降的最大速率,血糖下降危险性,>-0.5mmol/L/h,<-2.0为急降,中危,检查胰岛素作用时间
夜间低血糖,夜间血糖稳定系数,NGSC,DECIMAL_4_2,22:00-06:00,夜间血糖CV的倒数,夜间血糖稳定性,>0.8,<0.5为不稳定,中危,优化基础胰岛素方案
夜间低血糖,睡前血糖安全指数,BESI,DECIMAL_4_2,21:00-23:00,睡前血糖与夜间最低值的比值,睡前血糖预测性,>1.8,<1.3为不安全,中危,调整睡前血糖目标
夜间低血糖,夜间反跳指数,NRI,DECIMAL_5_2,夜间低血糖后2-6h,低血糖后的血糖反跳幅度,Somogyi现象评估,<3.0mmol/L,>5.0为明显反跳,中危,识别Somogyi现象
黎明现象,黎明血糖上升幅度,DPM,DECIMAL_5_2,04:00-08:00,清晨血糖上升的最大幅度,黎明现象强度,<2.0mmol/L,>3.5为显著,中危,调整基础胰岛素时间
黎明现象,黎明上升斜率,DPS,DECIMAL_6_3,04:00-08:00,黎明血糖上升的平均斜率,黎明现象速度,<0.8mmol/L/h,>1.5为陡峭,中危,考虑胰岛素泵治疗
黎明现象,黎明现象持续时间,DPD,INT,04:00-10:00,血糖持续上升的时间,黎明现象延续性,<3小时,>5小时为延长,低危,优化早餐胰岛素时间
黎明现象,黎明峰值时间,DPT,TIME,04:00-10:00,黎明血糖达到峰值的时间,黎明现象时相,06:00-08:00,异常偏移为时相紊乱,低危,评估生物钟节律
黎明现象,清晨基础需求指数,MBRI,DECIMAL_4_2,04:00-08:00,清晨vs其他时段的胰岛素需求比,基础胰岛素需求变化,1.0-1.3,>1.8为需求高,中危,增加清晨基础胰岛素
餐后高血糖,餐后血糖峰值,PPGPeak,DECIMAL_5_2,餐后0-4小时,餐后最高血糖值,餐后血糖控制,<10.0mmol/L,>13.0为控制差,中危,调整餐时胰岛素剂量
餐后高血糖,餐后血糖增量,PPGI,DECIMAL_5_2,餐后0-2小时,餐后峰值-餐前基线,餐后血糖反应,<3.9mmol/L,>5.0为反应过度,中危,优化胰岛素碳水比
餐后高血糖,餐后达峰时间,PPGT,INT,餐后0-4小时,从用餐到血糖峰值的时间,胰岛素作用匹配,60-120分钟,>180分钟为延迟,低危,调整胰岛素注射时机
餐后高血糖,餐后恢复时间,PPRT,INT,餐后0-6小时,从峰值恢复到基线的时间,餐后恢复能力,<180分钟,>300分钟为恢复慢,中危,评估胰岛素作用时间
餐后高血糖,餐后曲线下面积,PPGAUC,DECIMAL_8_2,餐后0-4小时,餐后血糖曲线下面积,餐后血糖总负荷,<目标AUC,显著超标为负荷过大,中危,综合评估餐后控制
餐后高血糖,餐后血糖变异,PPGCV,DECIMAL_4_1,餐后0-4小时,餐后时段血糖的变异系数,餐后血糖稳定性,<25%,>40%为不稳定,低危,评估餐食一致性
餐后高血糖,早餐后控制指数,BPCI,DECIMAL_4_2,早餐后0-4小时,早餐后血糖控制质量评分,早餐后血糖管理,>0.7,<0.4为控制差,中危,优化早餐管理方案
餐后高血糖,午餐后控制指数,LPCI,DECIMAL_4_2,午餐后0-4小时,午餐后血糖控制质量评分,午餐后血糖管理,>0.7,<0.4为控制差,中危,优化午餐管理方案
餐后高血糖,晚餐后控制指数,DPCI,DECIMAL_4_2,晚餐后0-4小时,晚餐后血糖控制质量评分,晚餐后血糖管理,>0.7,<0.4为控制差,中危,优化晚餐管理方案
餐后高血糖,餐间血糖稳定指数,IMGSI,DECIMAL_4_2,餐后4h-下餐前1h,餐间血糖稳定性评分,基础胰岛素效果,>0.8,<0.5为不稳定,中危,评估基础胰岛素充足性
运动低血糖,运动后低血糖风险,EHLR,DECIMAL_4_2,运动后0-12小时,运动后低血糖风险评分,运动相关低血糖,<0.3,>0.6为高风险,高危,调整运动前胰岛素或加餐
运动低血糖,延迟低血糖指数,DLGI,DECIMAL_5_2,运动后4-12小时,运动后延迟低血糖指数,延迟性低血糖,<2.0,>4.0为高风险,高危,睡前血糖监测加强
运动低血糖,运动血糖下降幅度,EGDD,DECIMAL_5_2,运动中及后2小时,运动导致的血糖下降幅度,运动血糖反应,2.0-4.0mmol/L,>6.0为反应过度,中危,运动前预防性措施
运动低血糖,运动血糖恢复指数,EGRI,DECIMAL_4_2,运动后0-4小时,运动后血糖恢复能力,血糖恢复能力,>0.7,<0.4为恢复差,中危,评估肝糖原储备
压力高血糖,应激血糖指数,SGI,DECIMAL_5_2,应激期间,应激状态下血糖升高指数,应激性高血糖,<1.5,>3.0为应激明显,中危,评估应激管理
压力高血糖,血糖应激反应时间,SGRT,INT,应激开始后,血糖对应激的反应时间,应激反应速度,30-120分钟,<30分钟为过敏感,低危,评估应激敏感性
压力高血糖,应激恢复指数,SRI,DECIMAL_4_2,应激后24小时,应激后血糖恢复正常能力,应激恢复能力,>0.8,<0.5为恢复差,中危,加强应激期血糖管理
疾病状态,感染血糖指数,IGI,DECIMAL_5_2,感染期间,感染期间血糖升高指数,感染相关高血糖,<2.0,>4.0为明显,中危,感染期胰岛素需求增加
疾病状态,发热血糖反应,FGR,DECIMAL_5_2,发热期间,发热时血糖升高反应,发热血糖管理,<3.0,>5.0为反应强烈,中危,发热期监测频率增加
月经周期,月经期血糖指数,MGI,DECIMAL_4_2,月经期1-7天,月经期血糖变化指数,激素血糖影响,0.8-1.2,偏离为激素影响,低危,月经期血糖调整
