平滑度类型,方法名称,计算公式,适用场景,数据要求,正常范围,异常阈值,Python实现示例,临床解读
一阶差分平滑度,连续差值变异系数,CV of ΔG = SD(G[i+1]-G[i]) / Mean(|G[i+1]-G[i]|),血糖连续性评估,等间距时间序列,CV < 1.0,CV > 1.5为不平滑,np.std(np.diff(glucose)) / np.mean(np.abs(np.diff(glucose))),数值越小越平滑
一阶差分平滑度,平均绝对差值,MAD = Mean(|G[i+1] - G[i]|),血糖变化幅度,连续血糖数据,< 0.5 mmol/L,> 1.0为波动大,np.mean(np.abs(np.diff(glucose))),反映血糖跳跃程度
一阶差分平滑度,标准化一阶差分,NormΔG = SD(G[i+1]-G[i]) / Mean(G),相对平滑度评估,标准化血糖数据,< 0.15,> 0.25为相对不平滑,np.std(np.diff(glucose)) / np.mean(glucose),消除血糖水平影响
二阶差分平滑度,二阶导数方差,Var(G'') = Var(G[i-1] - 2*G[i] + G[i+1]),血糖加速度变化,密集采样数据,< 1.0,> 2.0为加速度大,np.var(glucose[:-2] - 2*glucose[1:-1] + glucose[2:]),反映血糖变化率变化
二阶差分平滑度,曲率平滑指数,CSI = 1 / (1 + Mean(|G''|)),曲线弯曲程度,高频血糖数据,> 0.7,< 0.5为弯曲严重,1 / (1 + np.mean(np.abs(second_diff))),曲线越直越平滑
移动平均平滑度,移动平均偏差,MAD_MA = Mean(|G[i] - MA[i]|),与趋势的偏离,任意血糖数据,< 1.0 mmol/L,> 2.0为偏离大,np.mean(np.abs(glucose - moving_avg)),反映围绕趋势波动
移动平均平滑度,趋势一致性指数,TCI = Corr(G, MA),与平滑趋势相关性,连续数据序列,> 0.9,< 0.7为一致性差,np.corrcoef(glucose, moving_avg)[0,1],趋势跟随程度
频域平滑度,高频能量比例,HFR = E_high / E_total,高频成分占比,等间距时间序列,< 20%,> 40%为高频多,high_freq_power / total_power,高频成分越少越平滑
频域平滑度,频谱集中度,SC = Sum(f * P(f)) / Sum(P(f)),频率重心位置,FFT适用数据,低频集中,高频集中为不平滑,np.sum(freqs * power) / np.sum(power),能量分布特征
频域平滑度,谱平坦度,SF = GeomMean(P(f)) / ArithMean(P(f)),频谱平坦程度,频域分析,接近0,接近1为白噪声,stats.gmean(power) / np.mean(power),平滑信号能量集中
统计学平滑度,自相关衰减,ACF_decay = -ln(ACF(lag=1)),血糖记忆效应,时间序列数据,0.2-0.5,> 1.0为记忆差,-np.log(np.abs(autocorr_lag1)),记忆效应强度
统计学平滑度,Hurst指数,H = 0.5 + slope(log(R/S)),长程相关性,长时间序列,0.5-0.7,偏离0.5为异常,hurst_exponent(glucose),分形特征评估
统计学平滑度,近似熵,ApEn = -Sum(C_ratio * ln(C_ratio)),序列复杂度,中等长度序列,0.1-0.4,> 0.8为复杂,approximate_entropy(glucose),复杂度越低越平滑
