指标分类,指标名称,指标简写,数据类型,计算公式/方法,临床意义,参考范围,异常阈值,国际标准,解读用途
基础统计指标,平均血糖,Mean,DECIMAL_5_2,所有血糖值的算术平均,整体血糖控制水平,5.6-7.8 mmol/L,>10.0为控制差,ADA/EASD推荐,血糖控制基础评估
基础统计指标,血糖中位数,Median,DECIMAL_5_2,血糖值的50%分位数,不受极端值影响的中心趋势,5.0-8.0 mmol/L,>9.0为偏高,统计学标准,稳健的中心评估
基础统计指标,血糖标准差,SD,DECIMAL_5_2,血糖值的标准差,血糖变异性绝对量度,<2.0 mmol/L,>3.0为高变异,统计学标准,变异性基础指标
基础统计指标,变异系数,CV,DECIMAL_4_1,标准差/平均值*100%,血糖变异性相对量度,<36%,>36%为高变异,国际共识,ADA核心指标
基础统计指标,四分位距,IQR,DECIMAL_5_2,Q3-Q1(75%-25%分位数差),血糖分布的离散程度,<3.0 mmol/L,>4.5为离散大,统计学标准,分布离散评估
基础统计指标,血糖范围,Range,DECIMAL_5_2,最大值-最小值,血糖波动的总幅度,<15 mmol/L,>20为波动大,统计学标准,总体波动评估
高级变异指标,日间血糖平均绝对差,MAGE,DECIMAL_5_2,>1SD的血糖波动平均幅度,临床显著血糖波动,<3.9 mmol/L,>5.0为显著,Service等1970,血糖波动金标准
高级变异指标,连续血糖净变化,CONGA,DECIMAL_5_2,n小时血糖变化的标准差,短期血糖稳定性,CONGA-1<1.1,>1.5为不稳定,McDonnell等2005,短期稳定性评估
高级变异指标,日间血糖绝对差,MODD,DECIMAL_5_2,相同时间点日间血糖差的平均,日间血糖重现性,<1.4 mmol/L,>2.0为变异大,Molnar等1972,日间一致性评估
高级变异指标,血糖变异百分比,GVP,DECIMAL_4_1,血糖变化>50mg/dL的时间百分比,血糖不稳定时间占比,<10%,>15%为不稳定,Ryan等2004,不稳定时间评估
高级变异指标,血糖波动指数,GRI,DECIMAL_5_2,综合高低血糖风险指数,血糖风险综合评估,<25,25-50中等/50-100高,Klonoff等2018,风险综合评估
高级变异指标,平均绝对血糖变化率,MAG,DECIMAL_5_2,相邻血糖值变化率平均,血糖变化速度,<1.0 mg/dL/min,>2.0为变化快,Hermanides等2010,变化速度评估
时间相关指标,目标范围内时间,TIR,DECIMAL_4_1,70-180mg/dL时间百分比,血糖控制核心指标,>70%,<70%为不达标,ADA 2019共识,血糖控制金标准
时间相关指标,低血糖时间1级,TBR1,DECIMAL_4_1,54-69mg/dL时间百分比,轻度低血糖风险,<4%,>4%为风险高,国际共识,安全性评估
时间相关指标,低血糖时间2级,TBR2,DECIMAL_4_1,<54mg/dL时间百分比,严重低血糖风险,<1%,>1%为高危,国际共识,严重安全风险
时间相关指标,高血糖时间1级,TAR1,DECIMAL_4_1,181-250mg/dL时间百分比,轻度高血糖,<25%,>25%为控制差,国际共识,控制质量评估
时间相关指标,高血糖时间2级,TAR2,DECIMAL_4_1,>250mg/dL时间百分比,严重高血糖,<5%,>5%为严重,国际共识,急性风险评估
时间相关指标,高血糖指数,HBGI,DECIMAL_4_2,高血糖风险量化指数,高血糖风险评估,<4.5,>9.0为高风险,Kovatchev等1998,高血糖风险量化
时间相关指标,低血糖指数,LBGI,DECIMAL_4_2,低血糖风险量化指数,低血糖风险评估,<1.1,>2.5为高风险,Kovatchev等1998,低血糖风险量化
模式识别指标,血糖管理指标,GMI,DECIMAL_4_2,基于平均血糖估算的HbA1c,长期控制估计,<7.0%,>7.5%为控制差,Bergenstal等2018,HbA1c替代指标
模式识别指标,血糖预测一致性,CRP,DECIMAL_4_2,血糖预测的一致性评估,血糖可预测性,>0.8,<0.6为难预测,自定义算法,预测难度评估
