图形特征分类,指标名称,数据类型,提取方法,计算公式/算法,临床意义,自动化解读用途,正常参考值,异常阈值,解读示例
AGP曲线形态,median_curve_smoothness,DECIMAL_6_3,中位数曲线平滑度计算,1/(1+mean_curvature) 其中curvature=|G[i-1]-2*G[i]+G[i+1]|,血糖控制稳定性,整体稳定性评估,>0.8,<0.6为不稳定,"中位数曲线平滑，提示血糖控制相对稳定"
AGP曲线形态,percentile_band_width_avg,DECIMAL_5_2,25%-75%分位数带宽平均值,mean(P75[i] - P25[i]) for i in 24hours,血糖变异性视觉量化,变异性直观评估,<3.0mmol/L,>5.0为高变异,"分位数带较宽，提示血糖波动较大"
AGP曲线形态,curve_symmetry_index,DECIMAL_4_3,中位数曲线对称性指数,corr(curve[0:12h], reverse(curve[12:24h])) 计算前后半天血糖模式相关性,血糖模式规律性,模式规律性评估,0.8-1.0,<0.6为不规律,"曲线对称性好，提示生活模式规律"
AGP曲线形态,curve_peak_count,INT,24小时内曲线峰值数量,scipy.signal.find_peaks()检测峰值数量,血糖峰值频率,餐食模式推断,2-4个峰值,>6为频繁,"检测到5个峰值，可能存在频繁进食"
AGP曲线形态,curve_valley_count,INT,24小时内曲线低谷数量,scipy.signal.find_peaks(-glucose)检测谷值数量,血糖低谷频率,低血糖风险模式,1-3个低谷,>5为高风险,"低谷频繁，提示低血糖风险较高"
AGP曲线形态,first_order_smoothness,DECIMAL_6_3,一阶差分平滑度,1-std(diff(glucose))/mean(abs(diff(glucose))) 连续差值变异系数,血糖连续性,血糖跳跃评估,>0.5,<0.3为跳跃大,"一阶平滑度良好，血糖变化连续"
AGP曲线形态,second_order_smoothness,DECIMAL_6_3,二阶差分平滑度,1/(1+var(G[i-1]-2*G[i]+G[i+1])) 血糖加速度平滑性,血糖变化率稳定性,血糖加速度评估,>0.6,<0.4为加速度大,"二阶平滑度好，血糖变化率稳定"
AGP曲线形态,frequency_smoothness,DECIMAL_6_3,频域平滑度,1-high_freq_power/total_power 高频成分占比,血糖频率特征,噪声成分评估,>0.7,<0.5为噪声多,"频域平滑，血糖信号质量好"
时间段分析,dawn_curve_slope,DECIMAL_6_3,4-8点中位数曲线斜率,slope(glucose[4h:8h]) 线性回归斜率,黎明现象强度,黎明现象量化,<0.5mmol/L/h,>1.0为明显,"黎明斜率陡峭，存在明显黎明现象"
时间段分析,morning_peak_height,DECIMAL_5_2,6-10点峰值高度,max(glucose[6h:10h]) - baseline 早晨峰值减基线,早餐后血糖控制,早餐后评估,<12mmol/L,>15为控制不佳,"早晨峰值过高，早餐后血糖控制不佳"
时间段分析,morning_peak_width,INT,早晨峰值持续时间(分钟),peak_width_at_half_maximum(morning_peak) 半高宽,早餐后恢复能力,餐后恢复评估,60-120分钟,>180为恢复慢,"早晨峰值持续3小时，恢复能力较差"
时间段分析,afternoon_curve_stability,DECIMAL_4_3,14-18点曲线稳定性,1-CV(glucose[14h:18h]) 午后血糖变异系数倒数,午后血糖稳定性,午后稳定性评估,>0.8,<0.7为不稳定,"午后曲线稳定，提示基础胰岛素充足"
时间段分析,evening_surge_magnitude,DECIMAL_5_2,18-22点血糖升高幅度,max(glucose[18h:22h]) - min(glucose[17h:18h]) 晚间血糖升高幅度,晚餐影响评估,晚餐血糖评估,<4mmol/L,>6为显著,"晚间血糖大幅升高，晚餐控制需优化"
时间段分析,nocturnal_curve_flatness,DECIMAL_4_3,22-6点曲线平坦度,1-std(glucose[22h:6h])/mean(glucose[22h:6h]) 夜间平坦度,夜间血糖稳定性,夜间稳定性评估,>0.8,<0.5为不稳定,"夜间曲线平坦，基础血糖控制良好"
分位数带分析,percentile_25_pattern,TEXT,25%分位线模式描述,pattern_classification(P25_curve) 模式分类算法,低血糖风险模式,低血糖模式识别,平稳或轻微波动,频繁下探为高风险,"25%分位线频繁下探，低血糖风险较高"
分位数带分析,percentile_75_pattern,TEXT,75%分位线模式描述,pattern_classification(P75_curve) 模式分类算法,高血糖风险模式,高血糖模式识别,适度波动,持续高位为控制差,"75%分位线持续高位，血糖控制不佳"
分位数带分析,percentile_spread_variability,DECIMAL_5_2,分位数带宽变异系数,CV(P75-P25) 分位数带宽的变异系数,血糖变异性时间分布,变异性时段分析,<30%,>50%为高变异,"分位数带宽变异大，血糖不稳定时段明显"
分位数带分析,target_range_coverage,DECIMAL_4_1,目标范围内分位数带覆盖度,percentage_in_target_range(P25,P50,P75) 分位数带在目标范围比例,目标范围视觉评估,控制质量直观评估,>80%,<60%为不佳,"目标范围覆盖度较低，整体控制需改善"
分位数带分析,quantile_band_smoothness,DECIMAL_4_3,分位数带平滑度,1-var(IQR_width)/mean(IQR_width)^2 带宽变异系数倒数,分位数带稳定性,带宽稳定性评估,>0.7,<0.5为不稳定,"分位数带平滑，血糖变异性稳定"
异常模式识别,curve_spike_frequency,INT,急剧上升(>5mmol/L/h)频率,count(diff(glucose)/dt > 5mmol/L/h) 急剧上升次数统计,血糖尖峰频率,急性高血糖事件,<2次/天,>5次为频繁,"血糖尖峰频繁，需评估用药时机"
异常模式识别,curve_drop_frequency,INT,急剧下降(<-3mmol/L/h)频率,count(diff(glucose)/dt < -3mmol/L/h) 急剧下降次数统计,血糖急降频率,急性低血糖风险,<2次/天,>4次为高风险,"血糖急降频繁，存在低血糖风险"
异常模式识别,plateau_duration_total,INT,高平台(>13mmol/L)总时长,sum(glucose > 13mmol/L) * sampling_interval 高血糖持续时间,持续高血糖时长,持续高血糖评估,<2小时/天,>6小时为严重,"高血糖平台时间过长，控制亟需改善"
异常模式识别,oscillation_amplitude,DECIMAL_5_2,血糖振荡幅度,max(glucose) - min(glucose) 血糖全幅摆动,血糖波动剧烈程度,稳定性评估,<8mmol/L,>12为剧烈,"血糖振荡剧烈，控制极不稳定"
异常模式识别,baseline_drift_slope,DECIMAL_6_3,基线漂移斜率,slope(detrend(glucose)) 去除周期后的趋势斜率,血糖基线趋势,长期趋势评估,接近0,|斜率|>0.1为漂移,"基线向上漂移，可能需调整基础治疗"
餐时模式分析,meal_peak_consistency,DECIMAL_4_3,三餐峰值一致性评分,1-CV(breakfast_peak, lunch_peak, dinner_peak) 三餐峰值变异系数倒数,用餐规律性,饮食规律评估,>0.8,<0.5为不规律,"餐时峰值不一致，饮食模式不规律"
餐时模式分析,postprandial_recovery_rate,DECIMAL_6_3,餐后恢复速率平均值,mean(slope(glucose_postprandial_recovery)) 餐后下降速率均值,胰岛素效果,胰岛素效果评估,-2到-0.5mmol/L/h,>-0.3为恢复慢,"餐后恢复慢，胰岛素效果可能不足"
餐时模式分析,pre_meal_dip_pattern,BOOLEAN,餐前血糖下降模式,detect_pre_meal_dip() 餐前30min血糖下降检测,餐前胰岛素作用,胰岛素时机评估,适度下降,无下降为时机不当,"缺乏餐前血糖下降，胰岛素时机需调整"
餐时模式分析,meal_response_variability,DECIMAL_4_2,餐后反应变异系数,CV(postprandial_responses) 餐后血糖反应的变异系数,餐后血糖一致性,餐食/用药一致性,<40%,>60%为高变异,"餐后反应变异大，用药或饮食不一致"
曲线复杂度分析,fractal_dimension,DECIMAL_5_3,AGP曲线分形维数,box_counting_dimension(glucose_curve) 盒子计数法计算分形维数,血糖模式复杂度,模式复杂性量化,1.2-1.5,>1.8为过度复杂,"AGP曲线过度复杂，提示多因素影响"
曲线复杂度分析,turning_point_frequency,INT,曲线转折点频率,count_turning_points() 局部极值点统计,血糖方向变化频率,血糖控制稳定性,8-15次/天,>25次为过于频繁,"转折点过多，血糖控制不稳定"
曲线复杂度分析,curve_roughness_index,DECIMAL_5_3,曲线粗糙度指数,mean(abs(second_derivative(glucose))) 二阶导数绝对值均值,血糖变化平滑性,平滑性量化评估,<0.3,>0.6为粗糙,"曲线粗糙，血糖变化不平滑"
曲线复杂度分析,autocorrelation_decay,DECIMAL_4_3,血糖自相关衰减系数,autocorr(glucose, lag=1) lag=1的自相关系数,血糖记忆效应,时间依赖性分析,0.6-0.8,<0.4为记忆差,"血糖记忆效应差，控制缺乏连续性"
曲线复杂度分析,approximate_entropy,DECIMAL_5_3,近似熵,ApEn(glucose, m=2, r=0.2*std) 序列复杂度评估,血糖模式复杂度,复杂性量化,0.1-0.4,>0.8为过度复杂,"近似熵高，血糖模式复杂多变"
目标范围分析,target_range_entry_frequency,INT,进入目标范围频率,count_range_entries(glucose, 3.9, 10.0) 进入目标范围次数,血糖回归频率,控制恢复能力,6-12次/天,<4次为恢复差,"进入目标范围频率低，恢复能力差"
目标范围分析,target_range_exit_frequency,INT,离开目标范围频率,count_range_exits(glucose, 3.9, 10.0) 离开目标范围次数,血糖偏离频率,控制维持能力,4-8次/天,>15次为维持差,"离开目标范围频繁，维持能力差"
目标范围分析,target_range_dwell_time_avg,INT,目标范围内平均停留时间,mean(dwell_times_in_range) 目标范围内连续停留时间均值,血糖稳定停留,稳定性评估,>120分钟,<60分钟为不稳定,"目标范围停留时间短，稳定性不足"
目标范围分析,range_transition_smoothness,DECIMAL_4_3,范围转换平滑度,1-mean(abs(glucose_at_transitions - smooth_transitions)) 转换平滑程度,血糖过渡平滑性,过渡质量评估,>0.7,<0.4为突兀,"范围转换突兀，血糖变化不平缓"
风险区域分析,hypoglycemia_zone_depth,DECIMAL_5_2,低血糖区域最大深度,min(glucose[glucose < 3.9]) 低血糖区域最低值,低血糖严重程度,低血糖风险量化,>3.0mmol/L,<2.5为严重,"低血糖深度过大，存在严重风险"
风险区域分析,hyperglycemia_zone_height,DECIMAL_5_2,高血糖区域最大高度,max(glucose[glucose > 10.0]) 高血糖区域最高值,高血糖严重程度,高血糖风险量化,<15mmol/L,>20为严重,"高血糖高度过大，急性风险较高"
风险区域分析,risk_zone_cluster_count,INT,风险区域聚集数量,count_risk_clusters() 风险区域聚集检测,风险事件聚集性,风险模式分析,<3个聚集,>6个为聚集性高,"风险区域聚集性高，存在系统性问题"
风险区域分析,safe_zone_continuity,DECIMAL_4_3,安全区域连续性,longest_safe_duration/total_time 最长安全时间占比,血糖安全连续性,安全性评估,>0.8,<0.5为不连续,"安全区域不连续，整体安全性不足"
日间变异分析,intraday_pattern_similarity,DECIMAL_4_3,日间模式相似度,mean_correlation(daily_patterns) 每日血糖模式相关性均值,血糖模式一致性,生活规律性评估,>0.8,<0.5为不一致,"日间模式差异大，生活不规律"
日间变异分析,morning_pattern_consistency,DECIMAL_4_3,清晨模式一致性,correlation(morning_patterns_across_days) 清晨模式日间相关性,晨起血糖规律性,晨起管理评估,>0.7,<0.4为不一致,"清晨模式不一致，晨起管理需改善"
日间变异分析,evening_pattern_consistency,DECIMAL_4_3,傍晚模式一致性,correlation(evening_patterns_across_days) 傍晚模式日间相关性,傍晚血糖规律性,晚餐管理评估,>0.7,<0.4为不一致,"傍晚模式不一致，晚餐管理需改善"
日间变异分析,weekend_pattern_deviation,DECIMAL_5_2,周末模式偏差度,mean(weekend_glucose) - mean(weekday_glucose) 周末与工作日均值差,周末血糖变化,生活方式影响,<2mmol/L,>4mmol/L为显著,"周末模式偏差明显，生活方式影响大"
平滑度综合分析,comprehensive_smoothness_score,DECIMAL_4_3,综合平滑度评分,weighted_average(各种平滑度指标) 多维度平滑度加权平均,血糖控制平滑性,整体平滑评估,>0.7,<0.4为不平滑,"综合平滑度良好，血糖控制稳定"
平滑度综合分析,moving_average_smoothness,DECIMAL_4_3,移动平均平滑度,correlation(glucose, moving_average) 与移动平均的相关性,趋势跟随程度,趋势一致性评估,>0.8,<0.6为偏离大,"与趋势一致性好，控制方向明确"
