表名,字段名,数据类型,必填,中文说明,交互设计,验证规则,选项值,关联关系,备注
system_basic_info,system_id,VARCHAR_50,是,系统唯一标识,自动生成,系统生成,,,"系统基础信息表，记录医院医生等基本信息"
system_basic_info,hospital_code,VARCHAR_20,是,医院代码,下拉选择,必选,医院代码字典,,
system_basic_info,hospital_name,VARCHAR_100,是,医院名称,联动自动填充,联动填充,,,
system_basic_info,department_code,VARCHAR_20,是,科室代码,下拉选择,必选,科室代码字典,,
system_basic_info,department_name,VARCHAR_100,是,科室名称,联动自动填充,联动填充,,,
system_basic_info,doctor_id,VARCHAR_20,是,医生ID,登录用户自动填充,系统填充,,,
system_basic_info,doctor_name,VARCHAR_50,是,医生姓名,登录用户自动填充,系统填充,,,
system_basic_info,create_time,TIMESTAMP,是,创建时间,系统自动生成,系统生成,,,
system_basic_info,update_time,TIMESTAMP,是,更新时间,系统自动更新,系统更新,,,
patient_basic_info,patient_id,VARCHAR_32,是,患者唯一ID,UUID自动生成,系统生成,,,"患者基本信息表，记录患者个人资料"
patient_basic_info,id_card_number,VARCHAR_18,是,身份证号,输入框,18位身份证校验,,,
patient_basic_info,name,VARCHAR_50,是,姓名,输入框,2到10个字符,,,
patient_basic_info,gender,TINYINT,是,性别,单选按钮,从身份证自动提取,1男;2女,,
patient_basic_info,birth_date,DATE,是,出生日期,日期选择器,从身份证自动提取,,,
patient_basic_info,age,INT,是,年龄,数字显示,根据出生日期自动计算,,,
patient_basic_info,registration_time,TIMESTAMP,是,录入时间,时间显示,系统当前时间,,,
patient_basic_info,source_type,TINYINT,是,来源,单选按钮,必选,1门诊;2住院,,
patient_basic_info,hospitalization_number,VARCHAR_20,否,住院号,输入框,选择住院时必填,,,
patient_basic_info,contact_phone,VARCHAR_20,是,联系方式,输入框,手机号格式验证,,,
patient_basic_info,address_province,VARCHAR_20,是,省份,级联选择器,三级联动,省份字典,,
patient_basic_info,address_city,VARCHAR_20,是,城市,级联选择器,三级联动,城市字典,,
patient_basic_info,address_district,VARCHAR_20,是,区县,级联选择器,三级联动,区县字典,,
patient_basic_info,address_detail,VARCHAR_200,是,详细地址,文本框,详细地址填写,,,
patient_basic_info,occupation,TINYINT,是,职业类型,下拉选择,8种职业分类,1专业人士;2服务业;3自由职业;4工人;5公司职员;6事业单位;7学生;8家庭主妇,,
patient_basic_info,marital_status,TINYINT,是,婚姻状况,单选按钮,5种状态选择,1已婚;2未婚;3离异;4丧偶;5不详,,
patient_basic_info,family_members_count,TINYINT,是,家庭成员数,数字输入,1到10人范围,,,
patient_basic_info,education_level,TINYINT,是,文化程度,下拉选择,5个等级,1小学及以下;2初中;3高中技校中专;4大专大学;5硕士及以上,,
patient_basic_info,annual_income,TINYINT,是,家庭年收入,下拉选择,4个收入区间,1<3万元;2_3到9.9万元;3_10到30万元;4>30万元,,
patient_basic_info,insurance_types,JSON,是,保险类型,多选框,JSON存储多选结果,城镇职工医疗保险;城镇居民医疗保险;新型农村合作医疗保险;城乡居民医疗保险;公费医疗;医疗救助;商业医疗保险单位购买;商业医疗保险个人购买;其他医疗保险;没有保险,,
diabetes_history,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,"糖尿病史表，记录糖尿病相关病史"
diabetes_history,has_diabetes,BOOLEAN,是,是否有糖尿病,是否选择,必选,是否,,
diabetes_history,diagnosis_year,YEAR,否,诊断年份,年份选择器,年份范围验证,,,
diabetes_history,diabetes_type,TINYINT,否,糖尿病类型,下拉选择,8种类型,1不清楚;2_1型糖尿病;3_2型糖尿病;4妊娠期糖尿病;5单基因糖尿病;6胰腺外分泌疾病;7内分泌疾病引起;8医源性糖尿病,,
diabetes_history,current_medication,BOOLEAN,否,目前是否用药,是否选择,是否,是否,,
diabetes_history,medication_list,JSON,否,用药清单,动态药物选择组件,药物验证,,,关联药物数据库
complications,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,"并发症表，记录糖尿病并发症"
complications,complication_type,VARCHAR_50,是,并发症类型,下拉选择,必选,糖尿病肾病;糖尿病视网膜病变;糖尿病周围神经病变;糖尿病足,,
complications,has_complication,BOOLEAN,是,是否有该并发症,是否选择,必选,是否,,
complications,diagnosis_year,YEAR,否,诊断年份,年份选择器,年份范围验证,,,
complications,current_treatment,BOOLEAN,否,目前是否治疗,是否选择,是否,是否,,
complications,treatment_details,TEXT,否,治疗详情,文本域,,,,"可填写具体治疗方案、药物等"
other_diseases,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,"其他疾病史表，记录除糖尿病外的其他疾病"
other_diseases,disease_name,VARCHAR_100,是,疾病名称,疾病搜索组件,疾病名称验证,高血压;冠心病心肌梗死;心律失常;血脂异常;高尿酸血症;脑梗;脑出血;癌症;阻塞性睡眠呼吸暂停;肥胖;多囊卵巢综合征;非酒精脂肪型肝病;骨关节炎;其他,，关联疾病数据库
other_diseases,has_disease,BOOLEAN,是,是否患病,是否选择,必选,是否,,
other_diseases,diagnosis_year,YEAR,否,诊断年份,年份选择器,年份范围验证,,,
