"表名","字段名","数据类型","必填","中文说明","交互设计","验证规则","选项值","关联关系","备注"
"weight_management_factors","patient_id","VARCHAR_32","是","患者唯一ID","外键关联","外键约束","","patient_basic_info","关联患者基本信息表"
"weight_management_factors","assessment_date","DATE","是","评估日期","日期选择器","必填","","",""
"weight_management_factors","assessor_name","VARCHAR_50","是","评估人姓名","输入框","必填","","",""

"## 1. 代谢维度指标 (40%权重)"
"weight_management_factors","height","DECIMAL_5_2","是","身高","数字输入",">=0","cm;m","","默认单位:cm。换算: 1 m = 100 cm"
"weight_management_factors","weight","DECIMAL_5_2","是","体重","数字输入",">=0","kg;g","","默认单位:kg。换算: 1 kg = 1000 g"
"weight_management_factors","bmi","DECIMAL_4_2","否","BMI指数","自动计算","","","","根据身高体重自动计算"
"weight_management_factors","bmi_score","TINYINT","否","BMI评分","自动计算","0-100","","","基于亚洲人群标准的分级评分"
"weight_management_factors","waist_circumference","DECIMAL_5_2","否","腰围","数字输入",">=0","cm;inch","","默认单位:cm。换算: 1 inch = 2.54 cm"
"weight_management_factors","hip_circumference","DECIMAL_5_2","否","臀围","数字输入",">=0","cm;inch","","默认单位:cm。换算: 1 inch = 2.54 cm"
"weight_management_factors","waist_hip_ratio","DECIMAL_4_2","否","腰臀比","自动计算","","","","腰围/臀围自动计算"
"weight_management_factors","body_fat_percentage","DECIMAL_4_2","否","体脂率","数字输入",">=0","%","","默认单位:%"

"weight_management_factors","fasting_glucose","DECIMAL_4_2","否","空腹血糖","数字输入",">=0","mmol/L;mg/dL","","默认单位:mmol/L。换算: 1 mmol/L = 18 mg/dL"
"weight_management_factors","hba1c_percent","DECIMAL_4_2","否","糖化血红蛋白","数字输入",">=0","%;mmol/mol","","默认单位:%。换算: NGSP(%) = (IFCC(mmol/mol) / 10.929) + 2.15"
"weight_management_factors","hba1c_score","TINYINT","否","HbA1c评分","自动计算","0-100","","","糖代谢状态量化评估"
"weight_management_factors","fasting_insulin","DECIMAL_5_2","否","空腹胰岛素","数字输入",">=0","mU/L;pmol/L","","默认单位:mU/L。换算: 1 mU/L = 6.945 pmol/L"
"weight_management_factors","homa_ir","DECIMAL_4_2","否","胰岛素抵抗指数","自动计算","","","","HOMA-IR=(空腹血糖*空腹胰岛素)/22.5"
"weight_management_factors","insulin_resistance_score","TINYINT","否","胰岛素抵抗评分","自动计算","0-100","","","基于HOMA-IR的量化评分"
"weight_management_factors","bmr","DECIMAL_6_2","否","基础代谢率","自动计算","kcal/day","","","基于Harris-Benedict公式计算"
"weight_management_factors","metabolic_score","TINYINT","否","代谢维度总评分","自动计算","0-100","","","代谢维度综合评分"

"## 2. 器官功能维度指标 (25%权重)"
"weight_management_factors","creatinine","DECIMAL_4_2","否","血肌酐","数字输入",">=0","μmol/L;mg/dL","","默认单位:μmol/L。换算: 1 mg/dL = 88.4 μmol/L"
"weight_management_factors","egfr","DECIMAL_5_2","否","肾小球滤过率","自动计算","mL/min/1.73m²","","","基于CKD-EPI公式计算"
"weight_management_factors","kidney_function_score","TINYINT","否","肾功能评分","自动计算","0-100","","","eGFR分级评估"
"weight_management_factors","alt","DECIMAL_4_1","否","谷丙转氨酶","数字输入",">=0","U/L","","默认单位:U/L"
"weight_management_factors","ast","DECIMAL_4_1","否","谷草转氨酶","数字输入",">=0","U/L","","默认单位:U/L"
"weight_management_factors","total_bilirubin","DECIMAL_4_1","否","总胆红素","数字输入",">=0","μmol/L;mg/dL","","默认单位:μmol/L。换算: 1 mg/dL = 17.1 μmol/L"
"weight_management_factors","liver_function_score","TINYINT","否","肝功能评分","自动计算","0-100","","","ALT/AST/胆红素综合评分"
"weight_management_factors","ejection_fraction","DECIMAL_4_1","否","射血分数","数字输入","0-100","%","","心功能评估指标"
"weight_management_factors","heart_rhythm","TINYINT","否","心律","单选按钮","","0:正常;1:房颤;2:其他异常","","心律状态"
"weight_management_factors","heart_function_score","TINYINT","否","心功能评分","自动计算","0-100","","","射血分数、心律等综合评分"
"weight_management_factors","organ_function_score","TINYINT","否","器官功能维度总评分","自动计算","0-100","","","器官功能维度综合评分"

"## 3. 心血管风险维度指标 (20%权重)"
"weight_management_factors","systolic_bp","INT","否","收缩压","数字输入",">=0","mmHg","","默认单位:mmHg"
"weight_management_factors","diastolic_bp","INT","否","舒张压","数字输入",">=0","mmHg","","默认单位:mmHg"
"weight_management_factors","bp_score","TINYINT","否","血压评分","自动计算","0-100","","","基于高血压分级标准评分"
"weight_management_factors","triglycerides","DECIMAL_5_2","否","甘油三脂","数字输入",">=0","mmol/L;mg/dL","","默认单位:mmol/L。换算: 1 mg/dL = 0.0113 mmol/L"
"weight_management_factors","total_cholesterol","DECIMAL_5_2","否","总胆固醇","数字输入",">=0","mmol/L;mg/dL","","默认单位:mmol/L。换算: 1 mg/dL = 0.0259 mmol/L"
"weight_management_factors","hdl_cholesterol","DECIMAL_5_2","否","高密度脂蛋白","数字输入",">=0","mmol/L;mg/dL","","默认单位:mmol/L。换算: 1 mg/dL = 0.0259 mmol/L"
"weight_management_factors","ldl_cholesterol","DECIMAL_5_2","否","低密度脂蛋白","数字输入",">=0","mmol/L;mg/dL","","默认单位:mmol/L。换算: 1 mg/dL = 0.0259 mmol/L"
"weight_management_factors","lipid_profile_score","TINYINT","否","血脂谱评分","自动计算","0-100","","","LDL-C、HDL-C、甘油三酯综合评估"
"weight_management_factors","framingham_risk_score","DECIMAL_4_1","否","Framingham风险评分","自动计算","0-100","%","","10年心血管风险预测"
"weight_management_factors","china_cvd_risk_score","DECIMAL_4_1","否","中国CVD风险评分","自动计算","0-100","%","","中国人群心血管风险评估"
"weight_management_factors","cardiovascular_score","TINYINT","否","心血管风险维度总评分","自动计算","0-100","","","心血管风险维度综合评分"

"## 4. 心理社会维度指标 (15%权重)"
"weight_management_factors","phq9_score","TINYINT","否","PHQ-9评分","数字输入","0-27","","","抑郁量表评分"
"weight_management_factors","gad7_score","TINYINT","否","GAD-7评分","数字输入","0-21","","","焦虑量表评分"
"weight_management_factors","psychological_score","TINYINT","否","心理健康评分","自动计算","0-100","","","基于PHQ-9和GAD-7的综合评分"
"weight_management_factors","weight_loss_history_attempts","TEXT","否","既往减重尝试","文本域","","","","既往减重方法和效果描述"
"weight_management_factors","weight_loss_history_max_loss_percent","DECIMAL_4_2","否","既往最大减重百分比","数字输入",">=0","%","","默认单位:%"
"weight_management_factors","weight_loss_history_duration_maintained","INT","否","既往减重维持时间","数字输入",">=0","月","","默认单位:月"
"weight_management_factors","adherence_history_score","TINYINT","否","依从性历史评分","自动计算","0-100","","","既往治疗依从性量化评分"
"weight_management_factors","work_schedule","TINYINT","否","工作模式","单选按钮","","0:规律;1:不规律;2:轮班","","工作时间规律性"
"weight_management_factors","social_dining_frequency","TINYINT","否","社交聚餐频率","数字输入",">=0","次/周","","每周社交聚餐次数"
"weight_management_factors","cooking_skill_level","TINYINT","否","烹饪技能水平","单选按钮","","1:差;2:一般;3:良好;4:优秀","","烹饪技能自评"
"weight_management_factors","lifestyle_adaptability_score","TINYINT","否","生活方式适配性评分","自动计算","0-100","","","工作模式、社交需求、烹饪技能综合评分"
"weight_management_factors","family_support_level","TINYINT","否","家庭支持水平","单选按钮","","1:低;2:中;3:高","","家庭对减重的支持程度"
"weight_management_factors","economic_status","TINYINT","否","经济状况","单选按钮","","1:困难;2:一般;3:良好;4:优秀","","经济承受能力"
"weight_management_factors","medical_accessibility","TINYINT","否","医疗可及性","单选按钮","","1:差;2:一般;3:良好;4:优秀","","获得医疗服务的便利性"
"weight_management_factors","social_support_score","TINYINT","否","社会支持度评分","自动计算","0-100","","","家庭支持、经济状况、医疗可及性综合评分"
"weight_management_factors","psychosocial_score","TINYINT","否","心理社会维度总评分","自动计算","0-100","","","心理社会维度综合评分"

"## 5. 合并症诊断"
"weight_management_factors","diabetes_diagnosis","TINYINT","否","糖尿病诊断","单选按钮","","0:无;1:糖尿病前期;2:2型糖尿病;3:1型糖尿病","",""
"weight_management_factors","diabetes_severity","TINYINT","否","糖尿病严重程度","自动计算","","1:轻度;2:中度;3:重度","","基于HbA1c水平自动评估"
"weight_management_factors","hypertension_diagnosis","TINYINT","否","高血压诊断","单选按钮","","0:无;1:1级;2:2级;3:3级","",""
"weight_management_factors","dyslipidemia_diagnosis","TINYINT","否","血脂异常诊断","单选按钮","","0:无;1:有","",""
"weight_management_factors","liver_fat_diagnosis","TINYINT","否","脂肪肝诊断","单选按钮","","0:无;1:轻度;2:中度;3:重度","",""
"weight_management_factors","sleep_apnea_diagnosis","TINYINT","否","睡眠呼吸暂停诊断","单选按钮","","0:无;1:轻度;2:中度;3:重度","",""
"weight_management_factors","osteoarthritis_diagnosis","TINYINT","否","骨关节炎诊断","单选按钮","","0:无;1:有","",""
"weight_management_factors","pcos_diagnosis","TINYINT","否","多囊卵巢综合征诊断","单选按钮","","0:无;1:有","",""
"weight_management_factors","cardiovascular_disease_history","TINYINT","否","心血管疾病史","单选按钮","","0:无;1:心梗;2:卒中;3:心衰;4:多种","",""
"weight_management_factors","comorbidity_count","TINYINT","否","合并症数量","自动计算",">=0","","","合并症总数自动统计"
"weight_management_factors","comorbidity_severity_score","TINYINT","否","合并症严重程度评分","自动计算","0-100","","","基于合并症数量和严重程度的综合评分"

"## 6. 生活方式因素"
"weight_management_factors","dietary_preferences","TEXT","否","饮食偏好","文本域","","","","如素食、清真、过敏等"
"weight_management_factors","exercise_frequency","TINYINT","否","运动频率","数字输入",">=0","次/周","","默认单位:次/周"
"weight_management_factors","exercise_intensity","TINYINT","否","运动强度","单选按钮","","1:低;2:中;3:高","",""
"weight_management_factors","exercise_duration","INT","否","每次运动时长","数字输入",">=0","分钟","","平均每次运动时间"
"weight_management_factors","sleep_quality_score","TINYINT","否","睡眠质量评分","数字输入",">=0","","","如PSQI总分"
"weight_management_factors","sleep_duration","DECIMAL_3_1","否","睡眠时长","数字输入",">=0","小时","","平均每晚睡眠时间"
"weight_management_factors","smoking_status","TINYINT","否","吸烟状态","单选按钮","","0:从不;1:已戒;2:偶尔;3:经常","",""
"weight_management_factors","smoking_pack_years","DECIMAL_4_1","否","吸烟包年数","数字输入",">=0","包年","","吸烟强度和时间的综合指标"
"weight_management_factors","drinking_status","TINYINT","否","饮酒状态","单选按钮","","0:从不;1:已戒;2:偶尔;3:经常","",""
"weight_management_factors","alcohol_units_per_week","DECIMAL_4_1","否","每周饮酒单位","数字输入",">=0","单位","","标准酒精单位数量"

"## 7. 动机和依从性评估"
"weight_management_factors","motivation_level","TINYINT","否","减重动机水平","单选按钮","","1:低;2:中;3:高","",""
"weight_management_factors","weight_loss_urgency","TINYINT","否","减重紧迫性","单选按钮","","1:低;2:中;3:高","","患者对减重的紧迫感"
"weight_management_factors","health_awareness_level","TINYINT","否","健康意识水平","单选按钮","","1:低;2:中;3:高","","对健康和减重的认知程度"
"weight_management_factors","self_efficacy_score","TINYINT","否","自我效能感评分","数字输入","0-100","","","对自己完成减重目标的信心"
"weight_management_factors","adherence_potential","TINYINT","否","依从性潜力","自动计算","1:低;2:中;3:高","","基于多因素综合评估的依从性预测"
"weight_management_factors","barrier_identification","TEXT","否","减重障碍识别","文本域","","","","识别出的主要减重障碍"

"## 8. 禁忌症和安全性评估"
"weight_management_factors","eating_disorder_history","TINYINT","否","进食障碍史","单选按钮","","0:无;1:厌食症;2:暴食症;3:其他","",""
"weight_management_factors","substance_abuse_history","TINYINT","否","药物滥用史","单选按钮","","0:无;1:有","",""
"weight_management_factors","pregnancy_status","TINYINT","否","妊娠状态","单选按钮","","0:否;1:妊娠;2:哺乳","","仅适用于女性患者"
"weight_management_factors","severe_mental_illness","TINYINT","否","严重精神疾病","单选按钮","","0:无;1:有","","如双相情感障碍、精神分裂症等"
"weight_management_factors","active_cancer","TINYINT","否","活动性肿瘤","单选按钮","","0:无;1:有","",""
"weight_management_factors","gallbladder_disease","TINYINT","否","胆囊疾病","单选按钮","","0:无;1:胆石症;2:胆囊炎;3:胆囊切除术后","",""
"weight_management_factors","medication_contraindications","TEXT","否","药物禁忌症","文本域","","","","已知的药物过敏或禁忌"

"## 9. 算法评分结果"
"weight_management_factors","overall_patient_score","TINYINT","否","患者总体评分","自动计算","0-100","","","四维度加权综合评分"
"weight_management_factors","metabolic_dimension_weight","DECIMAL_3_2","否","代谢维度权重","自动设置","","","","动态调整后的权重，默认0.40"
"weight_management_factors","organ_function_dimension_weight","DECIMAL_3_2","否","器官功能维度权重","自动设置","","","","动态调整后的权重，默认0.25"
"weight_management_factors","cardiovascular_dimension_weight","DECIMAL_3_2","否","心血管维度权重","自动设置","","","","动态调整后的权重，默认0.20"
"weight_management_factors","psychosocial_dimension_weight","DECIMAL_3_2","否","心理社会维度权重","自动设置","","","","动态调整后的权重，默认0.15"

"## 10. 饮食方案推荐结果"
"weight_management_factors","recommended_diet_primary","VARCHAR_20","否","首选饮食方案","自动生成","","ketogenic;low_carb;mediterranean;low_fat;intermittent_fasting","","算法推荐的首选方案"
"weight_management_factors","recommended_diet_secondary","VARCHAR_20","否","备选饮食方案","自动生成","","ketogenic;low_carb;mediterranean;low_fat;intermittent_fasting","","算法推荐的备选方案"
"weight_management_factors","diet_recommendation_score","TINYINT","否","饮食推荐评分","自动计算","0-100","","","首选方案的匹配评分"
"weight_management_factors","diet_safety_level","TINYINT","否","饮食安全等级","自动评估","","1:高风险;2:中风险;3:低风险","","基于患者特征的安全性评估"
"weight_management_factors","diet_monitoring_intensity","TINYINT","否","监测强度需求","自动评估","","1:最小;2:标准;3:强化","","所需监测频率和强度"
"weight_management_factors","expected_weight_loss_min","DECIMAL_4_1","否","预期减重最小值","自动计算","","%","","6个月内预期减重百分比下限"
"weight_management_factors","expected_weight_loss_max","DECIMAL_4_1","否","预期减重最大值","自动计算","","%","","6个月内预期减重百分比上限"

"## 11. 监测和随访"
"weight_management_factors","baseline_photo_url","VARCHAR_200","否","基线体型照片","文件上传","","","","用于体型变化对比的基线照片"
"weight_management_factors","next_assessment_date","DATE","否","下次评估日期","日期选择器","","","","建议的下次全面评估时间"
"weight_management_factors","monitoring_frequency","TINYINT","否","监测频率","自动设置","","1:月度;2:双周;3:周度","","基于风险等级确定的监测频率"
"weight_management_factors","key_monitoring_indicators","TEXT","否","重点监测指标","自动生成","","","","基于患者特征确定的重点监测项目"
"weight_management_factors","alert_thresholds","TEXT","否","预警阈值","自动设置","","","","JSON格式存储各项指标的预警阈值"

"## 12. 算法优化相关"
"weight_management_factors","algorithm_version","VARCHAR_10","否","算法版本","自动记录","","","","使用的算法版本号"
"weight_management_factors","prediction_confidence","DECIMAL_4_2","否","预测置信度","自动计算","0-1","","","算法预测结果的置信度"
"weight_management_factors","model_features_used","TEXT","否","使用的模型特征","自动记录","","","","JSON格式记录参与计算的特征和权重"
"weight_management_factors","manual_override","TINYINT","否","人工干预标识","复选框","","0:无;1:有","","标识是否有医护人员手动调整推荐"
"weight_management_factors","override_reason","TEXT","否","人工干预原因","文本域","","","","记录人工调整的原因"

"## 13. 其他信息"
"weight_management_factors","other_chronic_diseases","TEXT","否","其他慢性疾病","文本域","","","",""
"weight_management_factors","allergies","TEXT","否","过敏史","文本域","","","",""
"weight_management_factors","medication_history","TEXT","否","用药史(影响体重/代谢)","文本域","","","",""
"weight_management_factors","family_medical_history","TEXT","否","家族疾病史","文本域","","","","特别是代谢相关疾病"
"weight_management_factors","occupation","VARCHAR_50","否","职业","输入框","","","","可能影响生活方式的职业信息"
"weight_management_factors","education_level","TINYINT","否","教育水平","单选按钮","","1:小学;2:中学;3:大专;4:本科;5:研究生","","影响健康认知和依从性"

"weight_management_factors","remarks","TEXT","否","备注","文本域","","","","其他重要信息"
"weight_management_factors","created_at","TIMESTAMP","是","创建时间","自动生成","","","","记录创建时间"
"weight_management_factors","updated_at","TIMESTAMP","是","更新时间","自动更新","","","","记录最后更新时间"
"weight_management_factors","created_by","VARCHAR_50","是","创建人","自动记录","","","","创建记录的用户"
"weight_management_factors","updated_by","VARCHAR_50","是","更新人","自动记录","","","","最后更新记录的用户"
