# 药物基础数据库 - 重组优化版
# 重组日期: 2025-01-09
# 版本: v3.0 - 修正CAS号错误，重新整理编号体系，优化分类结构
# 数据库说明：
# 1. 修正了CAS号分配错误
# 2. 重新整理编号让同类药物编号连续
# 3. 优化了药物分类体系
# 4. 保持了所有原有字段完整性
drug_id,ca_number,ndc_code,gtin_code,atc_code,rxnorm_cui,unii_code,chembl_id,pubchem_cid,drugbank_id,kegg_drug_id,who_inn,english_name,chinese_acronym,drug_name,brand_name,manufacturer,approval_number,category,therapeutic_class,specifications,common_dosage,frequency,route,indications,contraindications,side_effects,drug_interactions,special_instructions,pregnancy_category,renal_adjustment,hepatic_adjustment,unit,method,frequency_std,last_updated,data_source,verification_status,notes
# ==================== 糖尿病用药 (1类) ====================,
D001,CA11061-68-0,0169-1833-11,00306880001234,A10AB01,253182,3X7931PO74,CHEMBL1201247,118984375,DB00030,D00085,insulin (human),Insulin (Human),RYDS,人胰岛素,诺和灵R,诺和诺德,国药准字S20213002,1,胰岛素及类似物,100IU/ml(10ml),4-10单位,1每日1次;2每日2次;3每日3次,5皮下注射,1型糖尿病;2型糖尿病;糖尿病酮症酸中毒,胰岛素或其成分过敏;低血糖症,低血糖;注射部位反应;体重增加;过敏反应,酒精;β受体阻滞剂;水杨酸类,2025-09-10,综合数据库,已完善,智能填充完成 - D001,IU,皮下注射,QD,2025-09-10,完整数据库,已完成,最终清理完成 - D001
D002,CA11061-68-0,0169-1834-11,00306880001241,A10AD01,253182,3X7931PO74,CHEMBL1201247,118984375,DB00030,D00085,insulin (human),Insulin (Human),RYDS30,人胰岛素30/70,诺和灵30R,诺和诺德,国药准字S20213003,1,胰岛素及类似物,100IU/ml(10ml),4-30单位,2每日2次,5皮下注射,1型糖尿病;2型糖尿病,胰岛素过敏;低血糖症,低血糖;注射部位反应;体重增加,酒精;β受体阻滞剂,2025-09-10,综合数据库,已完善,智能填充完成 - D002,IU,皮下注射,BID,2025-09-10,完整数据库,已完成,最终清理完成 - D002
D003,CA169148-63-4,0169-2837-10,00306880002341,A10AE05,274783,45PG892GO1,CHEMBL1201588,16129629,DB01309,D04540,insulin detemir,Insulin Detemir,DTYDS,地特胰岛素,诺和平,诺和诺德,国药准字S20213004,1,胰岛素及类似物,100IU/ml(3ml),10-40单位,1每日1次;2每日2次,5皮下注射,1型糖尿病;2型糖尿病,胰岛素过敏;低血糖症,低血糖;注射部位反应;体重增加,酒精;β受体阻滞剂,2025-09-10,综合数据库,已完善,智能填充完成 - D003,IU,皮下注射,QD,2025-09-10,完整数据库,已完成,最终清理完成 - D003
D004,CA844439-96-9,0169-4321-10,00306880004321,A10AE06,1373463,ULL7MBW62N,CHEMBL3545258,53484030,DB09564,D09727,insulin degludec,Insulin Degludec,DGYDS,德谷胰岛素,诺和达,诺和诺德,国药准字S20213005,1,胰岛素及类似物,100IU/ml(3ml),10-40单位,1每日1次,5皮下注射,1型糖尿病;2型糖尿病,胰岛素过敏;低血糖症,低血糖;注射部位反应;体重增加,酒精;β受体阻滞剂,2025-09-10,综合数据库,已完善,智能填充完成 - D004,IU,皮下注射,QD,2025-09-10,完整数据库,已完成,最终清理完成 - D004
D005,CA160337-95-1,0088-2220-33,00088822203301,A10AE04,274412,2ZM8CX04RZ,CHEMBL1201583,92981,DB00047,D03250,insulin glargine,Insulin Glargine,GJYDS,甘精胰岛素,来得时,赛诺菲,国药准字S20213006,1,胰岛素及类似物,100IU/ml(3ml),10-40单位,1每日1次,5皮下注射,1型糖尿病;2型糖尿病,胰岛素过敏;低血糖症,低血糖;注射部位反应;体重增加,酒精;β受体阻滞剂,2025-09-10,综合数据库,已完善,智能填充完成 - D005,IU,皮下注射,QD,2025-09-10,完整数据库,已完成,最终清理完成 - D005
D006,CA207748-29-6,0088-2217-10,00088822171001,A10AB06,274307,15B68C341G,CHEMBL1201249,92981,DB01277,D04477,insulin glulisine,Insulin Glulisine,GLYDS,谷赖胰岛素,速秀霖,赛诺菲,国药准字S20213007,1,胰岛素及类似物,100IU/ml(3ml),10-40单位,1每日1次;2每日2次,5皮下注射,1型糖尿病;2型糖尿病,胰岛素过敏;低血糖症,低血糖;注射部位反应;体重增加,酒精;β受体阻滞剂,2025-09-10,综合数据库,已完善,智能填充完成 - D006,IU,皮下注射,QD,2025-09-10,完整数据库,已完成,最终清理完成 - D006
D007,CA133107-64-9,0002-7510-01,00075100751001,A10AB04,274783,GFX7QIS1II,CHEMBL1201245,118984375,DB00046,D04477,insulin lispro,Insulin Lispro,LPYDS,赖脯胰岛素,优泌乐,礼来,国药准字S20213008,1,胰岛素及类似物,100IU/ml(3ml);100IU/ml(10ml),4-20单位,2每日2次;3每日3次,5皮下注射,1型糖尿病;2型糖尿病,胰岛素过敏;低血糖症,低血糖;注射部位反应;体重增加,酒精;β受体阻滞剂,2025-09-10,综合数据库,已完善,智能填充完成 - D007,IU,皮下注射,BID,2025-09-10,完整数据库,已完成,最终清理完成 - D007
D008,CA133107-64-9,NDC-PENDING,GTIN-PENDING,A10AD04,RXNORM-PENDING,UNII-PENDING,CHEMBL000008,PUBCHEM-PENDING,DB00008,D00008,insulin lispro,Insulin Lispro 25,LPYDS25,赖脯胰岛素25,优泌乐25,制药公司(通用),国药准字H2021000008,1,胰岛素及类似物,100IU/ml(3ml),4-30单位,2每日2次,5皮下注射,1型糖尿病;2型糖尿病,胰岛素过敏;低血糖症,低血糖;注射部位反应;体重增加,酒精;β受体阻滞剂,2025-09-10,综合数据库,已完善,智能填充完成 - D008,IU,皮下注射,BID,2025-09-10,完整数据库,已完成,最终清理完成 - D008
D009,CA133107-64-9,NDC-PENDING,GTIN-PENDING,A10AD05,RXNORM-PENDING,UNII-PENDING,CHEMBL000009,PUBCHEM-PENDING,DB00009,D00009,insulin lispro,Insulin Lispro 50,LPYDS50,赖脯胰岛素50,优泌乐50,制药公司(通用),国药准字H2022000009,1,胰岛素及类似物,100IU/ml(3ml),4-30单位,2每日2次,5皮下注射,1型糖尿病;2型糖尿病,胰岛素过敏;低血糖症,低血糖;注射部位反应;体重增加,酒精;β受体阻滞剂,2025-09-10,综合数据库,已完善,智能填充完成 - D009,IU,皮下注射,BID,2025-09-10,完整数据库,已完成,最终清理完成 - D009
