表名,字段名,数据类型,必填,中文说明,交互设计,验证规则,选项值,关联关系,备注,题目编号
# ==================== 用药清单表 ====================
medication_list,medication_id,VARCHAR_32,是,用药记录ID,UUID自动生成,系统生成,,,"用药清单表，记录患者详细用药信息",
medication_list,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,
medication_list,medication_category,TINYINT,是,用药分类,下拉选择,必选,1糖尿病用药;2糖尿病肾病用药;3糖尿病视网膜病变用药;4糖尿病神经病变用药;5高血压用药;6冠心病用药;7心律失常用药;8血脂异常用药;9高尿酸血症用药;10脑梗用药;11脑出血用药;12肥胖用药;13其他用药,,"用药所属的疾病分类",M1
medication_list,source_table,VARCHAR_50,是,来源表名,系统自动填充,关联验证,diabetes_history;diabetes_complications;other_diseases,,"记录该用药记录来源于哪个疾病表",
medication_list,source_field,VARCHAR_50,是,来源字段,系统自动填充,关联验证,,,"记录该用药记录来源于哪个具体的用药字段",

# 核心用药信息字段
medication_list,drug_name,VARCHAR_100,是,药品通用名,搜索下拉选择,药品名称验证,,,"药品的通用名称，支持搜索和下拉选择",M2
medication_list,brand_name,VARCHAR_100,否,商品名,输入框,可选,,,"药品的商品名或品牌名",M2A
medication_list,specification,VARCHAR_50,是,规格,下拉输入组合,规格格式验证,,,"药品规格，如5mg/片、100mg/ml等",M3
medication_list,dosage_amount,DECIMAL_8_2,是,单次剂量,数字输入,数值范围验证,,,"单次服用的剂量数值",M4
medication_list,dosage_unit,VARCHAR_20,是,剂量单位,下拉选择,单位验证,mg;g;ml;IU;μg;片;粒;包;袋;支;瓶,,"剂量的计量单位",M4A
medication_list,frequency,TINYINT,是,服用频次,下拉选择,必选,1每日1次;2每日2次;3每日3次;4每日4次;5隔日1次;6每周1次;7每周2次;8每周3次;9每月1次;10按需服用;11其他频次,,"服用的频次",M5
medication_list,frequency_other,VARCHAR_50,否,其他频次详情,输入框,频次为其他时必填,,frequency,"当频次选择其他时的具体描述",M5A
medication_list,administration_route,TINYINT,是,给药途径,下拉选择,必选,1口服;2静脉注射;3静脉滴注;4肌肉注射;5皮下注射;6外用;7吸入;8直肠给药;9鼻喷;10含服;11贴剂;12其他途径,,"药物的给药方式",M6
medication_list,administration_route_other,VARCHAR_50,否,其他给药途径,输入框,给药途径为其他时必填,,administration_route,"当给药途径选择其他时的具体描述",M6A

# 用药时间信息
medication_list,start_date,DATE,否,开始用药日期,日期选择器,日期格式验证,,,"开始服用该药物的日期",M7
medication_list,end_date,DATE,否,停药日期,日期选择器,日期格式验证且晚于开始日期,,,"停止服用该药物的日期，为空表示仍在服用",M8
medication_list,is_current,BOOLEAN,是,是否目前在用,自动计算,根据停药日期自动判断,是否,,"根据停药日期自动判断是否目前仍在使用",
medication_list,duration_months,INT,否,用药时长(月),自动计算,根据开始和结束日期自动计算,,,"用药持续时间，单位为月",

# 用药效果和安全性
medication_list,adherence_level,TINYINT,否,依从性水平,下拉选择,可选,1很好;2较好;3一般;4较差;5很差,,"患者对该药物的服药依从性",M9
medication_list,therapeutic_effect,TINYINT,否,治疗效果,下拉选择,可选,1显著;2有效;3一般;4无效;5不确定,,"该药物的治疗效果评估",M10
