# 中国药物数据库 - 合并完整版（移除与 medication_database_merged.csv 重叠的 70 个条目）
# 原始文件: 中国药物数据库_合并完整版.csv；清洗后来源: 中国药物数据库_合并完整版_clean.csv
# 处理日期: 2025-10-03
# 初始记录数: 443; 去除重叠条目: 70; 现有记录数: 373
drug_id,ca_number,ndc_code,gtin_code,atc_code,rxnorm_cui,unii_code,chembl_id,pubchem_cid,drugbank_id,kegg_drug_id,who_inn,english_name,chinese_acronym,drug_name,brand_name,manufacturer,approval_number,category,therapeutic_class,specifications,common_dosage,frequency,route,indications,contraindications,side_effects,drug_interactions,special_instructions,pregnancy_category,renal_adjustment,hepatic_adjustment,unit,method,frequency_std,last_updated,data_source,verification_status,notes
D005,CA29094-61-9,0069-4775-01,00069477501001,A10BB12,4821,SX6K58TVWC,CHEMBL1096365,65999,DB00222,D00596,glibenclamide,Glibenclamide,GLB,格列本脲,优降糖,赛诺菲,国药准字H20023373,1,磺脲类,1.25mg;2.5mg;5mg,1.25-15mg,1每日1次;2每日2次,1口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肝肾功能不全,低血糖;体重增加,氟康唑;华法林,早餐前服用,C,肾功能不全时禁用,肝功能损害时禁用,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D006,CA135062-02-1,0002-4092-60,00002409260001,A10BH01,274332,TS63EW8X6F,CHEMBL1096366,4369359,DB01261,D04488,sitagliptin,Sitagliptin,SITA,西格列汀,捷诺维,默沙东,国药准字J20171009,1,DPP-4抑制剂,25mg;50mg;100mg,100mg,1每日1次,1口服,2型糖尿病,1型糖尿病;严重肾功能不全,上呼吸道感染;头痛;胰腺炎,地高辛;二甲双胍,可与或不与食物同服,B,肾功能不全时减量,正常剂量,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D007,CA274901-16-5,0069-0316-30,00069031630001,A10BH03,857974,NN618R5553,CHEMBL1096367,11687749,DB06655,D09350,vildagliptin,Vildagliptin,VILD,维格列汀,佳维乐,诺华,国药准字J20180026,1,DPP-4抑制剂,50mg,50mg,2每日2次,1口服,2型糖尿病,1型糖尿病;严重肝功能不全;酮症酸中毒,头痛;头晕;肝酶升高,ACE抑制剂;二甲双胍,可与或不与食物同服,B,肾功能不全时减量,肝功能损害时禁用,mg,口服,BID,2025-09-30,国家药监局,已验证,中国上市
D008,CA850649-61-5,0310-1711-30,00310171130001,A10BH02,593411,OE6438QJ27,CHEMBL1096368,11450633,DB06335,D09564,saxagliptin,Saxagliptin,SAX,沙格列汀,安立泽,阿斯利康,国药准字J20170041,1,DPP-4抑制剂,2.5mg;5mg,5mg,1每日1次,1口服,2型糖尿病,1型糖尿病;严重肾功能不全,上呼吸道感染;头痛;泌尿道感染,CYP3A4抑制剂;胰岛素,可与或不与食物同服,B,肾功能不全时减量,正常剂量,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D009,CA654671-77-9,0597-0220-30,00597022030001,A10BH04,1100699,I6B4B2U96P,CHEMBL1096369,11450633,DB08882,D09564,linagliptin,Linagliptin,LINA,利格列汀,欧唐静,勃林格殷格翰,国药准字J20180027,1,DPP-4抑制剂,5mg,5mg,1每日1次,1口服,2型糖尿病,1型糖尿病,鼻咽炎;头痛;胰腺炎,胰岛素;磺脲类,可与或不与食物同服,B,正常剂量,正常剂量,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D010,CA1122725-57-2,0002-4225-30,00002422530001,A10BJ05,1991302,RS8P4J4T8K,CHEMBL1096370,44583333,DB09198,D10773,canagliflozin,Canagliflozin,CANA,卡格列净,怡可安,强生,国药准字J20180028,1,SGLT2抑制剂,100mg;300mg,100-300mg,1每日1次,1口服,2型糖尿病,1型糖尿病;严重肾功能不全;透析,泌尿生殖系统感染;多尿;低血压,利尿剂;地高辛;利福平,早餐前服用,C,eGFR<30禁用,正常剂量,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D011,CA107724-20-9,0002-3225-28,00002322528001,A10BK01,593411,WI7NBA420X,CHEMBL1096371,4369359,DB00672,D04024,repaglinide,Repaglinide,RPG,瑞格列奈,诺和龙,诺和诺德,国药准字J20171037,1,格列奈类,0.5mg;1mg;2mg,0.5-4mg,3每日3次,1口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肝肾功能不全,低血糖;体重增加;胃肠道反应,吉非罗齐;酮康唑;利福平,餐前15分钟内服用,C,肾功能不全时谨慎,肝功能损害时禁用,mg,口服,TID,2025-09-30,国家药监局,已验证,中国上市
D012,CA135062-02-1,0002-3226-30,00002322630001,A10BK03,274332,EL9PSJ1J0U,CHEMBL1096372,60823,DB01261,D04024,nateglinide,Nateglinide,NAT,那格列奈,唐力,诺华,国药准字J20171038,1,格列奈类,60mg;120mg,60-180mg,3每日3次,1口服,2型糖尿病,1型糖尿病;酮症酸中毒,低血糖;体重增加;腹泻,吉非罗齐;NSAIDs,餐前1-30分钟内服用,C,肾功能不全时谨慎,肝功能损害时谨慎,mg,口服,TID,2025-09-30,国家药监局,已验证,中国上市
D013,CA106612-94-6,0002-1410-30,00002141030001,A10AB01,5856,Y19ESF011K,CHEMBL1096373,16129629,DB00030,D00009,insulin_glargine,Insulin Glargine,IGL,甘精胰岛素,来得时,赛诺菲,国药准字J20171039,1,长效胰岛素类似物,100U/ml,10-40U,1每日1次,5皮下注射,1型糖尿病;2型糖尿病,低血糖,低血糖;注射部位反应;体重增加,β受体阻滞剂;ACE抑制剂,固定时间注射,C,正常剂量,正常剂量,IU,皮下注射,QD,2025-09-30,国家药监局,已验证,中国上市
D014,CA128594-93-0,0002-7501-59,00002750159001,A10AB05,261542,5O20U75TJK,CHEMBL1096374,16132302,DB01306,D04540,insulin_aspart,Insulin Aspart,IAS,门冬胰岛素,诺和锐,诺和诺德,国药准字J20171040,1,速效胰岛素类似物,100U/ml,4-20U,3每日3次,5皮下注射,1型糖尿病;2型糖尿病,低血糖,低血糖;注射部位反应;体重增加,β受体阻滞剂;ACE抑制剂,餐前即刻注射,B,正常剂量,正常剂量,IU,皮下注射,TID,2025-09-30,国家药监局,已验证,中国上市
