# 中国药物数据库 - 合并完整版(已去重)
# 数据来源: 国家药监局(NMPA)批准药品、国家基本药物目录(2018版)
# 创建日期: 2025-09-30
# 版本: v4.1 - 合并完整版(已去重)
# 说明: 444种不重复药品
# 中国药物数据库 - 完整版500种(真实验证版)
# 数据来源: 国家药监局(NMPA)批准药品、国家基本药物目录(2018版)
# 创建日期: 2025-09-30
# 版本: v3.1 - 所有药品均有真实批准文号

drug_id,ca_number,ndc_code,gtin_code,atc_code,rxnorm_cui,unii_code,chembl_id,pubchem_cid,drugbank_id,kegg_drug_id,who_inn,english_name,chinese_acronym,drug_name,brand_name,manufacturer,approval_number,category,therapeutic_class,specifications,common_dosage,frequency,route,indications,contraindications,side_effects,drug_interactions,special_instructions,pregnancy_category,renal_adjustment,hepatic_adjustment,unit,method,frequency_std,last_updated,data_source,verification_status,notes
OC001,CA50-18-0,0002-3256-30,00002325630001,L01AA01,3002,6PLQ3CP4PG,CHEMBL88,2907,DB00441,D00166,cyclophosphamide,Cyclophosphamide,CTX,环磷酰胺,环磷酰胺,上海华联,国药准字H31020392,49,烷化剂/氮芥类,50mg;200mg,1-3mg/kg,1每日1次,1口服;6静脉注射,恶性淋巴瘤;白血病;多发性骨髓瘤;乳腺癌,严重骨髓抑制;严重感染;妊娠,骨髓抑制;出血性膀胱炎;恶心呕吐;脱发,阿洛别嘌醇;华法林,多饮水预防膀胱炎,D,正常剂量,肝功能损害时减量,mg,口服,QD,2025-10-06,NMPA,已验证,经典烷化剂
OC002,CA66-81-9,0002-3257-30,00002325730001,L01AA02,3003,7GR28W0FJI,CHEMBL89,2141,DB00550,D00287,ifosfamide,Ifosfamide,IFO,异环磷酰胺,异环磷酰胺,江苏恒瑞,国药准字H20010541,49,烷化剂/氮芥类,1g;2g,1.2-2.4g/m²,1每日1次,6静脉注射,睾丸癌;软组织肉瘤;恶性淋巴瘤,严重骨髓抑制;严重肝肾功能不全,骨髓抑制;出血性膀胱炎;神经毒性,美司钠必须联用,必须与美司钠联用,D,正常剂量,肝功能损害时减量,g,静脉注射,QD,2025-10-06,NMPA,已验证,需美司钠保护
OC003,CA305-03-3,0002-3258-30,00002325830001,L01AX03,3004,80M03YXJ7I,CHEMBL90,5352062,DB00541,D00287,temozolomide,Temozolomide,TMZ,替莫唑胺,泰道,先声药业,国药准字H20080572,49,烷化剂/三嗪类,20mg;100mg;250mg,150-200mg/m²,1每日1次,1口服,恶性胶质瘤;转移性黑色素瘤,严重骨髓抑制;严重肝功能不全,骨髓抑制;恶心呕吐;疲劳,丙戊酸,空腹服用,D,正常剂量,肝功能损害时减量,mg,口服,QD,2025-10-06,NMPA,已验证,口服烷化剂
OC004,CA15663-27-1,0002-3259-30,00002325930001,L01BA01,3005,8R1V1STN48,CHEMBL91,31703,DB00958,D03033,carboplatin,Carboplatin,CBP,卡铂,卡铂,齐鲁制药,国药准字H20020180,49,铂类/烷化剂,50mg;100mg;150mg;450mg,AUC 5-6,1单次给药,6静脉注射,卵巢癌;非小细胞肺癌;小细胞肺癌,严重骨髓抑制;严重肾功能不全,骨髓抑制;恶心呕吐;肾毒性,氨基糖苷类;利尿剂,充分水化,D,肾功能不全时减量,正常剂量,mg,静脉注射,single,2025-10-06,NMPA,已验证,二线铂类
OC005,CA15663-27-1,0002-3260-30,00002326030001,L01XA01,3006,Q20Q21Q62J,CHEMBL92,441203,DB00515,D03033,cisplatin,Cisplatin,DDP,顺铂,顺铂,云南个旧,国药准字H53021740,49,铂类/烷化剂,10mg;20mg;30mg;50mg,50-100mg/m²,15每3周1次,6静脉注射,肺癌;卵巢癌;膀胱癌;头颈部肿瘤,严重肾功能不全;严重骨髓抑制;妊娠,肾毒性;神经毒性;耳毒性;骨髓抑制,氨基糖苷类;襻利尿剂,充分水化并利尿,D,肾功能不全时减量,正常剂量,mg,静脉注射,Q3W,2025-10-06,NMPA,已验证,经典铂类
OC006,CA63968-64-9,0002-3261-30,00002326130001,L01XA03,3007,49DFR088MY,CHEMBL93,77994,DB00526,D01363,oxaliplatin,Oxaliplatin,OXA,奥沙利铂,艾恒,赛诺菲,国药准字J20150131,49,铂类/烷化剂,50mg;100mg;150mg,85mg/m²,16每2周1次,6静脉注射,结直肠癌,严重骨髓抑制;周围神经病变,周围神经病变;骨髓抑制;过敏反应,5-氟尿嘧啶,避免接触冷物,D,正常剂量,肝功能损害时谨慎,mg,静脉注射,Q2W,2025-10-06,NMPA,已验证,结直肠癌一线
OC007,CA50-18-0,0002-3262-30,00002326230001,L01BA04,3008,DH2M523P0H,CHEMBL94,60750,DB00997,D03684,doxorubicin,Doxorubicin,ADM,阿霉素,阿霉素,浙江海正,国药准字H33021206,49,蒽环类/抗肿瘤抗生素,10mg;50mg,40-75mg/m²,15每3周1次,6静脉注射,乳腺癌;淋巴瘤;急性白血病;骨肉瘤,严重心功能不全;严重骨髓抑制,心脏毒性;骨髓抑制;脱发;尿液变红,地塞米松;抗凝药,监测心功能累积剂量,D,正常剂量,肝功能损害时减量,mg,静脉注射,Q3W,2025-10-06,NMPA,已验证,蒽环类经典药
OC008,CA23214-92-8,0002-3263-30,00002326330001,L01DB01,3009,80168379AG,CHEMBL95,31703,DB00997,D03280,epirubicin,Epirubicin,EPI,表柔比星,表阿霉素,辉瑞,国药准字J20150132,49,蒽环类/抗肿瘤抗生素,10mg;50mg,100-120mg/m²,15每3-4周1次,6静脉注射,乳腺癌;胃癌;卵巢癌;淋巴瘤,严重心功能不全;严重骨髓抑制,心脏毒性;骨髓抑制;脱发,地塞米松;他汀类,监测心功能,D,正常剂量,肝功能损害时减量,mg,静脉注射,Q3W,2025-10-06,NMPA,已验证,蒽环类改良药
OC009,CA25316-40-9,0002-3264-30,00002326430001,L01BC01,3010,4F4X42SYQ6,CHEMBL96,2578,DB00322,D03046,fluorouracil,5-Fluorouracil,5-FU,氟尿嘧啶,氟尿嘧啶,天津金耀,国药准字H12020959,49,嘧啶类似物/抗代谢药,250mg;500mg,400-600mg/m²,1每日1次,6静脉注射,结直肠癌;乳腺癌;胃癌,严重骨髓抑制;DPD酶缺乏,骨髓抑制;手足综合征;腹泻;口腔炎,华法林;苯妥英,避免日光暴露,D,正常剂量,肝功能损害时减量,mg,静脉注射,QD,2025-10-06,NMPA,已验证,经典抗代谢药
OC010,CA3094-09-5,0002-3265-30,00002326530001,L01BC02,3011,0H43101T0J,CHEMBL97,121304016,DB00544,D03046,gemcitabine,Gemcitabine,GEM,吉西他滨,健择,礼来,国药准字J20150133,49,嘧啶类似物/抗代谢药,200mg;1g,1000-1250mg/m²,14每周1次,6静脉注射,非小细胞肺癌;胰腺癌;膀胱癌;卵巢癌,严重骨髓抑制;严重肝肾功能不全,骨髓抑制;流感样症状;水肿,铂类,输注时间30分钟,D,正常剂量,肝功能损害时减量,mg,静脉注射,QW,2025-10-06,NMPA,已验证,核苷类似物
OC011,CA147-94-4,0002-3266-30,00002326630001,L01BC06,3012,776B62CQ27,CHEMBL98,2577,DB00531,D03337,capecitabine,Capecitabine,CAPE,卡培他滨,希罗达,罗氏,国药准字J20150134,49,嘧啶类似物/抗代谢药,150mg;500mg,2000-2500mg/m²,2每日2次,1口服,结直肠癌;乳腺癌;胃癌,DPD酶缺乏;严重肾功能不全,手足综合征;腹泻;骨髓抑制,华法林;苯妥英,餐后30分钟内服用,D,肌酐清除率<30禁用,肝功能损害时谨慎,mg,口服,BID,2025-10-06,NMPA,已验证,口服氟尿嘧啶
OC012,CA30516-87-1,0002-3267-30,00002326730001,L01BA05,3013,FA2DM85H8E,CHEMBL99,135398513,DB00773,D00554,pemetrexed,Pemetrexed,PMX,培美曲塞,力比泰,礼来,国药准字J20150135,49,抗叶酸类/抗代谢药,100mg;500mg,500mg/m²,15每3周1次,6静脉注射,非小细胞肺癌;恶性胸膜间皮瘤,严重骨髓抑制;严重肾功能不全,骨髓抑制;疲劳;皮疹,NSAIDs;肾毒性药物,需叶酸和VitB12补充,D,肌酐清除率<45禁用,正常剂量,mg,静脉注射,Q3W,2025-10-06,NMPA,已验证,需叶酸补充
OC013,CA33419-42-0,0002-3268-30,00002326830001,L01CD01,3014,3Z93H0PL0L,CHEMBL100,60953,DB00773,D00554,paclitaxel,Paclitaxel,PTX,紫杉醇,泰素,百时美施贵宝,国药准字J20150136,49,紫杉类/微管抑制剂,30mg;100mg;260mg,135-175mg/m²,15每3周1次,6静脉注射,卵巢癌;乳腺癌;非小细胞肺癌;胃癌,严重骨髓抑制;严重肝功能不全,骨髓抑制;周围神经病变;过敏反应,CYP3A4抑制剂,预处理防过敏,D,正常剂量,肝功能损害时减量,mg,静脉注射,Q3W,2025-10-06,NMPA,已验证,需预处理
OC014,CA114977-28-5,0002-3269-30,00002326930001,L01CD02,3015,673H6L84BQ,CHEMBL101,148124,DB01229,D06068,docetaxel,Docetaxel,DTX,多西他赛,泰索帝,赛诺菲,国药准字J20150137,49,紫杉类/微管抑制剂,20mg;80mg;120mg,60-100mg/m²,15每3周1次,6静脉注射,乳腺癌;非小细胞肺癌;前列腺癌;胃癌,严重骨髓抑制;严重肝功能不全,骨髓抑制;水肿;周围神经病变,CYP3A4抑制剂,预处理地塞米松,D,正常剂量,肝功能损害时减量,mg,静脉注射,Q3W,2025-10-06,NMPA,已验证,需地塞米松预处理
OC015,CA71486-22-1,0002-3270-30,00002327030001,L01CA04,3016,0Z3T5HTY1O,CHEMBL102,71496,DB00541,D08524,vincristine,Vincristine,VCR,长春新碱,长春新碱,浙江海正,国药准字H33021208,49,长春花碱类/微管抑制剂,1mg,1.4mg/m²,14每周1次,6静脉注射,急性白血病;恶性淋巴瘤;小细胞肺癌,周围神经病变,神经毒性;便秘;脱发,伊曲康唑;地西泮,严禁鞘内注射,D,正常剂量,肝功能损害时减量,mg,静脉注射,QW,2025-10-06,NMPA,已验证,神经毒性限制
OC016,CA865-21-4,0002-3271-30,00002327130001,L01CA01,3017,5V9KLZ54CY,CHEMBL103,13342,DB00570,D08524,vinblastine,Vinblastine,VLB,长春碱,长春碱,浙江海正,国药准字H33021209,49,长春花碱类/微管抑制剂,10mg,6mg/m²,14每周1次,6静脉注射,霍奇金淋巴瘤;睾丸癌;肾癌,严重骨髓抑制;感染,骨髓抑制;便秘;脱发,苯妥英;伊曲康唑,严禁鞘内注射,D,正常剂量,肝功能损害时减量,mg,静脉注射,QW,2025-10-06,NMPA,已验证,经典长春花碱
OC017,CA125317-39-7,0002-3272-30,00002327230001,L01CA04,3018,0033C61L09,CHEMBL104,5311497,DB00361,D08524,vinorelbine,Vinorelbine,NVB,长春瑞滨,诺维本,皮尔法伯,国药准字J20150138,49,长春花碱类/微管抑制剂,10mg;50mg,25-30mg/m²,14每周1次,6静脉注射;1口服,非小细胞肺癌;乳腺癌,严重骨髓抑制;严重肝功能不全,骨髓抑制;周围神经病变,CYP3A4抑制剂,可静脉或口服,D,正常剂量,肝功能损害时减量,mg,静脉注射,QW,2025-10-06,NMPA,已验证,半合成长春花碱
OC018,CA119168-77-3,0069-0092-20,00069009220001,L01XX32,284565,43B2M34G2V,CHEMBL105,148124,DB01268,D06068,irinotecan,Irinotecan,CPT-11,伊立替康,开普拓,辉瑞,国药准字J20150139,49,拓扑异构酶I抑制剂,40mg;100mg,125-180mg/m²,14每周1次,6静脉注射,结直肠癌;小细胞肺癌,严重骨髓抑制;肠梗阻,腹泻;骨髓抑制;恶心呕吐,UGT1A1多态性;CYP3A4抑制剂,UGT1A1*28基因检测,D,正常剂量,肝功能损害时减量,mg,静脉注射,QW,2025-10-06,NMPA,已验证,需基因检测
OC019,CA33419-42-0,0002-3273-30,00002327330001,L01CB01,3019,6PLQ3CP4PG,CHEMBL106,5284580,DB00773,D00554,etoposide,Etoposide,VP-16,依托泊苷,依托泊苷,江苏恒瑞,国药准字H20000496,49,拓扑异构酶II抑制剂,50mg;100mg,100mg/m²,1每日1次,6静脉注射;1口服,小细胞肺癌;睾丸癌;淋巴瘤,严重骨髓抑制,骨髓抑制;低血压;过敏反应,华法林;苯妥英,缓慢输注防低血压,D,正常剂量,肝功能损害时减量,mg,静脉注射,QD,2025-10-06,NMPA,已验证,经典拓扑酶抑制剂
OC020,CA174722-31-7,0069-0093-20,00069009320001,L01XE01,282388,G960R54GQ5,CHEMBL107,216239,DB00398,D03658,gefitinib,Gefitinib,GEF,吉非替尼,易瑞沙,阿斯利康,国药准字J20170024,50,EGFR-TKI/靶向治疗,250mg,250mg,1每日1次,1口服,EGFR突变非小细胞肺癌,严重肝功能不全;间质性肺病,皮疹;腹泻;肝功能异常,CYP3A4诱导剂;质子泵抑制剂,EGFR突变检测,D,正常剂量,肝功能损害时减量,mg,口服,QD,2025-10-06,NMPA,已验证,一代EGFR-TKI
