# 天津医科大学FFQ食物频率问卷数据库表设计
# 基于PDF标准文档: 问卷TJ_FFQ_Niu v07(1)(1).pdf
# 创建日期: 2025-08-07
# 版本: v1.3 (规范化)

# 表结构说明：
# 1. 频率编码统一：
#    食物类别：0:几乎不吃 1:1周<1次 2:1周1次 3:1周2-3次 4:1周4-6次 5:1天1次 6:1天≧2次
#    饮料类别：0:几乎不喝 1:1周<1次 2:1周1次 3:1周2-3次 4:1周4-6次 5:1天1次 6:1天2-3次 7:1天≧4次
#    烹饪方法：0:几乎不用 1:1周<1次 2:1周1次 3:1周2-3次 4:1周4-6次 5:1天1次 6:1天≧2次

"table_name","field_name","data_type","required","field_label","control_type","validation","options","dependency","description"

# 基本信息字段
"ffq_tj_full_scale","patient_name","VARCHAR(100)","是","姓名","文本输入框","必填","","","患者姓名"
"ffq_tj_full_scale","exam_number","VARCHAR(50)","否","体检编号","文本输入框","选填","","","体检编号"
"ffq_tj_full_scale","gender","TINYINT","是","性别","单选按钮","必选","1:男;2:女","","性别"
"ffq_tj_full_scale","birth_date","DATE","是","出生日期","日期选择器","必填","","","出生日期"
"ffq_tj_full_scale","age","TINYINT","否","年龄","数字输入","根据出生日期自动计算","","","根据出生日期自动计算，无需填写"
"ffq_tj_full_scale","height","DECIMAL(5,1)","是","身高(cm)","数字输入","必填，范围100.0-250.0","","","身高，单位厘米"
"ffq_tj_full_scale","weight","DECIMAL(5,1)","是","体重(kg)","数字输入","必填，范围20.0-200.0","","","体重，单位公斤"
"ffq_tj_full_scale","ethnicity","VARCHAR(50)","是","民族","下拉选择框","必选，默认汉族","","","民族，默认为汉族"
"ffq_tj_full_scale","birthplace","VARCHAR(100)","是","出生地","下拉选择框","必选，默认天津","","","出生地，默认为天津"
"ffq_tj_full_scale","local_residence_years","TINYINT","否","在本地居住时间(年)","数字输入","选填，范围0-100","","","在本地居住的时间(年)"
"ffq_tj_full_scale","fill_date","DATE","是","填写日期","日期选择器","必填","","","问卷填写日期"
"ffq_tj_full_scale","phone_number","VARCHAR(20)","否","电话","文本输入框","选填，手机号码格式","","","联系电话"
"ffq_tj_full_scale","email","VARCHAR(100)","否","电子邮箱","文本输入框","选填，邮箱格式验证","","","电子邮箱地址"

# 主食类 (8项)
"ffq_tj_full_scale","staple_mantou_freq","TINYINT","是","馒头，花卷，烙饼等","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","主食类"
"ffq_tj_full_scale","staple_baozi_jiaozi_freq","TINYINT","是","包子，饺子","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","主食类"
"ffq_tj_full_scale","staple_noodles_freq","TINYINT","是","炸酱面/打卤面/兰州拉面等","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","主食类"
"ffq_tj_full_scale","staple_instant_noodles_freq","TINYINT","是","方便面","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","主食类"
"ffq_tj_full_scale","staple_wonton_freq","TINYINT","是","馄饨/云吞","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","主食类"
"ffq_tj_full_scale","staple_bread_freq","TINYINT","是","面包","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","主食类"
"ffq_tj_full_scale","staple_rice_freq","TINYINT","是","米饭","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","主食类"
"ffq_tj_full_scale","staple_porridge_freq","TINYINT","是","所有种类的粥","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","主食类"

# 杂粮类 (1项)
"ffq_tj_full_scale","staple_coarse_grains_freq","TINYINT","是","杂粮（包括玉米等）","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","杂粮类"

# 奶制品类 (3项)
"ffq_tj_full_scale","dairy_milk_freq","TINYINT","是","普通牛奶","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","奶制品"
"ffq_tj_full_scale","dairy_low_fat_milk_freq","TINYINT","是","低脂肪牛奶","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","奶制品"
"ffq_tj_full_scale","dairy_yogurt_freq","TINYINT","是","酸奶","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","奶制品"

# 肉禽鱼蛋类 (12项)
"ffq_tj_full_scale","meat_poultry_freq","TINYINT","是","禽肉（鸡鸭等）","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
"ffq_tj_full_scale","meat_livestock_freq","TINYINT","是","畜肉（猪牛羊）","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
"ffq_tj_full_scale","meat_animal_liver_freq","TINYINT","是","动物肝","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
"ffq_tj_full_scale","meat_pork_skin_freq","TINYINT","是","猪皮(包括带皮肉等的猪皮)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
"ffq_tj_full_scale","meat_animal_blood_freq","TINYINT","是","动物血(猪,鸡,羊血等)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
"ffq_tj_full_scale","meat_animal_offal_freq","TINYINT","是","除肝脏外的动物内脏类(肾脏,大小肠等)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
"ffq_tj_full_scale","meat_sausage_ham_freq","TINYINT","是","香肠/腊肠/火腿等","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
"ffq_tj_full_scale","egg_chicken_egg_freq","TINYINT","是","鸡蛋","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
"ffq_tj_full_scale","egg_preserved_egg_freq","TINYINT","是","皮蛋","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
