# GAD-2 广泛性焦虑筛查量表（初筛）数据库表设计
# 量表说明：2项简化版焦虑筛查工具，用于快速识别焦虑风险
# 计分方式：总分范围0-6分，<3分焦虑风险低；≥3分焦虑高风险
# 适用对象：需要焦虑症初筛的患者（如住院患者、门诊快速筛查）
# 问卷指导语："在过去的两周内，有多少时候您受到以下问题困扰？"
"表名","字段名","数据类型","必填","中文说明","交互设计","验证规则","选项值","关联关系","备注","题目编号"
"gad2_scale","patient_id","VARCHAR_32","是","患者唯一ID","外键关联","外键约束","","patient_basic_info","关联患者基本信息表",""
"gad2_scale","patient_name","VARCHAR_50","是","患者姓名","输入框","必填","","","患者真实姓名",""
"gad2_scale","patient_birthday","DATE","是","患者出生日期","日期选择器","必填","","","患者出生日期",""
"gad2_scale","patient_age","INT","是","患者年龄","自动计算","自动计算","","","根据出生日期自动计算当前年龄",""
"gad2_scale","patient_gender","TINYINT","是","患者性别","单选按钮","必选","0:女;1:男","","患者性别",""
"gad2_scale","department","VARCHAR_50","是","科室","输入框","必填","","","患者所在科室",""
"gad2_scale","bed_number","VARCHAR_20","否","床号","输入框","选填","","","患者床位号（住院患者）",""
"gad2_scale","medical_record_number","VARCHAR_30","否","病案号","输入框","选填","","","患者病案号",""
"gad2_scale","assessment_date","DATE","是","评估日期","日期选择器","必填","","","评估实施日期",""
"gad2_scale","assessor_name","VARCHAR_50","是","护士签名","输入框","必填","","","实施评估的护士姓名",""

# GAD-2 焦虑筛查量表条目
"gad2_scale","gad2_q1","TINYINT","是","感到紧张，焦虑或急切","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q1"
"gad2_scale","gad2_q2","TINYINT","是","不能停止或控制担忧","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q2"
"gad2_scale","gad2_total_score","INT","是","GAD-2 总分","自动计算","0-6","","","所有项目得分的总和。<3分:焦虑风险低;≥3分:焦虑高风险。",""

# ==================== 开发说明 ====================
# GAD-2 广泛性焦虑筛查量表（初筛）技术实现要求：
#
# 1. 评分标准：
#    问卷共2个问题，每题评分0-3分：
#    0 = 完全不会
#    1 = 好几天
#    2 = 一半以上的天数
#    3 = 几乎每天
#    总分范围：0-6分，得分越高表示焦虑症状越严重
#
# 2. 问卷说明：
#    适用对象：需要焦虑症初筛的患者（如住院患者、门诊快速筛查）
#    评估时间范围：过去两周内
#    问卷指导语："在过去的两周内，有多少时候您受到以下问题困扰？"
#    GAD-2是GAD-7的简化版本，用于快速筛查
#
# 3. 问卷条目内容（Q1-Q2基于GAD-2标准）：
#    Q1：感到紧张，焦虑或急切（基本焦虑感受）
#    Q2：不能停止或控制担忧（担忧控制困难）
#    这两个问题是GAD-7中识别度最高的核心条目
#
# 4. 表单交互：
#    - 患者基本信息：姓名、出生日期（自动计算年龄）、性别、科室、床号、病案号等
#    - 所有问题均为必选项
#    - 使用单选按钮形式（4个选项）
#    - 按问题编号顺序显示（Q1-Q2）
#    - 问卷开头显示统一指导语
#    - 每个问题显示完整的描述文本
#
# 5. 数据验证：
#    - 基本信息字段必填（姓名、出生日期、性别、科室、护士签名等）
#    - 出生日期合理性验证（不能未来日期，不能过于久远）
#    - 年龄自动计算并显示，无需用户输入
#    - 所有2个问题必须完成评分
#    - 评分值必须在0-3范围内
#    - 总分自动计算
#
# 6. 计分方法：
#    - 总分 = Q1得分 + Q2得分
#    - 系统自动计算总分
#    - 所有条目均为正向计分（无需反向计分）
#
# 7. 临床解释：
#    - <3分：焦虑风险低（无需进一步评估）
#    - ≥3分：焦虑高风险（建议进行GAD-7完整评估）
#    - GAD-2主要用于初筛，高风险患者需要进一步详细评估
#    - 可作为住院患者常规筛查工具
#
# 8. 问卷管理：
#    - 评估人员通常为护士（护士签名字段）
#    - 适合在病房、门诊等快速筛查场景使用
#    - 填写时间短（约1-2分钟）
#    - 可用于定期监测（如每周筛查）
#    - 高风险患者需要专业心理干预或进一步评估
#
# 9. 临床应用：
#    - GAD-2是焦虑症的快速筛查工具
#    - 常用于住院患者的例行心理健康筛查
#    - 适用于初级医疗和专科医疗环境
#    - 可与PHQ-2联合使用进行焦虑抑郁联合筛查
#    - 节省时间，提高筛查效率
#
# 10. 使用注意事项：
#     - GAD-2是筛查工具，不能单独用于诊断
#     - 高风险患者（≥3分）建议使用GAD-7进行详细评估
#     - 需要结合临床情况进行解释
#     - 可用于监测治疗效果（治疗前后对比）
#     - 适合大规模筛查项目
#
# 11. 技术实现注意事项：
#     - 年龄自动计算：基于patient_birthday和当前日期计算周岁年龄
#     - 总分自动计算并实时显示
#     - 风险评估结果自动显示（低风险/高风险）
#     - 高风险患者可自动触发提醒机制
#     - 适合移动端和桌面端快速操作
#
# 12. 质量控制：
#     - 确保患者理解问卷指导语
#     - 注意文化背景对焦虑表达的影响
#     - 评估环境应相对安静
#     - 护士需要基本的心理评估培训
#     - 记录评估时间和环境因素
#
# 13. 数据管理：
#     - 与患者主要信息系统集成
#     - 支持批量导出和统计分析
#     - 高风险患者数据需要特殊标记
#     - 可生成部门筛查统计报告
#
# 备注：此量表为广泛性焦虑筛查量表简化版，是快速焦虑筛查的有效工具，广泛用于临床初筛
