# GAD-7 广泛性焦虑自评量表数据库表设计
# 量表说明：评估患者的广泛性焦虑症状程度
# 计分方式：总分范围0-21分，0-4分正常；5-9分轻度焦虑；10-14分中度焦虑；15-21分重度焦虑
# 适用对象：需要焦虑症筛查的患者（如糖尿病、患有心理疾病的患者）
# 问卷指导语："在过去2个星期里，有多少时候您受到以下问题干扰？"
"表名","字段名","数据类型","必填","中文说明","交互设计","验证规则","选项值","关联关系","备注","题目编号"
"gad7_scale","patient_id","VARCHAR_32","是","患者唯一ID","外键关联","外键约束","","patient_basic_info","关联患者基本信息表",""
"gad7_scale","assessment_date","DATE","是","评估日期","日期选择器","必填","","","评估实施日期",""
"gad7_scale","assessor_name","VARCHAR_50","是","评估人姓名","输入框","必填","","","实施评估的医护人员姓名",""
"gad7_scale","gad7_q1","TINYINT","是","感觉紧张、焦虑或急切","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q1"
"gad7_scale","gad7_q2","TINYINT","是","不能够停止或控制担忧","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q2"
"gad7_scale","gad7_q3","TINYINT","是","对各种各样的事情担忧过多","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q3"
"gad7_scale","gad7_q4","TINYINT","是","很难放松下来","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q4"
"gad7_scale","gad7_q5","TINYINT","是","由于不安而无法静坐","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q5"
"gad7_scale","gad7_q6","TINYINT","是","变得容易烦恼或急躁","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q6"
"gad7_scale","gad7_q7","TINYINT","是","感到似乎将有可怕的事情发生而害怕","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q7"
"gad7_scale","gad7_total_score","INT","是","GAD-7 总分","自动计算","0-21","","","所有项目得分的总和。0-4分:正常;5-9分:轻度焦虑;10-14分:中度焦虑;15-21分:重度焦虑。",""

# ==================== 开发说明 ====================
# GAD-7 广泛性焦虑自评量表技术实现要求：
#
# 1. 评分标准：
#    问卷共7个问题，每题评分0-3分：
#    0 = 完全不会
#    1 = 好几天
#    2 = 一半以上的天数
#    3 = 几乎每天
#    总分范围：0-21分，得分越高表示焦虑症状越严重
#
# 2. 问卷说明：
#    适用对象：需要焦虑症筛查的患者（如糖尿病、患有心理疾病的患者）
#    评估时间范围：过去2个星期内
#    问卷指导语："在过去2个星期里，有多少时候您受到以下问题干扰？"
#    每个条目均需要患者选择最符合其症状频率的选项
#
# 3. 问卷条目内容（Q1-Q7基于GAD-7标准）：
#    Q1：感觉紧张、焦虑或急切（基本焦虑感受）
#    Q2：不能够停止或控制担忧（担忧控制困难）
#    Q3：对各种各样的事情担忧过多（过度担忧）
#    Q4：很难放松下来（放松困难）
#    Q5：由于不安而无法静坐（躁动不安）
#    Q6：变得容易烦恼或急躁（易激惹）
#    Q7：感到似乎将有可怕的事情发生而害怕（预期性焦虑）
#
# 4. 表单交互：
#    - 所有问题均为必选项
#    - 使用单选按钮形式（4个选项）
#    - 按问题编号顺序显示（Q1-Q7）
#    - 问卷开头显示统一指导语
#    - 每个问题显示完整的描述文本
#
# 5. 数据验证：
#    - 所有7个问题必须完成评分
#    - 评分值必须在0-3范围内
#    - 患者基本信息（患者ID、评估日期、评估人）为必填项
#    - 总分自动计算
#
# 6. 计分方法：
#    - 总分 = Q1得分 + Q2得分 + Q3得分 + Q4得分 + Q5得分 + Q6得分 + Q7得分
#    - 系统自动计算总分
#    - 所有条目均为正向计分（无需反向计分）
#
# 7. 临床解释：
#    - 0-4分：正常（无明显焦虑）
#    - 5-9分：轻度焦虑（需要关注）
#    - 10-14分：中度焦虑（需要干预）
#    - 15-21分：重度焦虑（需要立即治疗）
#    - 总分≥5分应警惕焦虑症状，建议进一步评估
#    - 总分≥10分提示需要专业干预
#
# 8. 问卷管理：
#    - 评估人员需要具备心理健康评估资质
#    - 建议每2-4周进行一次评估（治疗期间）
#    - 高分患者需要专业心理干预
#    - 结果需要结合临床情况进行解释
#    - 可用于评估抗焦虑治疗效果
#
# 9. 临床应用：
#    - GAD-7是广泛性焦虑障碍的筛查工具
#    - 也可用于评估其他焦虑障碍
#    - 常与PHQ-9联合使用评估焦虑抑郁共病
#    - 适用于初级医疗和专科医疗环境
#
# 10. 使用注意事项：
#     - GAD-7是筛查工具，不能单独用于诊断
#     - 需要结合临床访谈进行综合评估
#     - 自评可能存在误差，总分>5分建议及时就诊
#     - 定期监测有助于评估治疗效果
#     - 可与其他量表配合使用提高诊断准确性
#
# 11. 质量控制：
#     - 确保患者理解问卷指导语
#     - 注意文化背景对焦虑表达的影响
#     - 评估环境应安静、私密
#     - 必要时可由评估人员协助填写
#
# 备注：此量表为广泛性焦虑自评量表，是国际公认的焦虑症筛查工具，广泛用于临床焦虑症状评估
