# MMAS-8 8项Morisky用药依从性量表数据库表设计,,,,,,,,,,
# 量表说明：评估患者的用药依从性程度,,,,,,,,,,
# 计分方式：总分范围0-8分，8分依从性好；6-7分依从性中等；<6分依从性差,,,,,,,,,,
# 适用对象：需要长期用药治疗的患者（如糖尿病、高血压等）,,,,,,,,,,
表名,字段名,数据类型,必填,中文说明,交互设计,验证规则,选项值,关联关系,备注,题目编号
mmas8_scale,patient_id,VARCHAR_32,是,患者唯一ID,外键关联,外键约束,,patient_basic_info,关联患者基本信息表,
mmas8_scale,assessment_date,DATE,是,评估日期,日期选择器,必填,,,评估实施日期,
mmas8_scale,assessor_name,VARCHAR_50,是,评估人姓名,输入框,必填,,,实施评估的医护人员姓名,
mmas8_scale,mmas8_q1,TINYINT,是,您是否有时忘记服药?,单选按钮,必选,0:是;1:否,,"计分: 是=0分, 否=1分",Q1
mmas8_scale,mmas8_q2,TINYINT,是,在过去的2周内，是否有1天或几天您忘记服药?,单选按钮,必选,0:是;1:否,,"计分: 是=0分, 否=1分",Q2
mmas8_scale,mmas8_q3,TINYINT,是,治疗期间，当您觉得症状加重或出现其他症状时，您是否未告知医生而自行减少药量?,单选按钮,必选,0:是;1:否,,"计分: 是=0分, 否=1分",Q3
mmas8_scale,mmas8_q4,TINYINT,是,当您外出旅行或长时间离家时，您是否有时忘记随身携带药物?,单选按钮,必选,0:是;1:否,,"计分: 是=0分, 否=1分",Q4
mmas8_scale,mmas8_q5,TINYINT,是,昨天您服用药物了吗?,单选按钮,必选,1:是;0:否,,"计分: 是=1分, 否=0分",Q5
mmas8_scale,mmas8_q6,TINYINT,是,当您觉得自己的症状已经好转或消失时，您是否停止过服药?,单选按钮,必选,0:是;1:否,,"计分: 是=0分, 否=1分",Q6
mmas8_scale,mmas8_q7,TINYINT,是,您是否觉得要坚持治疗计划有困难？,单选按钮,必选,0:是;1:否,,"计分: 是=0分, 否=1分",Q7
mmas8_scale,mmas8_q8,"DECIMAL(3,2)",是,您觉得要记起按时按量服药很难吗?,单选按钮,必选,1:从不;0.75:偶尔;0.5:有时;0.25:经常;0:所有时间,,"计分: 从不=1分, 偶尔=0.75分, 有时=0.5分, 经常=0.25分, 所有时间=0分",Q8
mmas8_scale,mmas8_total_score,"DECIMAL(4,2)",是,MMAS-8 总分,自动计算,0-8,,,所有项目得分的总和。8分表示依从性好；6-7分表示依从性中等；<6分表示依从性差。,
,,,,,,,,,,
# ==================== 开发说明 ====================,,,,,,,,,,
# MMAS-8 8项Morisky用药依从性量表技术实现要求：,,,,,,,,,,
#,,,,,,,,,,
# 1. 评分标准：,,,,,,,,,,
#    问卷共8个问题，每题评分不同：,,,,,,,,,,
#    Q1-Q7：是/否题型,,,,,,,,,,
#      Q1：是=0分，否=1分 (忘记服药),,,,,,,,,,
#      Q2：是=0分，否=1分 (2周内忘记服药),,,,,,,,,,
#      Q3：是=0分，否=1分 (自行减药),,,,,,,,,,
#      Q4：是=0分，否=1分 (外出忘带药),,,,,,,,,,
#      Q5：是=1分，否=0分 (昨天服药) - 注意：此题计分相反,,,,,,,,,,
#      Q6：是=0分，否=1分 (症状好转停药),,,,,,,,,,
#      Q7：是=0分，否=1分 (坚持治疗困难),,,,,,,,,,
#    Q8：多选项题型（记忆困难程度）,,,,,,,,,,
#      从不=1分，偶尔=0.75分，有时=0.5分，经常=0.25分，所有时间=0分,,,,,,,,,,
#    总分范围：0-8分，得分越高表示用药依从性越好,,,,,,,,,,
#,,,,,,,,,,
# 2. 问卷说明：,,,,,,,,,,
#    适用对象：需要长期用药治疗的患者（如糖尿病、高血压等慢性病）,,,,,,,,,,
#    评估目的：识别用药依从性问题，指导用药教育和干预,,,,,,,,,,
#    临床意义：依从性差的患者需要重点关注和干预,,,,,,,,,,
#,,,,,,,,,,
# 3. 问卷条目内容：,,,,,,,,,,
#    Q1：您是否有时忘记服药?（一般性忘记）,,,,,,,,,,
#    Q2：在过去的2周内，是否有1天或几天您忘记服药?（近期忘记）,,,,,,,,,,
#    Q3：治疗期间，当您觉得症状加重或出现其他症状时，您是否未告知医生而自行减少药量?（自行调药）,,,,,,,,,,
#    Q4：当您外出旅行或长时间离家时，您是否有时忘记随身携带药物?（外出忘药）,,,,,,,,,,
#    Q5：昨天您服用药物了吗?（近期服药情况）,,,,,,,,,,
#    Q6：当您觉得自己的症状已经好转或消失时，您是否停止过服药?（症状好转停药）,,,,,,,,,,
#    Q7：您是否觉得要坚持治疗计划有困难？（治疗坚持困难）,,,,,,,,,,
#    Q8：您觉得要记起按时按量服药很难吗?（记忆困难程度）,,,,,,,,,,
#,,,,,,,,,,
# 4. 表单交互：,,,,,,,,,,
#    - 所有问题均为必选项,,,,,,,,,,
#    - Q1-Q7使用单选按钮形式（是/否）,,,,,,,,,,
#    - Q8使用单选按钮形式（5个选项）,,,,,,,,,,
#    - 按问题编号顺序显示（Q1-Q8）,,,,,,,,,,
#    - 每个问题显示完整的描述文本,,,,,,,,,,
#,,,,,,,,,,
# 5. 数据验证：,,,,,,,,,,
#    - 所有8个问题必须完成评分,,,,,,,,,,
#    - Q1-Q7评分值必须为0或1,,,,,,,,,,
#    - Q8评分值必须在[0, 0.25, 0.5, 0.75, 1]中选择,,,,,,
#    - 患者基本信息（患者ID、评估日期、评估人）为必填项,,,,,,,,,,
#    - 总分自动计算，支持小数点后2位,,,,,,,,,,
#,,,,,,,,,,
# 6. 计分方法：,,,,,,,,,,
#    - 总分 = Q1得分 + Q2得分 + Q3得分 + Q4得分 + Q5得分 + Q6得分 + Q7得分 + Q8得分,,,,,,,,,,
#    - 系统自动计算总分,,,,,,,,,,
#    - 注意Q5的计分方向与其他题目相反,,,,,,,,,,
#    - Q8支持小数评分（0.25的倍数）,,,,,,,,,,
#,,,,,,,,,,
# 7. 临床解释：,,,,,,,,,,
#    - 8分：依从性好（高依从性）,,,,,,,,,,
#    - 6-7分：依从性中等（中等依从性）,,,,,,,,,,
#    - <6分：依从性差（低依从性）,,,,,,,,,,
#    - 依从性差的患者需要：,,,,,,,,,,
#      * 加强用药教育,,,,,,,,,,
#      * 制定个性化用药提醒方案,,,,,,,,,,
#      * 定期随访和监督,,,,,,,,,,
#      * 简化用药方案,,,,,,,,,,
#      * 解决用药障碍,,,,,,,,,,
#,,,,,,,,,,
# 8. 问卷管理：,,,,,,,,,,
#    - 评估人员需要具备药学或护理专业知识,,,,,,,,,,
#    - 建议每3-6个月进行一次评估,,,,,,,,,,
#    - 低依从性患者需要更频繁的评估和干预,,,,,,,,,,
#    - 结果需要结合临床情况进行解释,,,,,,,,,,
#    - 可用于评估用药教育效果,,,,,,,,,,
#,,,,,,,,,,
# 9. 注意事项：,,,,,,,,,,
#    - MMAS-8是受版权保护的量表，使用需获得授权,,,,,,,,,,
#    - Q5的计分方向需要特别注意（是=1分，否=0分）,,,,,,,,,,
#    - Q8的小数评分需要正确处理,,,,,,,,,,
#    - 总分计算需要精确到小数点后2位,,,,,,,,,,
#,,,,,,,,,,
# 备注：此量表为8项Morisky用药依从性量表，是国际公认的用药依从性评估工具，广泛用于慢性病患者的用药管理,,,,,,,,,,
