# PHQ-9 患者健康问卷-9项抑郁症筛查量表数据库表设计
# 量表说明：评估患者的抑郁症状程度
# 计分方式：总分范围0-27分，0-4分没有抑郁；5-9分有抑郁症状；10-14分有明显抑郁症状；15-27分重度抑郁
# 适用对象：需要抑郁症筛查的患者（如糖尿病、患有心理疾病的患者）
# 问卷指导语："在过去2个星期里，有多少时候您受到以下问题干扰？"
"表名","字段名","数据类型","必填","中文说明","交互设计","验证规则","选项值","关联关系","备注","题目编号"
"phq9_scale","patient_id","VARCHAR_32","是","患者唯一ID","外键关联","外键约束","","patient_basic_info","关联患者基本信息表",""
"phq9_scale","assessment_date","DATE","是","评估日期","日期选择器","必填","","","评估实施日期",""
"phq9_scale","assessor_name","VARCHAR_50","是","评估人姓名","输入框","必填","","","实施评估的医护人员姓名",""
"phq9_scale","phq9_q1","TINYINT","是","做事时提不起劲或没有兴趣","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q1"
"phq9_scale","phq9_q2","TINYINT","是","感到心情低落、沮丧或者绝望","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q2"
"phq9_scale","phq9_q3","TINYINT","是","入睡困难、睡眠不安稳或睡眠过多","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q3"
"phq9_scale","phq9_q4","TINYINT","是","感觉疲倦或没有活力","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q4"
"phq9_scale","phq9_q5","TINYINT","是","食欲不振或吃太多","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q5"
"phq9_scale","phq9_q6","TINYINT","是","觉得自己很糟，或觉得自己很失败，或让自己或家人失望","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q6"
"phq9_scale","phq9_q7","TINYINT","是","对事物专注困难，例如阅读报纸或看电视时","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q7"
"phq9_scale","phq9_q8","TINYINT","是","动作或说话速度缓慢到别人已经察觉？或正好相反一烦躁或坐立不安，动来动去的情况更胜于平常","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q8"
"phq9_scale","phq9_q9","TINYINT","是","有不如死掉或用某种方式伤害自己的念头","单选按钮","必选","0:完全不会;1:好几天;2:一半以上的天数;3:几乎每天","","计分:0-3分","Q9"
"phq9_scale","phq9_total_score","INT","是","PHQ-9 总分","自动计算","0-27","","","所有项目得分的总和。0-4分:没有抑郁;5-9分:有抑郁症状;10-14分:有明显抑郁症状;15-27分:重度抑郁。",""

# ==================== 开发说明 ====================
# PHQ-9 患者健康问卷-9项抑郁症筛查量表技术实现要求：
#
# 1. 评分标准：
#    问卷共9个问题，每题评分0-3分：
#    0 = 完全不会
#    1 = 好几天
#    2 = 一半以上的天数
#    3 = 几乎每天
#    总分范围：0-27分，得分越高表示抑郁症状越严重
#
# 2. 问卷说明：
#    适用对象：需要抑郁症筛查的患者（如糖尿病、患有心理疾病的患者）
#    评估时间范围：过去2个星期内
#    问卷指导语："在过去2个星期里，有多少时候您受到以下问题干扰？"
#    每个条目均需要患者选择最符合其症状频率的选项
#
# 3. 问卷条目内容（Q1-Q9基于PHQ-9标准）：
#    Q1：做事时提不起劲或没有兴趣（兴趣丧失）
#    Q2：感到心情低落、沮丧或者绝望（情绪低落）
#    Q3：入睡困难、睡眠不安稳或睡眠过多（睡眠问题）
#    Q4：感觉疲倦或没有活力（疲劳感）
#    Q5：食欲不振或吃太多（食欲变化）
#    Q6：觉得自己很糟，或觉得自己很失败，或让自己或家人失望（自我价值感低）
#    Q7：对事物专注困难，例如阅读报纸或看电视时（注意力集中困难）
#    Q8：动作或说话速度缓慢到别人已经察觉？或正好相反一烦躁或坐立不安，动来动去的情况更胜于平常（精神运动性改变）
#    Q9：有不如死掉或用某种方式伤害自己的念头（自杀意念）
#
# 4. 表单交互：
#    - 所有问题均为必选项
#    - 使用单选按钮形式（4个选项）
#    - 按问题编号顺序显示（Q1-Q9）
#    - 问卷开头显示统一指导语
#    - 每个问题显示完整的描述文本
#
# 5. 数据验证：
#    - 所有9个问题必须完成评分
#    - 评分值必须在0-3范围内
#    - 患者基本信息（患者ID、评估日期、评估人）为必填项
#    - 总分自动计算
#
# 6. 计分方法：
#    - 总分 = Q1得分 + Q2得分 + Q3得分 + Q4得分 + Q5得分 + Q6得分 + Q7得分 + Q8得分 + Q9得分
#    - 系统自动计算总分
#    - 所有条目均为正向计分（无需反向计分）
#
# 7. 临床解释：
#    - 0-4分：没有抑郁（正常范围）
#    - 5-9分：有抑郁症状（轻度抑郁）
#    - 10-14分：有明显抑郁症状（中度抑郁）
#    - 15-27分：重度抑郁（需要立即关注）
#    - 总分≥5分应警惕抑郁症状，建议进一步评估
#    - Q9得分≥1分提示有自杀风险，需要立即关注
#
# 8. 问卷管理：
#    - 评估人员需要具备心理健康评估资质
#    - 建议每2-4周进行一次评估（治疗期间）
#    - 高分患者需要专业心理干预
#    - 结果需要结合临床情况进行解释
#    - 可用于评估抗抑郁治疗效果
#
# 9. 安全注意事项：
#    - Q9涉及自杀意念，需要特别关注
#    - 任何自杀意念都需要立即评估和干预
#    - 高危患者需要建立安全计划
#    - 必要时需要紧急转诊或住院治疗
#
# 10. 使用注意事项：
#     - PHQ-9是筛查工具，不能单独用于诊断
#     - 需要结合临床访谈进行综合评估
#     - 自评可能存在误差，总分>5分建议及时就诊
#     - 定期监测有助于评估治疗效果
#
# 备注：此量表为患者健康问卷-9项抑郁症筛查量表，是国际公认的抑郁症筛查工具，广泛用于临床抑郁症状评估
