# PSQI 匹兹堡睡眠质量指数量表数据库表设计
# 量表说明：评估患者最近一个月的睡眠质量状况
# 计分方式：总分范围0-21分，≤7分睡眠质量良好；>7分睡眠质量较差
# 适用对象：需要睡眠质量评估的患者（如糖尿病、失眠症、心理疾病患者）
# 问卷指导语："下面一些问题是关于您最近一个月的睡眠状况，这仅仅与您的睡眠习惯有关"
"表名","字段名","数据类型","必填","中文说明","交互设计","验证规则","选项值","关联关系","备注","题目编号"
"psqi_scale","patient_id","VARCHAR_32","是","患者唯一ID","外键关联","外键约束","","patient_basic_info","关联患者基本信息表",""
"psqi_scale","patient_name","VARCHAR_50","是","患者姓名","输入框","必填","","","患者真实姓名",""
"psqi_scale","patient_birthday","DATE","是","患者出生日期","日期选择器","必填","","","患者出生日期",""
"psqi_scale","patient_age","INT","是","患者年龄","自动计算","自动计算","","","根据出生日期自动计算当前年龄",""
"psqi_scale","patient_gender","TINYINT","是","患者性别","单选按钮","必选","0:女;1:男","","患者性别",""
"psqi_scale","education_level","VARCHAR_20","是","文化程度","下拉选择","必选","小学及以下;初中;高中/中专;大专;本科;硕士及以上","","患者受教育程度",""
"psqi_scale","occupation","VARCHAR_50","否","职业","输入框","选填","","","患者职业信息",""
"psqi_scale","assessment_date","DATE","是","评估日期","日期选择器","必填","","","评估实施日期",""
"psqi_scale","assessor_name","VARCHAR_50","是","评估人姓名","输入框","必填","","","实施评估的医护人员姓名",""
"psqi_scale","record_number","VARCHAR_20","否","编号","输入框","选填","","","问卷记录编号",""

# 基本睡眠信息
"psqi_scale","bedtime","TIME","是","晚上上床睡觉时间","时间选择器","必填","","","最近一个月通常上床时间","Q1"
"psqi_scale","sleep_latency_minutes","INT","是","入睡所需时间（分钟）","数字输入","必填，范围0-999","","","从上床到入睡的时间","Q2"
"psqi_scale","wake_time","TIME","是","早上起床时间","时间选择器","必填","","","最近一个月通常起床时间","Q3"
"psqi_scale","actual_sleep_hours","DECIMAL(3,1)","是","实际睡眠时间（小时）","数字输入","必填，范围0-24","","","每晚实际睡眠时间，可有小数","Q4"

# 睡眠困扰因素
"psqi_scale","sleep_disturbance_30min","TINYINT","是","不能在30分钟内入睡","单选按钮","必选","0:过去一个月没有;1:每周平均不足一个晚上;2:每周平均有一或两个晚上;3:每周有平均三个或更多晚上","","睡眠困扰评估","Q5A"
