# Clarke低血糖意识受损评分问卷数据库表设计
# 量表说明：评估糖尿病患者的低血糖意识受损程度
# 计分方式：总分≥4分提示存在低血糖意识受损(IAH)
# 适用对象：糖尿病患者（特别是使用胰岛素治疗的患者）
"表名","字段名","数据类型","必填","中文说明","交互设计","验证规则","选项值","关联关系","备注","题目编号"
"clarke_scale","patient_id","VARCHAR_32","是","患者唯一ID","外键关联","外键约束","","patient_basic_info","关联患者基本信息表",""
"clarke_scale","assessment_date","DATE","是","评估日期","日期选择器","必填","","","评估实施日期",""
"clarke_scale","assessor_name","VARCHAR_50","是","评估人姓名","输入框","必填","","","实施评估的医护人员姓名",""
"clarke_scale","clarke_q1","TINYINT","是","选择最能描述您现在情况的一项","单选按钮","必选","0:在我血糖偏低时，我每次都有症状;1:在我血糖偏低时，我有时有症状;1:在我血糖偏低时，我很少都有症状","","低血糖症状感知能力评估","Q1"
"clarke_scale","clarke_q2","TINYINT","是","你是否曾经有低血糖症状，但现在发生低血糖时却不常出现了?","单选按钮","必选","1:是的;0:没有","","症状感知能力变化评估","Q2"
"clarke_scale","clarke_q3","TINYINT","是","过去六个月内，您有过几次中度低血糖发生?(出现意识模糊、昏昏欲睡、无法自己好转的情况)","单选按钮","必选","0:从未;1:1-2次;1:隔月一次;1:每月一次;1:每月一次以上","","中度低血糖发生频率评估","Q3"
"clarke_scale","clarke_q4","TINYINT","是","过去一年内，您有过几次严重的低血糖发作?(出现意识丧失或癖痫样发作后，需要胰高血糖素或静脉输注葡萄糖的情况)","单选按钮","必选","0:从未;1:1-2次;1:隔月一次;1:每月一次;1:每月一次以上","","严重低血糖发生频率评估","Q4"
"clarke_scale","clarke_q5","TINYINT","是","最近一个月中，有几次您血糖<3.9mmol/L，并伴有低血糖症状?","单选按钮","必选","0:从未;1:1-3次;2:1周1次;3:1周2-3次;4:1周4-5次;5:几乎每天","","有症状低血糖频率评估","Q5"
"clarke_scale","clarke_q6","TINYINT","是","最近一个月中，有几次您血糖<3.9mmol/L，并不伴有低血糖症状?","单选按钮","必选","0:从未;1:1-3次;2:1周1次;3:1周2-3次;4:1周4-5次;5:几乎每天","","放在Q5旁边计算：当题5频次低于Q6时＝1分，高于Q6时＝0分","Q6"
"clarke_scale","clarke_q7","TINYINT","是","当您有低血糖症状时，自测血糖大约是多少?","单选按钮","必选","0:3.3-3.9mmol/L;0:2.8-3.3mmol/L;1:2.2-2.7mmol/L;1:<2.2mmol/L","","血糖阈值评估","Q7"
"clarke_scale","clarke_q8","TINYINT","是","您可以依据您的低血糖症状来判断自己目前存在低血糖吗?","单选按钮","必选","1:从未;1:很少;1:有时;0:经常;0:总是","","低血糖自我识别能力评估","Q8"
"clarke_scale","clarke_total_score","INT","是","Clarke问卷总分","自动计算","0-8","","","所有项目得分的总和。总分≥4分提示存在低血糖意识受损(IAH)",""

# ==================== 开发说明 ====================
# Clarke低血糖意识受损评分问卷技术实现要求：
#
# 1. 评分标准：
#    问卷共8个问题，每题评分不同：
#    Q1：选择项分别得0分、1分、1分
#    Q2：是=1分，否=0分
#    Q3：从未=0分，其他选项=1分
#    Q4：从未=0分，其他选项=1分  
#    Q5：根据选项值直接计分(0-5分)
#    Q6：根据选项值直接计分(0-5分)，与Q5比较计算
#    Q7：前两项=0分，后两项=1分
#    Q8：前三项=1分，后两项=0分
#    特殊计分：Q5与Q6比较，Q5频次低于Q6时=1分，高于Q6时=0分
#    总分范围：0-8分，≥4分提示存在低血糖意识受损(IAH)
#
# 2. 问卷说明：
#    适用对象：糖尿病患者（特别是使用胰岛素治疗的患者）
#    评估目的：识别低血糖意识受损(Impaired Awareness of Hypoglycemia, IAH)
#    临床意义：IAH患者发生严重低血糖的风险增加25倍
#
# 3. 问卷条目内容：
#    Q1：选择最能描述您现在情况的一项（症状感知能力）
#    Q2：你是否曾经有低血糖症状，但现在发生低血糖时却不常出现了?（症状变化）
#    Q3：过去六个月内，您有过几次中度低血糖发生?（中度低血糖频率）
#    Q4：过去一年内，您有过几次严重的低血糖发作?（严重低血糖频率）
#    Q5：最近一个月中，有几次您血糖<3.9mmol/L，并伴有低血糖症状?（有症状低血糖）
#    Q6：最近一个月中，有几次您血糖<3.9mmol/L，并不伴有低血糖症状?（无症状低血糖）
#    Q7：当您有低血糖症状时，自测血糖大约是多少?（血糖阈值评估）
#    Q8：您可以依据您的低血糖症状来判断自己目前存在低血糖吗?（自我识别能力）
#
# 4. 表单交互：
#    - 所有问题均为必选项
#    - 使用单选按钮形式
#    - 按问题编号顺序显示（Q1-Q8）
#    - Q5和Q6需要特殊比较逻辑
#    - 每个问题显示完整的描述文本
#
# 5. 数据验证：
#    - 所有8个问题必须完成评分
#    - 评分值必须在规定范围内
#    - 患者基本信息（患者ID、评估日期、评估人）为必填项
#    - Q5和Q6的比较逻辑需要自动处理
#
# 6. 计分方法：
#    - 基础分：Q1+Q2+Q3+Q4+Q7+Q8
#    - Q5与Q6比较分：当Q5<Q6时额外+1分
#    - 系统自动计算总分
#    - 特别注意Q5和Q6的比较计分逻辑
#
# 7. 临床解释：
#    - 总分0-3分：低血糖意识正常
#    - 总分≥4分：存在低血糖意识受损(IAH)
#    - IAH患者需要：
#      * 调整治疗目标，避免严格控制血糖
#      * 加强低血糖预防教育
#      * 考虑使用连续血糖监测
#      * 定期重新评估
#
# 8. 问卷管理：
#    - 评估人员需要具备糖尿病护理资质
#    - 建议每6-12个月进行一次评估
#    - IAH诊断后需要调整治疗方案
#    - 结果需要结合临床情况进行解释
#
# 备注：此问卷为Clarke低血糖意识受损评分量表，是国际公认的IAH筛查工具，用于识别糖尿病患者的低血糖感知能力
