# IPAQ长卷问卷数据库表设计
# 问题编号说明：Q1-Q39对应原始问卷的39个问题，时间相关问题分为小时(H)和分钟(M)
# 跳转逻辑：根据"问题编号"列的QX编号实现条件跳转，详见"备注"列的跳转说明
# 技术要求：根据验证规则列实现字段间的条件依赖关系
表名,字段名,数据类型,必填,中文说明,交互设计,验证规则,选项值,关联关系,备注,问题编号
ipaq_lf_cn_scale,patient_id,VARCHAR_32,是,患者唯一ID,外键关联,外键约束,,patient_basic_info,关联患者基本信息表,
ipaq_lf_cn_scale,assessment_date,DATE,是,评估日期,日期选择器,必填,,,评估当日,
ipaq_lf_cn_scale,assessor_name,VARCHAR_50,是,评估人姓名,输入框,必填,,,填写评估人员,

# 一、日常工作部分
ipaq_lf_cn_scale,currently_working,BOOLEAN,是,您目前是否外出工作,单选按钮,必选,是否,,是(跳至Q2);否(跳至Q11),Q1
ipaq_lf_cn_scale,work_vigorous_activity,BOOLEAN,否,工作中是否参加高强度体力活动,单选按钮,currently_working为是时必选,是否,,如搬运重物、挖掘、爬楼梯等且持续时间超过10分钟;有(跳至Q3);无(跳至Q5),Q2
ipaq_lf_cn_scale,work_vigorous_days,TINYINT,否,工作中高强度体力活动天数,下拉选择,work_vigorous_activity为是时必填,1一天;2两天;3三天;4四天;5五天;6六天;7七天,,过去7天内参加天数,Q3
ipaq_lf_cn_scale,work_vigorous_hours,TINYINT,否,工作中高强度体力活动每天小时数,数字输入,work_vigorous_activity为是时必填,,,0-24小时,Q4H
ipaq_lf_cn_scale,work_vigorous_minutes,TINYINT,否,工作中高强度体力活动每天分钟数,数字输入,work_vigorous_activity为是时必填,,,0-59分钟,Q4M
ipaq_lf_cn_scale,work_moderate_activity,BOOLEAN,否,工作中是否参加中等强度体力活动,单选按钮,currently_working为是时必选,是否,,如提拎小型物品等且持续时间超过10分钟不包括步行;有(跳至Q6);无(跳至Q8),Q5
ipaq_lf_cn_scale,work_moderate_days,TINYINT,否,工作中中等强度体力活动天数,下拉选择,work_moderate_activity为是时必填,1一天;2两天;3三天;4四天;5五天;6六天;7七天,,过去7天内参加天数,Q6
ipaq_lf_cn_scale,work_moderate_hours,TINYINT,否,工作中中等强度体力活动每天小时数,数字输入,work_moderate_activity为是时必填,,,0-24小时,Q7H
ipaq_lf_cn_scale,work_moderate_minutes,TINYINT,否,工作中中等强度体力活动每天分钟数,数字输入,work_moderate_activity为是时必填,,,0-59分钟,Q7M
ipaq_lf_cn_scale,work_walking_activity,BOOLEAN,否,工作中是否步行,单选按钮,currently_working为是时必选,是否,,工作中步行时间持续超过10分钟不包括上下班路上的步行;有(跳至Q9);无(跳至Q11),Q8
ipaq_lf_cn_scale,work_walking_days,TINYINT,否,工作中步行天数,下拉选择,work_walking_activity为是时必填,1一天;2两天;3三天;4四天;5五天;6六天;7七天,,过去7天内步行天数,Q9
ipaq_lf_cn_scale,work_walking_hours,TINYINT,否,工作中步行每天小时数,数字输入,work_walking_activity为是时必填,,,0-24小时,Q10H
ipaq_lf_cn_scale,work_walking_minutes,TINYINT,否,工作中步行每天分钟数,数字输入,work_walking_activity为是时必填,,,0-59分钟,Q10M

# 二、日常交通部分
ipaq_lf_cn_scale,transport_vehicle,BOOLEAN,是,是否乘车出行,单选按钮,必选,是否,,火车、公交车、汽车、地铁、摩托车、电动车;有(跳至Q12);无(跳至Q14),Q11
ipaq_lf_cn_scale,transport_vehicle_days,TINYINT,否,乘车出行天数,下拉选择,transport_vehicle为是时必填,1一天;2两天;3三天;4四天;5五天;6六天;7七天,,过去7天内乘车天数,Q12
ipaq_lf_cn_scale,transport_vehicle_hours,TINYINT,否,乘车出行每天小时数,数字输入,transport_vehicle为是时必填,,,0-24小时,Q13H
ipaq_lf_cn_scale,transport_vehicle_minutes,TINYINT,否,乘车出行每天分钟数,数字输入,transport_vehicle为是时必填,,,0-59分钟,Q13M
ipaq_lf_cn_scale,transport_cycling,BOOLEAN,是,是否骑自行车出行,单选按钮,必选,是否,,持续时间超过10分钟;有(跳至Q15);无(跳至Q17),Q14
