# STOP-Bang 睡眠呼吸暂停筛查问卷数据库表设计
# 量表说明：用于筛查阻塞性睡眠呼吸暂停综合征(OSA)的风险评估工具
# 计分方式：每题0-1分，总分0-8分，≥3分为OSA高危，<3分为OSA低危
# 适用对象：成年人睡眠呼吸暂停筛查，特别适用于围术期风险评估
# 问卷指导语："以下问题帮助评估您是否存在睡眠呼吸暂停的风险"
"表名","字段名","数据类型","必填","中文说明","交互设计","验证规则","选项值","关联关系","备注","题目编号"
"stopbang_scale","patient_id","VARCHAR_32","是","患者唯一ID","外键关联","外键约束","","patient_basic_info","关联患者基本信息表",""
"stopbang_scale","assessment_date","DATE","是","评估日期","日期选择器","必填","","","评估实施日期",""
"stopbang_scale","assessor_name","VARCHAR_50","是","评估人姓名","输入框","必填","","","实施评估的医护人员姓名",""

# STOP-Bang 8项评估问题
"stopbang_scale","snoring","TINYINT","是","您睡眠鼾声很响吗","单选按钮","必选","0:否;1:是","","比普通说话声音大，或者透过关闭的门可以听到","S1"
"stopbang_scale","tired","TINYINT","是","您常常觉得疲倦、乏力，或者白天昏昏欲睡吗","单选按钮","必选","0:否;1:是","","日间疲劳或嗜睡评估","T2"
"stopbang_scale","observed_apnea","TINYINT","是","有人看到您睡眠时停止呼吸吗","单选按钮","必选","0:否;1:是","","目击呼吸暂停事件","O3"
"stopbang_scale","high_blood_pressure","TINYINT","是","您以前有高血压或者正在接受抗高血压治疗吗","单选按钮","必选","0:否;1:是","","高血压病史或治疗史","P4"
"stopbang_scale","bmi_over_35","TINYINT","是","BMI>35kg/m²吗","单选按钮","必选","0:否;1:是","","体质指数超过35的肥胖评估","B5"
"stopbang_scale","age_over_50","TINYINT","是","年龄>50岁吗","单选按钮","必选","0:否;1:是","","年龄风险因子评估","A6"
"stopbang_scale","neck_circumference_over_40","TINYINT","是","颈围>40cm吗","单选按钮","必选","0:否;1:是","","颈围测量评估","N7"
"stopbang_scale","male_gender","TINYINT","是","是男性吗","单选按钮","必选","0:否;1:是","","性别风险因子","G8"

# 计分和风险评估
"stopbang_scale","total_score","INT","是","STOP-Bang 总分","自动计算","0-8","","","所有项目得分的总和。≥3分:OSA高危;<3分:OSA低危。",""

# ==================== 开发说明 ====================
# STOP-Bang 睡眠呼吸暂停筛查问卷技术实现要求：
#
# 1. 评分标准：
#    每题评分范围：0-1分
#    0 = 否
#    1 = 是
#    总分范围：0-8分，分数越高表示OSA风险越高
#
# 2. 问卷说明：
#    STOP-Bang是国际通用的OSA筛查工具
#    适用对象：成年人，特别是围术期患者
#    评估时间：当前状态评估
#    问卷指导语：评估睡眠呼吸暂停风险
#    8个问题按照STOP-Bang缩写顺序排列
#
# 3. 问题详细说明：
#    S (Snoring)：打鼾 - 响亮鼾声评估
#    T (Tired)：乏力 - 日间疲劳和嗜睡
#    O (Observed)：目击呼吸暂停 - 他人观察到的呼吸停止
#    P (Pressure)：高血压 - 血压升高或抗高血压治疗
#    B (BMI)：体质指数 - BMI>35kg/m²
#    A (Age)：年龄 - >50岁
#    N (Neck)：颈围 - >40cm
#    G (Gender)：性别 - 男性
#
# 4. 表单交互：
#    - 所有问题均为必选项
#    - 使用单选按钮形式（是/否）
#    - 按S-T-O-P-B-A-N-G顺序显示
#    - 每个问题提供简洁的说明文本
#
# 5. 数据验证：
#    - 所有8个问题必须完成评分
#    - 评分值必须在0-1范围内
#    - 患者基本信息（患者ID、评估日期、评估人）为必填项
#
# 6. 计分方法：
#    - 总分 = S分数 + T分数 + O分数 + P分数 + B分数 + A分数 + N分数 + G分数
#    - 系统自动计算总分
#    - 无需反向计分（所有条目均为正向计分）
#
# 7. 临床解释：
#    - 总分0-2分：OSA低危
#    - 总分3-8分：OSA高危，建议进一步睡眠监测
#    - 分数越高，OSA风险越大
#    - 可用于围术期风险评估和麻醉管理决策
#
# 8. 问卷管理：
#    - 问卷简单易懂，患者可自行完成
#    - 评估时间短（约2-3分钟）
#    - 适合在门诊、病房、术前评估中使用
#    - 结果需要结合临床症状和体征综合判断
#
# 9. 临床应用：
#    - 睡眠呼吸暂停初步筛查
#    - 围术期风险评估
#    - 麻醉管理决策支持
#    - 睡眠监测适应症筛选
#
# 10. 技术实现注意事项：
#     - 问题编号采用STOP-Bang字母+序号格式（S1, T2, O3...）
#     - 所有问题使用一致的0/1二分类评分
#     - 总分自动计算，实时显示风险等级
#     - 可与患者BMI、年龄等基础信息自动关联
#     - 高危患者可自动触发后续检查建议
#
# 备注：此量表为STOP-Bang问卷，是国际公认的OSA筛查工具，广泛用于临床睡眠呼吸暂停风险评估
