source_section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
comorbidity_patterns,PATTERN_001,代谢综合征,,comorbidity_pattern,pattern,cardiovascular_risk,增加2-3倍
comorbidity_patterns,PATTERN_001,代谢综合征,,comorbidity_pattern,pattern,components,DIS_001; HTN_001; DLP_001; OBESITY
comorbidity_patterns,PATTERN_001,代谢综合征,,comorbidity_pattern,pattern,description,糖尿病、高血压、血脂异常、肥胖的聚集
comorbidity_patterns,PATTERN_001,代谢综合征,,comorbidity_pattern,pattern,management_strategy.lifestyle,减重、运动、饮食调节
comorbidity_patterns,PATTERN_001,代谢综合征,,comorbidity_pattern,pattern,management_strategy.pharmacological,多重危险因素综合管理
comorbidity_patterns,PATTERN_001,代谢综合征,,comorbidity_pattern,pattern,management_strategy.targets.bp,<130/80 mmHg
comorbidity_patterns,PATTERN_001,代谢综合征,,comorbidity_pattern,pattern,management_strategy.targets.hba1c,<7%
comorbidity_patterns,PATTERN_001,代谢综合征,,comorbidity_pattern,pattern,management_strategy.targets.ldl_c,<100 mg/dL
comorbidity_patterns,PATTERN_001,代谢综合征,,comorbidity_pattern,pattern,prevalence,成人中20-25%
comorbidity_patterns,PATTERN_001,代谢综合征,,comorbidity_pattern,pattern,shared_mechanisms,胰岛素抵抗; 炎症反应; 内皮功能障碍; 交感神经激活
comorbidity_patterns,PATTERN_004,PCOS-代谢综合征复合体,,comorbidity_pattern,pattern,components,GON_001; DIS_001; HTN_001; DLP_001; OBESITY
comorbidity_patterns,PATTERN_004,PCOS-代谢综合征复合体,,comorbidity_pattern,pattern,description,PCOS与代谢综合征组分的聚集
comorbidity_patterns,PATTERN_004,PCOS-代谢综合征复合体,,comorbidity_pattern,pattern,long_term_risks,心血管疾病风险增加3倍; 2型糖尿病风险增加4倍; 子宫内膜癌风险增加2.7倍; 非酒精性脂肪肝
comorbidity_patterns,PATTERN_004,PCOS-代谢综合征复合体,,comorbidity_pattern,pattern,management_strategy.lifestyle,减重是核心治疗，目标减重5-10%
comorbidity_patterns,PATTERN_004,PCOS-代谢综合征复合体,,comorbidity_pattern,pattern,management_strategy.monitoring.metabolic,每年OGTT、血脂、血压监测
comorbidity_patterns,PATTERN_004,PCOS-代谢综合征复合体,,comorbidity_pattern,pattern,management_strategy.monitoring.psychological,抑郁焦虑筛查
comorbidity_patterns,PATTERN_004,PCOS-代谢综合征复合体,,comorbidity_pattern,pattern,management_strategy.monitoring.reproductive,定期妇科检查，子宫内膜评估
