section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,alternate_names,自身免疫性多内分泌病I型; APECED (Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy); 慢性皮肤黏膜念珠菌病-多内分泌病-外胚层发育不良综合征
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.genetic_basis.gene,AIRE (Autoimmune Regulator)
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.genetic_basis.chromosome,21q22.3
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.genetic_basis.inheritance,常染色体隐性遗传
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.genetic_basis.protein_function,转录调节因子，调控胸腺髓质上皮细胞中自身抗原表达
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.genetic_basis.mutations.common_types,无义突变; 剪接位点突变; 框移突变; 错义突变
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.genetic_basis.mutations.functional_impact,AIRE蛋白功能缺失导致中枢免疫耐受破坏
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.immune_mechanism.central_tolerance_defect,胸腺阴性选择缺陷
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.immune_mechanism.autoantigen_presentation,组织特异性抗原胸腺内表达减少
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.immune_mechanism.t_cell_selection,自反应T细胞逃逸阴性选择
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.immune_mechanism.autoantibody_production,多器官特异性自身抗体产生
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.molecular_pathways.transcriptional_regulation,AIRE调控的转录组异常
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.molecular_pathways.promiscuous_gene_expression,胸腺内异位基因表达受损
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,pathophysiology.molecular_pathways.immune_tolerance,自身免疫耐受机制破坏
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,clinical_manifestations.classic_triad.candidiasis.description,慢性皮肤黏膜念珠菌感染
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,clinical_manifestations.classic_triad.candidiasis.onset,通常首发症状（2-5岁）
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,clinical_manifestations.classic_triad.candidiasis.sites,口腔（鹅口疮）; 食管; 皮肤; 指甲; 生殖器
