qa_id,question_type,primary_specialty,secondary_specialty,question,detailed_answer,related_entities,clinical_scenario,evidence_level,guideline_source
QA001,诊断鉴别,心内科,内分泌科,糖尿病患者出现心衰症状如何鉴别是糖尿病性心肌病还是冠心病？,"鉴别糖尿病性心肌病和冠心病需要综合评估：1. 病史特点：糖尿病性心肌病多见于长期糖尿病患者(>10年)，无典型心绞痛症状；冠心病常有胸痛、胸闷等典型症状。2. 影像学检查：糖尿病性心肌病超声示弥漫性室壁运动减弱，以舒张功能障碍为主；冠心病表现为节段性室壁运动异常。3. 冠脉评估：冠脉CTA或造影是金标准，糖尿病性心肌病冠脉正常或仅有轻度狭窄。4. 心脏MRI：糖尿病性心肌病可见弥漫性纤维化；冠心病为局灶性心肌梗死后改变。5. 代谢评估：糖尿病性心肌病常伴HbA1c控制不佳，胰岛素抵抗明显。6. 治疗反应：糖尿病性心肌病对血糖控制和SGLT2抑制剂反应良好。",CE001;CE011,52岁男性糖尿病患者，病史8年，近期活动后气短，超声示LVEF 45%，无胸痛症状,A级,ADA 2025/ESC 2024
QA002,治疗方案,内分泌科,心内科,甲亢患者合并房颤，抗凝治疗如何选择？,"甲亢性房颤的抗凝治疗需要综合考虑：1. 风险评估：使用CHA2DS2-VASc评分，甲亢本身不增加评分，但需要注意年龄、性别等因素。男性≥2分、女性≥3分需要抗凝。2. 出血风险：HAS-BLED评分评估出血风险，甲亢期间肝功能异常、血小板功能可能受影响。3. 药物选择：新型口服抗凝药(DOAC)为首选，包括达比加群、利伐沙班、阿哌沙班等。华法林需要频繁监测INR，甲亢时代谢加快影响稳定性。4. 特殊考虑：甲亢控制期间心律可能变化，需要动态评估抗凝必要性。部分患者甲功控制后房颤自行转复。5. 监测要点：定期评估肝肾功能，出血征象，房颤负荷变化。6. 停药时机：甲功控制且房颤转复后，低危患者可考虑停用抗凝药。",CE002;CE012,28岁女性Graves病患者，新发房颤，CHA2DS2-VASc 1分,A级,ESC 2024/ATA 2024
QA003,病因分析,内分泌科,肾内科,年轻高血压患者如何筛查内分泌性高血压？,"年轻高血压患者的内分泌筛查流程：1. 临床线索识别：<40岁起病、难治性高血压(≥3种药物)、低钾血症、特殊体征(满月脸、紫纹等)。2. 原发性醛固酮增多症筛查：醛固酮/肾素比值(ARR)>30，确认试验包括盐水负荷试验、氟氢可的松抑制试验。3. 嗜铬细胞瘤筛查：24小时尿儿茶酚胺代谢产物、血浆甲氧基肾上腺素和甲氧基去甲肾上腺素。4. 库欣综合征筛查：24小时尿游离皮质醇、午夜血清皮质醇、1mg地塞米松抑制试验。5. 甲状腺功能：TSH、FT4，排除甲亢性高血压。6. 影像学检查：肾上腺CT/MRI、肾动脉超声或CTA。7. 其他检查：肾功能、电解质、血糖等。筛查应该分步进行，根据临床表现选择重点检查项目。",CE003;CE015;NE009,35岁男性，血压160/100mmHg，血钾3.2mmol/L，体重增加明显,A级,Endocrine Society 2024
QA004,并发症管理,内分泌科,神经科,糖尿病患者出现认知功能下降，如何评估和处理？,"糖尿病相关认知功能下降的评估和管理：1. 认知评估：MMSE、MoCA量表评估整体认知功能，注意力、记忆力、执行功能分项评估。2. 病因分析：血糖波动(高血糖、低血糖)、血管性因素(微血管病变)、炎症反应、胰岛素抵抗等。3. 相关检查：HbA1c、血糖变异性评估、头颅MRI(白质病变)、颈动脉超声。4. 血糖管理：目标HbA1c适当放宽(7.5-8.5%)，避免严重低血糖，选择低血糖风险小的药物。5. 血管保护：控制血压(<140/90mmHg)、血脂(LDL-C<2.6mmol/L)、抗血小板治疗。6. 认知训练：记忆训练、注意力训练、社交活动等。7. 药物治疗：胆碱酯酶抑制剂(多奈哌齐)可能有益，但需要权衡获益风险。8. 生活方式：规律运动、充足睡眠、减少应激。",NEU001;NEU019,65岁2型糖尿病患者，病史15年，家属反映记忆力明显下降,B级,ADA 2025/Alzheimer's Association 2024
QA005,药物相互作用,内分泌科,心内科,糖尿病患者使用SGLT2抑制剂时需要注意哪些心血管方面的问题？,"SGLT2抑制剂的心血管相关注意事项：1. 血容量变化：初期可能出现血容量减少，导致体位性低血压，需要调整利尿剂和降压药物剂量。2. 心律失常风险：电解质紊乱(低钠、低钾)可能诱发心律失常，需要监测电解质水平。3. 心衰获益：具有明确的心衰保护作用，减少心衰住院风险，但启动时需要监测肾功能。4. 酮症酸中毒：罕见但严重的副作用，特别是1型糖尿病或应激状态下，需要监测酮体。5. 足部感染：注意足部卫生，预防真菌感染，糖尿病足患者慎用。6. 肾功能影响：eGFR<30ml/min/1.73m²时禁用，启动后1-2周内肌酐可能轻度升高。7. 药物调整：可能需要减少胰岛素或磺脲类药物剂量，预防低血糖。8. 围手术期：手术前需要停药，预防酮症酸中毒。",CE001;NE001,68岁糖尿病合并心衰患者，考虑启用达格列净治疗,A级,ADA 2025/ESC Heart Failure 2024
QA006,急诊处理,急诊科,内分泌科,疑似甲状腺危象的患者如何紧急处理？,"甲状腺危象的急诊处理流程：1. 诊断标准：高热(>38.5°C)、心动过速(>140次/分)、意识改变、多汗、呕吐腹泻，结合甲状腺功能亢进病史。2. 立即处理：吸氧、心电监护、建立静脉通路、快速补液纠正脱水。3. 降温措施：物理降温、退热药物，避免阿司匹林(可能增加游离甲状腺激素)。4. 心率控制：β受体阻滞剂首选，普萘洛尔1-2mg iv q6h或美托洛尔25-50mg po bid。5. 抗甲状腺治疗：丙基硫氧嘧啶600-800mg首剂，然后200-300mg q6h；或甲巯咪唑60-80mg首剂。6. 碘剂治疗：抗甲状腺药物1-2小时后给予复方碘溶液5-10滴 tid。7. 糖皮质激素：氢化可的松100-300mg iv q8h，抗炎和抗应激。8. 对症支持：纠正电解质紊乱、心衰治疗、抗感染等。9. 监测要点：生命体征、甲状腺功能、肝肾功能、血常规。",NEU014;CE002,45岁女性，高热39.5°C，心率150次/分，烦躁不安，既往甲亢史,A级,ATA 2024/Endocrine Society 2024
QA007,妊娠管理,产科,内分泌科,妊娠期糖尿病患者血糖控制目标和用药选择？,"妊娠期糖尿病的血糖管理：1. 血糖目标：空腹血糖<5.3mmol/L，餐后1小时<7.8mmol/L，餐后2小时<6.7mmol/L，HbA1c<6.5%。2. 监测频率：每日4-7次血糖监测，包括空腹和三餐后血糖。3. 生活方式干预：个体化营养计划，适量运动(如散步)，体重管理。4. 胰岛素治疗：首选人胰岛素，起始剂量0.5-1.0U/kg/d，根据血糖调整。5. 胰岛素方案：基础-餐时胰岛素方案，或预混胰岛素方案。6. 禁用药物：二甲双胍、磺脲类、SGLT2抑制剂等口服降糖药。7. 监测胎儿：定期超声检查胎儿生长发育，羊水量，胎儿畸形筛查。8. 分娩管理：血糖控制良好可足月分娩，控制不佳或有并发症需要提前分娩。9. 产后随访：产后6-12周OGTT复查，长期糖尿病风险评估。",MCP006;CE011,32岁孕妇，孕24周OGTT诊断GDM，空腹血糖6.8mmol/L,A级,ACOG 2024/ADA 2025
QA008,老年管理,老年科,内分泌科,老年糖尿病患者血糖控制目标如何个体化设定？,"老年糖尿病患者个体化血糖目标：1. 健康状态评估：功能状态良好、认知正常、预期寿命>10年的老年患者，HbA1c目标<7.5%。2. 复杂/中等健康状态：轻度认知障碍、1-2种慢性病、预期寿命5-10年，HbA1c目标<8.0%。3. 健康状态差：多重慢性病、中重度认知障碍、预期寿命<5年，HbA1c目标<8.5%。4. 低血糖风险评估：既往严重低血糖史、无感知低血糖、肾功能不全等高危因素。5. 药物选择：避免磺脲类药物，首选二甲双胍、DPP-4抑制剂、SGLT2抑制剂等低血糖风险药物。6. 胰岛素使用：必要时使用，从小剂量开始，避免复杂方案。7. 并发症管理：重点预防心血管疾病、肾病、眼病等。8. 功能评估：定期评估认知功能、跌倒风险、营养状态。9. 家庭支持：家属教育，社会支持网络建立。",MCP005;NEU019,75岁男性，糖尿病史20年，轻度认知障碍，独居,A级,ADA 2025/AGS 2024
QA009,手术期管理,麻醉科,内分泌科,甲亢患者围手术期如何管理甲状腺功能？,"甲亢患者围手术期管理：1. 术前评估：甲状腺功能状态、心血管并发症、预计手术风险。2. 择期手术：理想情况下应该先控制甲状腺功能至正常或接近正常，通常需要6-8周。3. 急诊手术：无法等待甲功控制，需要围手术期药物管理。4. 术前准备：抗甲状腺药物(甲巯咪唑15-30mg/d)，β受体阻滞剂控制心率，碘剂减少甲状腺血供。5. 麻醉管理：避免可能诱发甲状腺危象的药物，如阿托品、吗啡等。选择短效麻醉药物。6. 术中监测：连续心电监护、体温监测、血压管理。7. 术后管理：继续抗甲状腺药物，监测甲状腺危象征象(高热、心动过速、意识改变)。8. 并发症预防：甲状腺危象、心律失常、心衰等。9. 甲状腺手术特殊考虑：术后可能出现甲状旁腺功能减退、喉返神经损伤等。",CE002;CE012,45岁女性甲亢患者，需要急诊胆囊切除术,A级,ATA 2024/ASA Perioperative Guidelines
QA010,代谢综合征,内分泌科,心内科,代谢综合征患者的心血管风险如何评估和管理？,"代谢综合征心血管风险管理：1. 风险评估：Framingham评分、SCORE评分、中国PAR评分，代谢综合征使风险增加2-3倍。2. 危险因素识别：腰围、血压、血糖、血脂、炎症标志物(hs-CRP)。3. 影像学评估：颈动脉内膜厚度、踝臂指数、冠脉钙化积分。4. 一级预防：生活方式干预为基础，减重5-10%，运动150分钟/周，地中海饮食。5. 药物治疗：二甲双胍改善胰岛素抵抗，ACEI/ARB降压护肾，他汀类调脂。6. 血糖管理：HbA1c<7%，选择有心血管获益的药物(SGLT2抑制剂、GLP-1受体激动剂)。7. 血压控制：目标<130/80mmHg，首选ACEI/ARB类药物。8. 血脂管理：LDL-C<2.6mmol/L(高危)或<1.8mmol/L(极高危)。9. 抗血小板：有适应症时使用阿司匹林75-100mg/d。10. 定期随访：每3-6个月评估治疗效果，调整方案。",CE004;MCP002,50岁男性，腰围105cm，血压145/90mmHg，空腹血糖6.8mmol/L,A级,ADA 2025/ESC/EAS 2024
