section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,name_en,Primary Aldosteronism
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,description,肾上腺皮质醛固酮分泌过多导致的继发性高血压，伴低血钾和代谢性碱中毒
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,prevalence,高血压人群中5-10%
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,etiology.unilateral_disease.aldosterone_producing_adenoma,单侧醛固酮瘤(35%)
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,etiology.unilateral_disease.unilateral_hyperplasia,单侧增生(5%)
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,etiology.bilateral_disease.bilateral_hyperplasia,双侧增生(60%)
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,etiology.bilateral_disease.glucocorticoid_remediable,糖皮质激素可抑制性(<1%)
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,clinical_manifestations.hypertension.characteristics,难治性高血压，对常规降压药反应差
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,clinical_manifestations.hypertension.prevalence,>95%患者
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,clinical_manifestations.hypokalemia.symptoms,肌无力; 肌痉挛; 多尿; 烦渴
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,clinical_manifestations.hypokalemia.prevalence,50-60%患者
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,clinical_manifestations.metabolic_alkalosis,血pH升高，HCO3-升高
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,diagnostic_approach.screening.indication,难治性高血压(≥3种药物); 高血压合并自发性低血钾; 高血压合并肾上腺偶发瘤; 早发高血压(<40岁); 高血压家族史+早发脑血管病
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,diagnostic_approach.screening.method,醛固酮/肾素比值(ARR)
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,diagnostic_approach.screening.threshold,ARR > 20-30 (单位相关)
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,diagnostic_approach.screening.preparation,"纠正低血钾; 停用影响RAAS药物4周; 可继续使用CCB, α受体阻滞剂"
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,diagnostic_approach.confirmatory_tests,盐水负荷试验; 氟氢可的松抑制试验; 卡托普利试验; 口服钠盐负荷试验
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,diagnostic_approach.subtype_classification.adrenal_ct,首选影像学检查
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,diagnostic_approach.subtype_classification.adrenal_venous_sampling.indication,手术候选人
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,diagnostic_approach.subtype_classification.adrenal_venous_sampling.lateralization_index,>4.0
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,diagnostic_approach.subtype_classification.adrenal_venous_sampling.contralateral_suppression,>75%
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.unilateral_disease.adrenalectomy.approach,腹腔镜单侧肾上腺切除
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.unilateral_disease.adrenalectomy.outcomes.hypertension_cure,30-60%
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.unilateral_disease.adrenalectomy.outcomes.improvement,90%
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.unilateral_disease.adrenalectomy.outcomes.factors,年龄; 病程; 肾脏损害程度
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.bilateral_disease.mineralocorticoid_antagonists.spironolactone.dose,25-400mg/day
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.bilateral_disease.mineralocorticoid_antagonists.spironolactone.side_effects,男性乳房发育; 月经紊乱
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.bilateral_disease.mineralocorticoid_antagonists.spironolactone.monitoring,血钾; 肾功能
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.bilateral_disease.mineralocorticoid_antagonists.eplerenone.dose,25-100mg/day
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.bilateral_disease.mineralocorticoid_antagonists.eplerenone.advantages,选择性MR拮抗剂，副作用少
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.bilateral_disease.mineralocorticoid_antagonists.eplerenone.cost,较spironolactone昂贵
entities.adrenal_entities,ADR_001,原发性醛固酮增多症,,disease,肾上腺疾病,treatment_strategies.bilateral_disease.additional_antihypertensives,钙通道阻滞剂; ACEI/ARB(注意高血钾); 噻嗪类利尿剂
entities.adrenal_entities,ADR_002,库欣综合征,,disease,肾上腺疾病,name_en,Cushing Syndrome
entities.adrenal_entities,ADR_002,库欣综合征,,disease,肾上腺疾病,description,糖皮质激素分泌过多或长期使用外源性糖皮质激素导致的临床综合征
entities.adrenal_entities,ADR_002,库欣综合征,,disease,肾上腺疾病,etiology.acth_dependent.cushings_disease.cause,垂体ACTH腺瘤
entities.adrenal_entities,ADR_002,库欣综合征,,disease,肾上腺疾病,etiology.acth_dependent.cushings_disease.percentage,80%
entities.adrenal_entities,ADR_002,库欣综合征,,disease,肾上腺疾病,etiology.acth_dependent.ectopic_acth.causes,肺癌; 胸腺瘤; 胰岛细胞瘤
entities.adrenal_entities,ADR_002,库欣综合征,,disease,肾上腺疾病,etiology.acth_dependent.ectopic_acth.percentage,15%
