section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,name_en,Diabetic Retinopathy
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,icd10,E10.3
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,description,糖尿病引起的视网膜微血管病变，是糖尿病患者失明的主要原因
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,epidemiology.prevalence,1型糖尿病患者中90%，2型糖尿病患者中60%
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,epidemiology.incidence,每年新发病率2-6%
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,epidemiology.blindness_risk,糖尿病患者失明风险比正常人高25倍
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,pathophysiology.hyperglycemia_damage.mechanism,高血糖导致视网膜毛细血管内皮损伤
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,pathophysiology.hyperglycemia_damage.biochemical_pathways,多元醇途径激活; 蛋白质糖化; 蛋白激酶C激活; 己糖胺途径; 氧化应激
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,pathophysiology.vascular_changes.early_changes,毛细血管基底膜增厚; 周细胞缺失; 血管通透性增加
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,pathophysiology.vascular_changes.progressive_changes,毛细血管闭塞; 视网膜缺血; 新生血管形成
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,classification.non_proliferative_diabetic_retinopathy.mild.features,微动脉瘤≥1个
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,classification.non_proliferative_diabetic_retinopathy.mild.vision_impact,通常无症状
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,classification.non_proliferative_diabetic_retinopathy.moderate.features,微动脉瘤; 点片状出血; 硬性渗出; 棉絮斑<20个
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,classification.non_proliferative_diabetic_retinopathy.moderate.vision_impact,可能轻度视力影响
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,classification.non_proliferative_diabetic_retinopathy.severe.features,广泛视网膜出血（4个象限）; 静脉串珠样改变（2个象限）; 明显视网膜内微血管异常（1个象限）
