section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,name_en,Metformin
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,atc_code,A10BA02
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,description,通过减少肝糖生成和改善胰岛素敏感性降低血糖的一线口服降糖药
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,mechanism_of_action.primary_mechanisms,抑制肝脏葡萄糖生成; 增加胰岛素敏感性; 减少肠道葡萄糖吸收
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,mechanism_of_action.molecular_targets,AMP激活的蛋白激酶（AMPK）; 线粒体复合物I; 肝脏PEPCK酶
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,pharmacokinetics.bioavailability,50-60%
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,pharmacokinetics.half_life,4-9小时
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,pharmacokinetics.metabolism,不经肝脏代谢
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,pharmacokinetics.excretion,90%经肾脏原型排出
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,pharmacokinetics.food_effect,与食物同服减少胃肠道副作用
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,clinical_efficacy.hba1c_reduction,1.0-1.5%
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,clinical_efficacy.fasting_glucose_reduction,2.5-3.5 mmol/L
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,clinical_efficacy.weight_effect,体重减轻或保持不变
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,clinical_efficacy.cardiovascular_benefits,降低心血管事件风险
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,indications.primary,2型糖尿病一线治疗
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,indications.additional,糖尿病前期（部分指南推荐）; PCOS相关胰岛素抵抗; 妊娠糖尿病（部分地区）
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,contraindications.absolute,eGFR <30 mL/min/1.73m²; 急性或慢性代谢性酸中毒; 严重心力衰竭; 严重肝功能不全; 严重感染或脱水
