section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,evidence_source
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,name_en,Dyslipidemia,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,description,血浆脂蛋白代谢异常，表现为血总胆固醇、LDL-C、甘油三酯升高或HDL-C降低,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,classification.primary.familial_hypercholesterolemia,遗传性高胆固醇血症,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,classification.primary.familial_combined_hyperlipidemia,家族性混合型高脂血症,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,classification.primary.familial_hypertriglyceridemia,家族性高甘油三酯血症,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,classification.secondary.diabetes,糖尿病性血脂异常,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,classification.secondary.hypothyroidism,甲减性高脂血症,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,classification.secondary.nephrotic_syndrome,肾病综合征,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,classification.secondary.medications,药物性血脂异常,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,lipid_targets_2025.ldl_cholesterol.very_high_risk,<55 mg/dL (1.4 mmol/L),ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,lipid_targets_2025.ldl_cholesterol.high_risk,<70 mg/dL (1.8 mmol/L),ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,lipid_targets_2025.ldl_cholesterol.moderate_risk,<100 mg/dL (2.6 mmol/L),ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,lipid_targets_2025.ldl_cholesterol.low_risk,<130 mg/dL (3.4 mmol/L),ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,lipid_targets_2025.non_hdl_cholesterol.very_high_risk,<85 mg/dL,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,lipid_targets_2025.non_hdl_cholesterol.high_risk,<100 mg/dL,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,lipid_targets_2025.non_hdl_cholesterol.moderate_risk,<130 mg/dL,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,lipid_targets_2025.triglycerides,<150 mg/dL (1.7 mmol/L),ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,lipid_targets_2025.hdl_cholesterol.men,>40 mg/dL (1.0 mmol/L),ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,lipid_targets_2025.hdl_cholesterol.women,>50 mg/dL (1.3 mmol/L),ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,risk_stratification.very_high_risk,临床ASCVD; DM+靶器官损害; FH+ASCVD危险因素; CKD 3-5期,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,risk_stratification.high_risk,LDL-C≥190 mg/dL; 糖尿病(40-75岁); 10年ASCVD风险≥20%,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,risk_stratification.moderate_risk,10年ASCVD风险7.5-19.9%,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,risk_stratification.low_risk,10年ASCVD风险<7.5%,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,treatment_approach_2025.lifestyle_therapy.dietary_modification,限制饱和脂肪(<7%总热量); 限制反式脂肪; 增加膳食纤维(25-30g/day); 植物固醇(2g/day),ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,treatment_approach_2025.lifestyle_therapy.physical_activity,中等强度150分钟/周,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,treatment_approach_2025.lifestyle_therapy.weight_management,BMI 18.5-24.9,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,treatment_approach_2025.pharmacological_therapy.statins.high_intensity,阿托伐他汀80mg; 瑞舒伐他汀20-40mg,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,treatment_approach_2025.pharmacological_therapy.statins.moderate_intensity,阿托伐他汀20-40mg; 瑞舒伐他汀10-20mg; 辛伐他汀40mg,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,treatment_approach_2025.pharmacological_therapy.statins.low_intensity,辛伐他汀20mg; 普伐他汀40mg,ACC/AHA Dyslipidemia Guidelines 2025
entities.dyslipidemia_entities,DLP_001,血脂异常,,disease,代谢疾病,treatment_approach_2025.pharmacological_therapy.non_statin_therapy.ezetimibe.dose,10mg/day,ACC/AHA Dyslipidemia Guidelines 2025
