section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,evidence_source
entities.endocrine_system_entities,ENDO_001,内分泌系统,,physiological_system,人体系统,name_en,Endocrine System,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,ENDO_001,内分泌系统,,physiological_system,人体系统,description,由内分泌腺体及其分泌的激素组成的调节系统，负责维持机体内环境稳态,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,ENDO_001,内分泌系统,,physiological_system,人体系统,components,下丘脑-垂体轴; 甲状腺; 甲状旁腺; 肾上腺; 胰岛; 性腺; 松果体,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,ENDO_001,内分泌系统,,physiological_system,人体系统,primary_functions,新陈代谢调节; 生长发育控制; 生殖功能调节; 应激反应调节; 水电解质平衡; 血糖稳态维持,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,ENDO_001,内分泌系统,,physiological_system,人体系统,regulation_mechanisms,负反馈调节; 正反馈调节; 神经内分泌调节; 自分泌调节; 旁分泌调节,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,name_en,Testosterone,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,description,主要的男性性激素，由睾丸间质细胞分泌，调节男性性征发育和维持,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.molecular_weight,288.4 Da,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.half_life,10-100分钟,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.normal_ranges.adult_male.total,12-30 nmol/L (350-870 ng/dL),International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.normal_ranges.adult_male.free,260-740 pmol/L (7.5-21.3 ng/dL),International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.normal_ranges.adult_male.sampling,晨间8-10点,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.normal_ranges.adult_female.total,0.7-2.8 nmol/L (20-81 ng/dL),International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.normal_ranges.adult_female.free,10-85 pmol/L (0.3-2.4 ng/dL),International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.production_sites,睾丸间质细胞; 卵巢间质细胞; 肾上腺皮质,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.target_organs,前列腺; 骨骼肌; 骨骼; 毛囊; 中枢神经系统,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.physiological_functions,男性第二性征发育; 精子生成; 肌肉和骨质量维持; 性欲调节; 认知功能影响,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_001,睾酮,,hormone,性激素,properties.metabolism,5α-还原酶转化为双氢睾酮; 芳香化酶转化为雌二醇; 肝脏结合代谢,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_002,雌二醇,,hormone,性激素,name_en,Estradiol,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_002,雌二醇,,hormone,性激素,description,最重要的雌激素，主要由卵泡分泌，调节女性性征和生殖功能,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_002,雌二醇,,hormone,性激素,properties.molecular_weight,272.4 Da,International Society of Endocrinology Clinical Practice Guidelines
entities.endocrine_system_entities,HORM_002,雌二醇,,hormone,性激素,properties.half_life,1-3小时,International Society of Endocrinology Clinical Practice Guidelines
