section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,name_en,Polycystic Ovary Syndrome
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,description,育龄期女性常见的内分泌代谢疾病，以雄激素过多、排卵障碍和多囊卵巢为特征
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,icd10_code,E28.2
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,prevalence,育龄期女性中5-10%
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,pathophysiology.primary_defects,胰岛素抵抗; 雄激素过多; LH/FSH比例失调
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,pathophysiology.metabolic_features,胰岛素抵抗; 糖耐量异常; 血脂异常; 肥胖
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,clinical_manifestations.reproductive_features,月经稀发或闭经; 不孕; 流产率增加
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,clinical_manifestations.hyperandrogenic_features,多毛症; 痤疮; 雄激素性脱发
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,clinical_manifestations.metabolic_features,肥胖(50-80%); 胰岛素抵抗; 糖耐量异常(31-35%); 2型糖尿病(7.5-10%); 血脂异常(70%); 代谢综合征(33-47%)
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,clinical_manifestations.psychological_features,抑郁; 焦虑; 生活质量下降
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.rotterdam_criteria.requirement,满足以下3项中的2项
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.rotterdam_criteria.criteria,排卵障碍或无排卵; 临床或生化雄激素过多征象; 多囊卵巢(超声)
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.rotterdam_criteria.exclusions,先天性肾上腺增生; 库欣综合征; 分泌雄激素的肿瘤
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.laboratory_findings.hormonal.total_testosterone,>0.481 nmol/L
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.laboratory_findings.hormonal.free_testosterone,升高
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.laboratory_findings.hormonal.lh_fsh_ratio,>2:1
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.laboratory_findings.hormonal.amh,>35 pmol/L
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.laboratory_findings.hormonal.dhea_s,可升高
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.laboratory_findings.metabolic.fasting_glucose,可升高
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.laboratory_findings.metabolic.ogtt,糖耐量异常常见
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.laboratory_findings.metabolic.homa_ir,>2.5
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.laboratory_findings.metabolic.lipid_profile,TG升高，HDL-C降低
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.ultrasound_criteria.follicle_number,≥20个小卵泡/卵巢
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,diagnostic_criteria_2023.ultrasound_criteria.ovarian_volume,>10ml
