section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,evidence_source
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,name_en,Pituitary Adenoma,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,description,起源于垂体前叶的良性肿瘤，根据激素分泌功能和大小分类,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_size.microadenoma,<1cm,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_size.macroadenoma,≥1cm,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_size.giant_adenoma,>4cm,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_function.functioning,分泌过多激素,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_function.non_functioning,不分泌激素或分泌无活性激素,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_hormone.prolactinoma,泌乳素瘤(40%),Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_hormone.growth_hormone,生长激素瘤(20%),Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_hormone.acth,ACTH腺瘤(10%),Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_hormone.tsh,TSH腺瘤(<2%),Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_hormone.gonadotroph,促性腺激素瘤(15%),Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_001,垂体腺瘤,,disease,垂体疾病,classification.by_hormone.null_cell,无功能腺瘤(15%),Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,name_en,Prolactinoma,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,description,分泌过量泌乳素的垂体腺瘤，最常见的功能性垂体肿瘤,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,prevalence,10万人中10-50例,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,gender_difference.women,育龄期多见，多为微腺瘤,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,gender_difference.men,中年多见，多为巨腺瘤,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,clinical_manifestations.hyperprolactinemia_effects.women,月经紊乱/闭经; 不孕; 溢乳; 性欲减退; 骨质疏松,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,clinical_manifestations.hyperprolactinemia_effects.men,性功能减退; 阳痿; 不育; 溢乳(少见); 骨质疏松,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,clinical_manifestations.mass_effects,头痛; 视野缺损; 视力下降; 垂体功能减退,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.prolactin_levels.normal.men,<20 ng/mL,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.prolactin_levels.normal.women,<25 ng/mL,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.prolactin_levels.mild_elevation,25-100 ng/mL,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.prolactin_levels.moderate_elevation,100-250 ng/mL,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.prolactin_levels.severe_elevation,>250 ng/mL (提示泌乳素瘤),Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.differential_diagnosis.physiological,妊娠; 哺乳; 应激; 睡眠,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.differential_diagnosis.pathological,下丘脑疾病; 垂体柄受压; 原发甲减,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.differential_diagnosis.medications,多巴胺拮抗剂; 抗抑郁药; 抗高血压药,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.imaging.mri_pituitary.microadenoma,增强后低信号,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.imaging.mri_pituitary.macroadenoma,不均匀强化,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.imaging.mri_pituitary.mass_effect,视交叉受压，海绵窦侵犯,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,treatment_strategies.medical_therapy.dopamine_agonists.cabergoline.dose,0.25-2mg 每周2次,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,treatment_strategies.medical_therapy.dopamine_agonists.cabergoline.efficacy,泌乳素正常化90%，肿瘤缩小80%,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,treatment_strategies.medical_therapy.dopamine_agonists.cabergoline.side_effects,恶心; 头晕; 心脏瓣膜病(高剂量),Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,treatment_strategies.medical_therapy.dopamine_agonists.bromocriptine.dose,2.5-15mg/day,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,treatment_strategies.medical_therapy.dopamine_agonists.bromocriptine.efficacy,稍差于cabergoline,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,treatment_strategies.medical_therapy.dopamine_agonists.bromocriptine.pregnancy,妊娠期首选,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,treatment_strategies.surgical_indications,药物治疗抵抗; 不能耐受药物副作用; 巨腺瘤视野缺损; 脑脊液鼻漏; 垂体卒中,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,treatment_strategies.radiation_therapy,手术和药物治疗失败; 恶性泌乳素瘤; 侵袭性腺瘤,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,name_en,Acromegaly,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,description,生长激素分泌过多导致的慢性进行性疾病，特征为骨骼、软组织过度生长,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,prevalence,10万人中3-4例,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,mortality,未治疗患者死亡率增加2-3倍,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,clinical_manifestations.skeletal_changes,手脚增大; 面容粗陋; 下颌前突; 眉弓突出; 鼻唇增厚,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,clinical_manifestations.soft_tissue_changes,舌体增大; 声音低沉; 皮肤粗糙; 多汗; 皮肤标签,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,clinical_manifestations.systemic_complications.cardiovascular,高血压(30%); 左心室肥厚; 心肌病; 心律失常,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,clinical_manifestations.systemic_complications.metabolic,糖尿病(30%); 胰岛素抵抗; 血脂异常,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,clinical_manifestations.systemic_complications.respiratory,睡眠呼吸暂停(70%); 上气道阻塞,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,clinical_manifestations.systemic_complications.rheumatologic,关节炎; 腕管综合征; 脊柱后凸,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,clinical_manifestations.systemic_complications.neoplastic,结肠息肉增加; 甲状腺结节; 前列腺增生,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,diagnostic_criteria.biochemical_diagnosis.igf1,年龄性别匹配上限,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,diagnostic_criteria.biochemical_diagnosis.ogtt_suppression.normal,GH < 0.4 ng/mL,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,diagnostic_criteria.biochemical_diagnosis.ogtt_suppression.acromegaly,GH不被抑制或反常升高,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,diagnostic_criteria.biochemical_diagnosis.random_gh,参考价值有限,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,diagnostic_criteria.imaging.pituitary_mri.microadenoma,30%,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,diagnostic_criteria.imaging.pituitary_mri.macroadenoma,70%,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,diagnostic_criteria.imaging.pituitary_mri.characteristics,T1低信号，增强后不均匀强化,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,treatment_goals.biochemical.igf1,年龄性别正常范围,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,treatment_goals.biochemical.random_gh,<1.0 ng/mL,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,treatment_goals.biochemical.post_ogtt_gh,<0.4 ng/mL,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,treatment_goals.clinical,症状改善; 并发症控制; 生活质量提高; 死亡率降低,Endocrine Society Pituitary Guidelines 2024
entities.pituitary_entities,PIT_003,肢端肥大症,,disease,垂体疾病,treatment_modalities.surgical.transsphenoidal_surgery.first_line,微腺瘤和无侵犯巨腺瘤,Endocrine Society Pituitary Guidelines 2024
