section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,name_en,Hyperthyroidism
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,description,甲状腺激素分泌过多引起的临床综合征，以代谢亢进和交感神经兴奋为主要表现
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,icd10_code,E05
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,prevalence,0.5-2% 成年人群
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,gender_predilection,女性:男性 = 5-10:1
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,age_distribution,20-50岁高发
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,etiology.graves_disease.percentage,85%
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,etiology.graves_disease.mechanism,TSH受体刺激性抗体(TRAb)介导
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,etiology.graves_disease.characteristics,弥漫性甲状腺肿; 眼征; 胫前黏液性水肿
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,etiology.toxic_multinodular_goiter.percentage,10-15%
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,etiology.toxic_multinodular_goiter.mechanism,结节自主功能亢进
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,etiology.toxic_multinodular_goiter.characteristics,多发结节; 老年人多见; 无眼征
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,etiology.toxic_adenoma.percentage,3-5%
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,etiology.toxic_adenoma.mechanism,单个结节自主分泌
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,etiology.toxic_adenoma.characteristics,单发热结节; 周围组织受抑制
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,clinical_manifestations.metabolic_symptoms,体重下降; 食欲亢进; 怕热多汗; 疲乏无力
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,clinical_manifestations.cardiovascular_symptoms,心悸; 胸闷; 心律失常; 高血压
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,clinical_manifestations.neuropsychiatric_symptoms,焦虑不安; 易激惹; 失眠; 注意力不集中; 震颤
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,clinical_manifestations.digestive_symptoms,腹泻; 排便次数增多
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,clinical_manifestations.reproductive_symptoms,月经紊乱; 性功能减退; 不孕不育
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,diagnostic_criteria.laboratory_findings.TSH,< 0.1 mIU/L (抑制)
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,diagnostic_criteria.laboratory_findings.FT4,> 23 pmol/L (升高)
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,diagnostic_criteria.laboratory_findings.FT3,> 6.0 pmol/L (升高)
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,diagnostic_criteria.laboratory_findings.TRAb,> 1.75 IU/L (Graves病阳性)
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,diagnostic_criteria.laboratory_findings.TPOAb,可阳性
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,diagnostic_criteria.laboratory_findings.TgAb,可阳性
