consensus_id,consensus_title,consensus_title_en,organization,publication_date,evidence_level,scope,key_recommendations,implementation_strategy,target_audience,clinical_impact,update_frequency,related_guidelines
EC001,2025 ADA糖尿病医疗护理标准,2025 ADA Standards of Medical Care in Diabetes,American Diabetes Association,2025-01,A级,糖尿病综合管理,"心血管-肾脏-代谢(CKM)健康框架;个体化HbA1c目标;以人为本语言;地中海饮食推荐",多学科团队培训+临床决策支持系统,糖尿病医疗团队,显著改善患者结局和生活质量,年度更新,EASD/ADA联合声明
EC002,2024 AACE血脂异常药物管理指南,2024 AACE Clinical Practice Guideline on Pharmacologic Management of Dyslipidemia,American Association of Clinical Endocrinology,2024-12,A级,成人血脂异常药物治疗,"多学科任务组制定;PCSK9抑制剂应用;心血管风险分层;个体化治疗目标",循证医学培训+风险评估工具,临床医师和医疗团队,降低心血管事件风险,3-5年更新,ACC/AHA血脂指南
EC003,2024 KDIGO慢性肾病矿物质骨病指南,2024 KDIGO Clinical Practice Guideline for CKD-MBD,Kidney Disease: Improving Global Outcomes,2024-10,A级,CKD患者矿物质骨代谢,"PTH目标值调整;拟钙剂应用策略;骨活检指征;透析患者特殊管理",肾科内分泌联合培训+监测协议,肾科医师和内分泌科医师,改善CKD患者骨健康和生存,5年更新,KDOQI指南
EC004,2024 ATA甲状腺结节和分化型甲状腺癌管理指南,2024 ATA Guidelines for Management of Thyroid Nodules and Differentiated Thyroid Cancer,American Thyroid Association,2024-09,A级,甲状腺结节和癌症管理,"超声TIRADS分级;分子检测应用;TSH抑制治疗策略;随访监测优化",超声培训+分子诊断推广,内分泌科医师和外科医师,提高诊断准确性降低过度治疗,5-10年更新,Endocrine Society甲状腺指南
EC005,2024 Endocrine Society肾上腺偶发瘤管理共识,2024 Endocrine Society Clinical Practice Guideline for Adrenal Incidentalomas,Endocrine Society,2024-08,A级,肾上腺偶发瘤评估和管理,"功能性评估标准;影像学特征判读;手术指征明确;长期随访策略",MDT培训+影像学标准化,内分泌科和泌尿外科医师,减少不必要手术和改善预后,7-10年更新,欧洲内分泌学会指南
EC006,2024 ACOG妊娠期糖尿病管理指南,2024 ACOG Practice Bulletin: Gestational Diabetes Mellitus,American College of Obstetricians and Gynecologists,2024-07,A级,妊娠期糖尿病诊疗,"筛查时机优化;血糖目标个体化;胰岛素治疗策略;产后随访强化",产科内分泌联合培训,产科医师和内分泌科医师,改善母儿结局和长期健康,3-5年更新,ADA妊娠指南
EC007,2024 ASRM/ES多囊卵巢综合征国际共识,2024 ASRM/ES International Consensus on PCOS,American Society for Reproductive Medicine & Endocrine Society,2024-06,A级,PCOS诊断和治疗,"诊断标准更新;代谢并发症管理;生育治疗策略;长期健康监测",妇科内分泌培训+代谢筛查,妇科和内分泌科医师,提高PCOS患者全程健康管理,5年更新,国际PCOS网络指南
EC008,2024 IOF骨质疏松症全球指南,2024 IOF Global Guidelines for Osteoporosis,International Osteoporosis Foundation,2024-05,A级,骨质疏松症预防和治疗,"FRAX风险评估工具;抗骨质疏松药物选择;骨质疏松性骨折管理;继发性骨质疏松症筛查",骨健康教育+风险评估工具,骨科和内分泌科医师,降低骨折风险和死亡率,5年更新,AACE骨质疏松指南
EC009,2024 NCCN神经内分泌肿瘤指南,2024 NCCN Guidelines for Neuroendocrine and Adrenal Tumors,National Comprehensive Cancer Network,2024-04,A级,神经内分泌肿瘤诊疗,"分级分期系统;靶向治疗策略;激素综合征管理;多学科协作模式",肿瘤内分泌MDT培训,肿瘤科和内分泌科医师,改善肿瘤患者生存和生活质量,年度更新,ENETS欧洲指南
EC010,2024 ES垂体腺瘤管理共识,2024 Endocrine Society Clinical Practice Guideline for Pituitary Adenomas,Endocrine Society,2024-03,A级,垂体腺瘤诊断和治疗,"功能性腺瘤药物治疗;手术指征和时机;放疗适应症;长期随访监测",垂体MDT建设+激素检测标准化,内分泌科和神经外科医师,优化垂体腺瘤治疗结局,7-10年更新,垂体学会国际指南
