section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,name_en,Polycystic Ovary Syndrome (PCOS)
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,description,育龄期女性常见的内分泌代谢疾病，以雄激素过多、排卵障碍和多囊卵巢为特征
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,icd_10,E28.2
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,epidemiology.prevalence,育龄女性5-20%
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,epidemiology.china_prevalence,5.6%(生育年龄女性)
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,epidemiology.adolescent_prevalence,青春期女性3-10%
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,epidemiology.ethnic_variations,各种族均有发病
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,diagnostic_criteria.rotterdam_2003.description,3项中至少2项
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,diagnostic_criteria.rotterdam_2003.criteria,稀发排卵或无排卵; 临床和/或生化雄激素过多; 多囊卵巢形态
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,diagnostic_criteria.nih_1990.description,必须同时具备
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,diagnostic_criteria.nih_1990.criteria,稀发排卵或无排卵; 临床或生化雄激素过多
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,diagnostic_criteria.aes_2006.description,雄激素过多+以下之一
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,diagnostic_criteria.aes_2006.criteria,卵巢功能障碍; 多囊卵巢形态
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,pathophysiology.insulin_resistance.prevalence,50-70%患者
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,pathophysiology.insulin_resistance.mechanism,胰岛素抵抗→高胰岛素血症
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,pathophysiology.insulin_resistance.effects,刺激卵巢雄激素产生; 降低性激素结合球蛋白; 促进脂肪储存
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,pathophysiology.hyperandrogenism.sources,卵巢; 肾上腺
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,pathophysiology.hyperandrogenism.mechanisms,LH刺激卵泡膜细胞; 胰岛素协同作用; 芳香化酶活性降低
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,pathophysiology.hyperandrogenism.consequences,毛囊敏感性增加; 皮脂腺分泌增加; 干扰卵泡发育
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,pathophysiology.ovarian_dysfunction.follicular_arrest,卵泡发育停滞
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,pathophysiology.ovarian_dysfunction.anovulation,排卵障碍
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,pathophysiology.ovarian_dysfunction.altered_steroidogenesis,类固醇生成异常
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,clinical_manifestations.reproductive_features.menstrual_irregularities.oligomenorrhea,月经稀发(>35天)
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,clinical_manifestations.reproductive_features.menstrual_irregularities.amenorrhea,闭经(>90天)
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,clinical_manifestations.reproductive_features.menstrual_irregularities.dysfunctional_bleeding,功能失调性子宫出血
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,clinical_manifestations.reproductive_features.infertility.anovulatory,排卵性不孕
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,clinical_manifestations.reproductive_features.infertility.prevalence,75%不孕症患者
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,clinical_manifestations.reproductive_features.infertility.mechanism,排卵障碍
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,clinical_manifestations.hyperandrogenic_features.hirsutism.definition,Ferriman-Gallwey评分≥6
