section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,name_en,Continuous Glucose Monitoring System
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,description,通过皮下组织间液葡萄糖浓度实时监测血糖变化的医疗设备系统
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,technology_types.real_time_cgm.description,实时连续血糖监测(rtCGM)
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,technology_types.real_time_cgm.features,实时血糖数据显示; 高低血糖报警; 趋势箭头指示; 数据分享功能
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,technology_types.real_time_cgm.representative_devices,Dexcom G6/G7; Abbott FreeStyle Libre; Medtronic Guardian; Senseonics Eversense
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,technology_types.real_time_cgm.accuracy,MARD < 10%（最新一代设备）
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,technology_types.flash_glucose_monitoring.description,间歇扫描式血糖监测(FGM)
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,technology_types.flash_glucose_monitoring.features,扫描获取血糖读数; 14天连续监测; 无需校准; 防水设计
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,technology_types.flash_glucose_monitoring.advantages,成本相对较低; 使用简便; 无需频繁校准
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,clinical_applications.diabetes_management.type1_diabetes.benefits,减少低血糖事件50-60%; 改善HbA1c 0.3-0.5%; 提高血糖在目标范围时间; 减少指尖采血频次
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,clinical_applications.diabetes_management.type1_diabetes.recommended_users,频繁低血糖患者; 低血糖无症状者; 血糖控制不佳者; 生活方式不规律者
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,clinical_applications.diabetes_management.type2_diabetes.benefits,优化药物调整; 识别餐后血糖高峰; 评估生活方式干预效果; 提高治疗依从性
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,clinical_applications.diabetes_management.type2_diabetes.适用人群,胰岛素治疗患者; 多次药物调整患者; 妊娠糖尿病患者; 糖尿病前期高危人群
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,clinical_applications.gestational_diabetes.monitoring_protocol.wearing_duration,孕24-28周开始，持续至分娩
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,clinical_applications.gestational_diabetes.monitoring_protocol.target_ranges.fasting,< 5.3 mmol/L
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,clinical_applications.gestational_diabetes.monitoring_protocol.target_ranges.1h_postprandial,< 7.8 mmol/L
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,clinical_applications.gestational_diabetes.monitoring_protocol.target_ranges.2h_postprandial,< 6.7 mmol/L
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,clinical_applications.gestational_diabetes.monitoring_protocol.alert_settings,低血糖 < 3.5 mmol/L; 高血糖 > 7.8 mmol/L; 血糖趋势快速上升
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,data_interpretation.key_metrics.time_in_range.definition,血糖在目标范围内的时间百分比
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,data_interpretation.key_metrics.time_in_range.target_range,3.9-10.0 mmol/L (70-180 mg/dL)
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,data_interpretation.key_metrics.time_in_range.clinical_targets.type1_diabetes,> 70%
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,data_interpretation.key_metrics.time_in_range.clinical_targets.type2_diabetes,> 70%
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,data_interpretation.key_metrics.time_in_range.clinical_targets.gestational_diabetes,> 85%
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,data_interpretation.key_metrics.time_in_range.clinical_targets.elderly,> 50% (个体化调整)
glucose_management_entities,CGM_001,连续血糖监测系统,,monitoring_technology,血糖监测技术,data_interpretation.key_metrics.time_in_range.clinical_significance,TIR增加10%相当于HbA1c降低0.8%
