section,file,rows,description
metadata,metadata.csv,14,图谱元数据与版本信息
system_architecture,system_architecture.csv,39,系统架构与模块组件
entities.endocrine_system_entities,entities_endocrine_system_entities.csv,61,内分泌系统核心实体信息
entities.thyroid_entities,entities_thyroid_entities.csv,156,甲状腺相关实体定义
entities.diabetes_entities,entities_diabetes_entities.csv,301,糖尿病实体定义
entities.diabetes_complications,entities_diabetes_complications.csv,165,糖尿病并发症实体详表
entities.diabetes_medications,entities_diabetes_medications.csv,176,糖尿病药物信息
entities.diabetes_technology_devices,entities_diabetes_technology_devices.csv,186,糖尿病监测与设备
entities.adrenal_entities,entities_adrenal_entities.csv,247,肾上腺相关实体
entities.pituitary_entities,entities_pituitary_entities.csv,291,垂体相关实体
entities.hypertension_entities,entities_hypertension_entities.csv,33,高血压相关实体
entities.gonadal_entities,entities_gonadal_entities.csv,309,性腺相关实体
entities.dyslipidemia_entities,entities_dyslipidemia_entities.csv,42,血脂异常相关实体
parathyroid_calcium_entities,parathyroid_calcium_entities.csv,254,甲状旁腺与钙代谢实体
bone_metabolism_entities,bone_metabolism_entities.csv,206,骨代谢相关实体
endocrine_tumor_entities,endocrine_tumor_entities.csv,127,内分泌肿瘤实体
obesity_metabolic_entities,obesity_metabolic_entities.csv,253,肥胖与代谢综合征实体
nutrition_endocrine_entities,nutrition_endocrine_entities.csv,217,营养与内分泌相关实体
pediatric_endocrine_entities,pediatric_endocrine_entities.csv,402,儿童内分泌实体
female_endocrine_entities,female_endocrine_entities.csv,338,女性内分泌实体
male_endocrine_entities,male_endocrine_entities.csv,188,男性内分泌实体
glucose_management_entities,glucose_management_entities.csv,313,血糖管理实体
rheumatic_endocrine_relationships,rheumatic_endocrine_relationships.csv,348,风湿与内分泌关系
cardiovascular_diseases,cardiovascular_diseases.csv,195,心血管疾病实体
cerebrovascular_diseases,cerebrovascular_diseases.csv,935,脑血管疾病实体
relationships,relationships.csv,191,跨系统关系定义
comorbidity_patterns,comorbidity_patterns.csv,50,共病模式与组成
inference_rules,inference_rules.csv,16,推理规则库
clinical_validation_cases,clinical_validation_cases.csv,19,临床验证病例
RHEUM_007,RHEUM_007.csv,103,
RHEUM_008,RHEUM_008.csv,140,
METAB_009,METAB_009.csv,145,
RHEUM_009,RHEUM_009.csv,192,
BONE_001,BONE_001.csv,190,
BONE_002,BONE_002.csv,191,
BONE_003,BONE_003.csv,183,
NUTRI_001,NUTRI_001.csv,48,
NUTRI_002,NUTRI_002.csv,25,
NUTRI_003,NUTRI_003.csv,37,
REPRO_001,REPRO_001.csv,75,
REPRO_002,REPRO_002.csv,59,
REPRO_003,REPRO_003.csv,57,
llm_integration_architecture,llm_integration_architecture.csv,47,LLM集成架构说明
research_support_features,research_support_features.csv,16,科研支持特性
