pathway_id,pathway_name,pathway_name_en,primary_conditions,comorbid_conditions,evidence_level,guideline_source,target_population,clinical_scenarios,assessment_protocol,integrated_management_approach,monitoring_strategy,outcome_targets,care_coordination,special_considerations
MCP001,糖尿病-心血管-肾病三联症管理,Diabetes-CVD-CKD Triad Management,"糖尿病,冠心病,慢性肾病","高血压,血脂异常,蛋白尿",A级,ADA 2025/ESC 2024/KDIGO 2024,成人糖尿病合并心肾疾病患者,HbA1c>7% + eGFR<60 + CVD史 + 蛋白尿,CKM健康评估 + 心肾功能评估 + 代谢综合征筛查,SGLT2抑制剂 + ACE抑制剂 + 他汀类 + 阿司匹林,每3个月HbA1c + 每月肾功能 + 每年心血管评估,HbA1c<7% + eGFR稳定 + LDL-C<1.4mmol/L,心内科+肾内科+内分泌科MDT,药物相互作用监测
MCP002,代谢综合征多重危险因素管理,Metabolic Syndrome Multiple Risk Factor Management,"糖尿病,高血压,血脂异常","肥胖,脂肪肝,睡眠呼吸暂停",A级,ADA 2025/AHA/ACC 2024,代谢综合征患者,腰围>标准 + 血压>130/80 + 血糖异常 + 血脂异常,全面代谢评估 + 心血管风险分层 + 生活方式评估,生活方式干预 + 二甲双胍 + 降压药 + 他汀类,每3个月代谢指标 + 每年并发症筛查,减重≥5% + 血压<130/80 + HbA1c<7%,内分泌科+心内科+营养科,睡眠呼吸监测
MCP003,甲状腺功能异常合并心律失常,Thyroid Dysfunction with Arrhythmias,"甲状腺功能亢进,房颤","心衰,高血压,焦虑症",A级,ATA 2024/ESC 2024,甲状腺疾病合并心律失常患者,甲亢症状 + 房颤 + 心率>100次/分,甲状腺功能全套 + 心电图 + 超声心动图 + 抗凝评估,抗甲状腺药物 + β受体阻滞剂 + 抗凝治疗,每2周甲状腺功能 + 每日心率监测 + 每月抗凝监测,甲状腺功能正常化 + 心率<100次/分 + 无卒中,内分泌科+心内科+心律失常科,抗凝与抗甲状腺药物相互作用
MCP004,多发性内分泌腺瘤综合征,Multiple Endocrine Neoplasia Syndromes,"垂体腺瘤,胰岛细胞瘤,甲状旁腺瘤","高钙血症,低血糖,肢端肥大",B级,Endocrine Society 2024/NCCN 2024,MEN综合征患者,家族史 + 多发内分泌肿瘤 + 激素功能异常,基因检测 + 全身激素功能评估 + 影像学筛查,个体化手术治疗 + 激素替代 + 随访监测,每6个月激素功能 + 每年影像学 + 遗传咨询,肿瘤控制 + 激素功能正常 + 无恶性转化,内分泌科+外科+遗传科+肿瘤科,家系筛查和基因咨询
MCP005,老年糖尿病多重共病管理,Geriatric Diabetes with Multiple Comorbidities,"糖尿病,认知障碍,心衰","高血压,慢性肾病,抑郁症",A级,ADA 2025/AGS 2024,≥65岁糖尿病多重共病患者,年龄≥65岁 + 糖尿病 + ≥3种共病 + 功能状态下降,综合老年评估 + 认知功能评估 + 跌倒风险评估,个体化HbA1c目标 + 简化治疗方案 + 多学科协作,每6个月HbA1c + 每年认知评估 + 季度功能评估,个体化目标 + 无严重低血糖 + 功能维持,老年科+内分泌科+精神科,避免过度治疗和多重用药
MCP006,妊娠期多重内分泌异常,Pregnancy Multiple Endocrine Disorders,"妊娠期糖尿病,妊娠期甲减,妊娠期高血压","PCOS,甲状腺结节,肥胖",A级,ACOG 2024/ATA 2024/ADA 2025,妊娠期内分泌异常孕妇,妊娠期 + 血糖异常 + 甲状腺功能异常 + 高血压,妊娠期内分泌全面筛查 + 胎儿监测 + 母体风险评估,个体化血糖管理 + 甲状腺激素调整 + 血压控制,每周血糖 + 每月甲状腺功能 + 每2周胎儿监测,母儿安全 + 血糖达标 + 甲状腺功能正常,产科+内分泌科+新生儿科,产后随访和哺乳期调整
MCP007,1型糖尿病自身免疫多病,Type 1 Diabetes Autoimmune Multimorbidity,"1型糖尿病,桥本甲状腺炎,腹腔病","维生素B12缺乏,肾上腺功能不全,白癜风",A级,ADA 2025/Endocrine Society 2024,1型糖尿病自身免疫共病患者,1型糖尿病 + 甲状腺抗体阳性 + 腹腔病抗体阳性,自身免疫全套筛查 + 维生素缺乏评估 + 肾上腺功能评估,胰岛素强化治疗 + 甲状腺激素替代 + 无麸质饮食,每3个月HbA1c + 每年自身免疫抗体 + 维生素水平监测,HbA1c<7% + 甲状腺功能正常 + 营养状态良好,内分泌科+消化科+营养科,无麸质饮食教育
MCP008,肾上腺疾病多系统受累,Adrenal Disease Multi-system Involvement,"库欣综合征,高血压,糖尿病","骨质疏松,抑郁症,感染易感",A级,Endocrine Society 2024,肾上腺皮质功能异常患者,皮质醇升高 + 高血压 + 血糖异常 + 骨密度下降,24小时尿皮质醇 + 影像学 + 骨密度 + 心理评估,病因治疗 + 并发症管理 + 心理支持,每月皮质醇 + 每季度骨密度 + 心理状态评估,皮质醇正常化 + 并发症控制 + 心理健康改善,内分泌科+精神科+骨科,激素替代期间感染风险
MCP009,甲状旁腺功能异常多器官影响,Parathyroid Dysfunction Multi-organ Impact,"原发性甲旁亢,肾结石,骨质疏松","高血压,心律失常,抑郁",A级,AACE 2024,甲状旁腺功能异常患者,血钙升高 + PTH升高 + 肾结石 + 骨密度下降,血钙磷PTH + 肾功能 + 骨密度 + 心电图,手术治疗 + 钙磷调节 + 骨保护治疗,每月血钙 + 每季度骨密度 + 肾功能监测,血钙正常 + 无新发肾结石 + 骨密度改善,内分泌科+泌尿外科+骨科,手术时机选择
MCP010,肥胖症多重代谢并发症,Obesity Multiple Metabolic Complications,"病理性肥胖,2型糖尿病,睡眠呼吸暂停","高血压,脂肪肝,关节炎",A级,AACE 2024/ADA 2025,病理性肥胖多重并发症患者,BMI≥35 + 糖尿病 + 睡眠呼吸暂停 + 关节症状,全面代谢评估 + 睡眠研究 + 关节功能评估,减重手术 + 糖尿病管理 + CPAP治疗,每月体重 + 每季度代谢指标 + 睡眠质量评估,减重≥30% + HbA1c<7% + 睡眠质量改善,减重外科+内分泌科+呼吸科,围手术期管理
