entity_id,entity_name,entity_name_en,category,subcategory,specialty_integration,evidence_level,guideline_source,clinical_application,cross_disciplinary_tags,pathophysiology,diagnostic_criteria,treatment_approach,monitoring_parameters,prognosis_factors,clinical_pearls
NE001,糖尿病肾病,Diabetic Nephropathy,肾脏内分泌学,糖尿病微血管病变,肾内科+内分泌科,A级,KDIGO/ADA 2024,慢性肾脏病管理,diabetes;nephropathy;chronic_kidney_disease,高血糖导致肾小球硬化和间质纤维化,eGFR<60ml/min/1.73m²+蛋白尿+糖尿病史,ACE抑制剂+SGLT2抑制剂+血糖控制,eGFR；尿蛋白/肌酐比值；HbA1c,糖尿病病程和血糖控制质量,SGLT2抑制剂显著延缓肾功能下降
NE002,原发性醛固酮增多症,Primary Aldosteronism,肾脏内分泌学,肾性高血压,肾内科+内分泌科,A级,Endocrine Society 2024,难治性高血压筛查,aldosteronism;hypertension;mineralocorticoid,醛固酮过多导致钠潴留和钾丢失,ARR>30 + 确认试验阳性 + 难治性高血压,螺内酯+肾上腺静脉取样+手术,血压；血钾；ARR,单侧或双侧肾上腺增生,螺内酯是诊断性治疗的首选
NE003,慢性肾脏病矿物质代谢紊乱,CKD-MBD,肾脏内分泌学,矿物质代谢,肾内科+内分泌科,A级,KDIGO 2024,CKD骨代谢管理,CKD;mineral_bone_disorder;phosphorus,肾功能下降导致钙磷代谢紊乱,eGFR<60 + 血磷升高 + PTH升高,磷结合剂+活性维生素D+拟钙剂,血钙；血磷；PTH；骨密度,CKD分期和透析方式,PTH目标值随CKD分期调整
NE004,肾性骨病,Renal Osteodystrophy,肾脏内分泌学,CKD并发症,肾内科+内分泌科,A级,KDIGO 2024,透析患者骨病管理,renal_osteodystrophy;CKD;dialysis,继发性甲状旁腺功能亢进导致骨病,透析患者+骨痛+病理性骨折+PTH>600pg/ml,拟钙剂+磷结合剂+甲状旁腺切除,PTH 2-9倍正常上限；骨生化标志物,透析龄和甲状旁腺增生程度,动态骨病和无动力性骨病需不同治疗
NE005,急性肾损伤与内分泌危象,AKI in Endocrine Crisis,肾脏内分泌学,急性肾损伤,急诊科+肾内科+内分泌科,A级,KDIGO/Endocrine Society 2024,内分泌急症肾功能保护,AKI;endocrine_crisis;acute_care,激素紊乱导致血流动力学不稳定,血肌酐48小时内升高≥26.5μmol/L+内分泌危象,激素替代+液体复苏+肾功能保护,血肌酐；尿量；电解质,基础肾功能和危象严重程度,早期识别和治疗是关键
NE006,移植肾糖尿病,Post-transplant Diabetes Mellitus,肾脏内分泌学,器官移植,移植科+内分泌科,A级,KDIGO/ADA 2024,移植后糖尿病管理,transplant;diabetes;immunosuppression,免疫抑制剂β细胞毒性,肾移植后新发糖尿病+他克莫司治疗,胰岛素+免疫抑制剂调整,HbA1c<7%；移植物功能,排斥风险和感染风险,发生率30-40%，影响移植物存活
NE007,多囊肾合并高血压,ADPKD Hypertension,肾脏内分泌学,遗传性肾病,肾内科+遗传科,A级,ERA-EDTA 2024,遗传性肾病高血压管理,ADPKD;hypertension;genetic,囊肿压迫导致肾素-血管紧张素系统激活,多囊肾+高血压+肾功能下降,ACE抑制剂+血压控制<130/80,血压；肾脏体积；eGFR,囊肿数量和肾脏体积,血压控制可延缓肾功能下降
NE008,肾小管酸中毒,Renal Tubular Acidosis,肾脏内分泌学,肾小管疾病,肾内科+内分泌科,B级,ASN 2024,酸碱平衡紊乱,RTA;acidosis;tubular_dysfunction,远端肾小管氢离子排泄障碍,正常阴离子间隙代谢性酸中毒+肾结石,碳酸氢钠补充+枸橼酸钾,血气分析；尿pH；血钾,肾结石形成和慢性肾功能损害,I型RTA常伴低钾血症
NE009,肾性高血压,Renovascular Hypertension,肾脏内分泌学,血管性高血压,肾内科+血管外科,A级,AHA/ACC 2024,血管性高血压诊疗,renovascular;hypertension;stenosis,肾动脉狭窄激活肾素血管紧张素系统,难治性高血压+肾动脉狭窄>70%,血管重建术+药物治疗,血压；肾功能；肾动脉通畅度,狭窄程度和肾功能储备,年轻患者多见纤维肌性发育不良
NE010,尿崩症,Diabetes Insipidus,肾脏内分泌学,水盐代谢紊乱,肾内科+内分泌科,A级,Endocrine Society 2024,多尿症鉴别诊断,diabetes_insipidus;polyuria;vasopressin,ADH缺乏或肾脏对ADH反应不良,多尿>3L/日+尿比重<1.005+水剥夺试验,去氨加压素+病因治疗,尿量；血钠；尿渗透压,中枢性或肾性类型,水剥夺试验需严密监测避免脱水
NE011,急性肾小管坏死,Acute Tubular Necrosis,肾脏内分泌学,急性肾损伤,肾内科+ICU,A级,KDIGO 2024,ICU急性肾损伤,ATN;AKI;critical_care,肾小管上皮细胞缺血坏死,AKI + 尿沉渣管型 + 无梗阻,支持治疗+肾脏替代治疗,血肌酐；尿量；电解质,基础疾病严重程度,恢复期多尿需注意电解质紊乱
NE012,肾病综合征内分泌紊乱,Nephrotic Syndrome Endocrine Disorders,肾脏内分泌学,肾小球疾病,肾内科+内分泌科,B级,KDIGO 2024,肾病综合征并发症管理,nephrotic_syndrome;protein_loss;endocrine,大量蛋白尿导致激素结合蛋白丢失,蛋白尿>3.5g/日+低蛋白血症+水肿,激素替代+蛋白尿控制,甲状腺功能；皮质醇；性激素,疾病类型和治疗反应,需监测多种激素水平变化
NE013,透析相关性低血压,Dialysis-related Hypotension,肾脏内分泌学,透析并发症,肾内科+心内科,A级,KDOQI 2024,透析并发症管理,dialysis;hypotension;cardiovascular,超滤过快导致血容量不足,透析中收缩压下降>20mmHg+症状,超滤速度调整+血容量管理,血压；心率；超滤量,心血管疾病和自主神经病变,透析前评估干体重很重要
NE014,多发性骨髓瘤肾病,Myeloma Kidney,肾脏内分泌学,血液病肾损害,肾内科+血液科,A级,IMWG 2024,血液病相关肾病,myeloma;kidney;light_chain,轻链沉积导致肾小管损害,AKI + 单克隆蛋白 + 骨髓瘤,化疗+血浆置换+肾脏替代,血肌酐；轻链；骨髓瘤负荷,轻链类型和肾脏病理,早期诊断和治疗可逆转肾损害
NE015,狼疮性肾炎,Lupus Nephritis,肾脏内分泌学,自身免疫性肾病,肾内科+风湿科,A级,ACR/EULAR 2024,自身免疫病肾损害,lupus;nephritis;autoimmune,免疫复合物沉积导致肾小球炎症,蛋白尿+血尿+SLE诊断+肾活检,免疫抑制剂+激素,蛋白尿；血肌酐；抗dsDNA,病理类型和活动指数,IV型狼疮性肾炎预后最差
NE016,肾移植后骨病,Post-transplant Bone Disease,肾脏内分泌学,移植后并发症,移植科+内分泌科,B级,KDIGO 2024,移植后骨代谢管理,transplant;bone_disease;immunosuppression,免疫抑制剂影响骨代谢,肾移植后+骨密度下降+骨折,钙剂+维生素D+双膦酸盐,骨密度；骨折风险；PTH,免疫抑制剂类型和剂量,糖皮质激素是主要骨丢失因素
NE017,急性间质性肾炎,Acute Interstitial Nephritis,肾脏内分泌学,过敏性肾病,肾内科+变态反应科,B级,ASN 2024,药物性肾损害,AIN;drug_induced;allergic,药物过敏导致间质炎症,AKI + 药物史 + 尿嗜酸细胞,停用致病药物+激素治疗,血肌酐；尿常规；嗜酸细胞,早期诊断和治疗时机,NSAIDs和抗生素是常见病因
NE018,肾性贫血,Renal Anemia,肾脏内分泌学,CKD并发症,肾内科+血液科,A级,KDIGO 2024,CKD贫血管理,CKD;anemia;erythropoietin,促红细胞生成素缺乏,CKD 3期以上 + Hb<110g/L + 铁蛋白正常,ESA+铁剂补充,血红蛋白；铁蛋白；转铁蛋白饱和度,CKD分期和炎症状态,Hb目标值100-115g/L
NE019,多囊卵巢综合征肾损害,PCOS Kidney Disease,肾脏内分泌学,内分泌肾病,肾内科+妇科内分泌,B级,ASRM/ES 2024,内分泌疾病肾脏并发症,PCOS;kidney;metabolic,胰岛素抵抗和雄激素过多影响肾功能,PCOS诊断+微量白蛋白尿+肾功能下降,二甲双胍+ACE抑制剂+生活方式,微量白蛋白尿；eGFR；胰岛素敏感性,代谢综合征和心血管风险,早期筛查可预防肾功能恶化
NE020,肾上腺功能不全电解质紊乱,Adrenal Insufficiency Electrolyte Disorders,肾脏内分泌学,电解质紊乱,肾内科+内分泌科+急诊科,A级,Endocrine Society 2024,内分泌急症电解质管理,adrenal_insufficiency;electrolytes;crisis,矿皮质激素缺乏导致钠钾紊乱,低钠血症+高钾血症+低皮质醇,氢化可的松+生理盐水+电解质纠正,血钠；血钾；皮质醇；血容量,肾上腺功能储备,氟氢可的松用于慢性矿皮质激素替代
