entity_id,entity_name,entity_name_en,category,subcategory,specialty_integration,evidence_level,guideline_source,clinical_application,cross_disciplinary_tags,pathophysiology,diagnostic_criteria,treatment_approach,monitoring_parameters,prognosis_factors,clinical_pearls
NEU001,糖尿病周围神经病变,Diabetic Peripheral Neuropathy,神经内分泌学,糖尿病神经并发症,神经科+内分泌科,A级,ADA/AAN 2025,糖尿病神经病变筛查,diabetes;neuropathy;peripheral,高血糖导致神经纤维损伤和脱髓鞘,糖尿病史+痛觉减退+振动觉异常+神经传导异常,严格血糖控制+神经营养药物+疼痛管理,HbA1c<7%；疼痛评分；神经传导速度,糖尿病病程和血糖控制质量,足部检查可预防糖尿病足溃疡
NEU002,糖尿病自主神经病变,Diabetic Autonomic Neuropathy,神经内分泌学,糖尿病神经并发症,神经科+内分泌科,A级,ADA 2025,自主神经功能评估,diabetes;autonomic_neuropathy;cardiovascular,自主神经纤维高血糖损伤,心率变异性分析+体位性低血压+胃轻瘫,血糖控制+对症治疗,心率变异性；体位性血压变化,病程长短和血糖控制,胃轻瘫是常见表现需营养评估
NEU003,下丘脑-垂体轴疾病,Hypothalamic-Pituitary Axis Disorders,神经内分泌学,神经垂体疾病,神经科+内分泌科,A级,Endocrine Society 2024,垂体功能评估,hypothalamus;pituitary;neuroendocrine,下丘脑释放因子调节垂体激素分泌,多种垂体激素缺乏+MRI垂体异常,激素替代治疗+病因治疗,垂体激素谱；MRI随访,肿瘤类型和手术历史,垂体功能减退需终身激素替代
NEU004,垂体卒中,Pituitary Apoplexy,神经内分泌学,垂体急症,神经外科+内分泌科+急诊科,A级,Endocrine Society 2024,垂体急症处理,pituitary;apoplexy;emergency,垂体腺瘤出血或梗死,急性头痛+视野缺损+垂体功能减退+MRI异常,激素替代+手术减压,视野；垂体功能；MRI,视神经压迫程度和垂体功能,氢化可的松是救命性治疗
NEU005,中枢性尿崩症,Central Diabetes Insipidus,神经内分泌学,水盐代谢紊乱,神经科+内分泌科,A级,Endocrine Society 2024,多尿症诊断,central_diabetes_insipidus;ADH;polyuria,下丘脑ADH分泌不足,多尿>3L/日+低尿比重+水剥夺试验+ADH反应,去氨加压素治疗,尿量；血钠；尿渗透压,病因类型和治疗反应,需与肾性尿崩症鉴别
NEU006,抗利尿激素分泌异常综合征,SIADH,神经内分泌学,水盐代谢紊乱,神经科+内分泌科,A级,Endocrine Society 2024,低钠血症诊断,SIADH;hyponatremia;ADH,ADH分泌过多导致水潴留,低钠血症+尿钠>20mmol/L+正常血容量,限水+托伐普坦,血钠；尿渗透压；血渗透压,低钠血症严重程度,纠正速度不宜过快避免脑桥病变
NEU007,甲状腺功能异常认知障碍,Thyroid-related Cognitive Impairment,神经内分泌学,甲状腺神经症状,神经科+内分泌科,B级,ATA/AAN 2024,认知功能评估,thyroid;cognitive;dementia,甲状腺激素影响大脑神经元功能,认知功能下降+甲状腺功能异常+神经心理测评,甲状腺激素优化+认知康复,甲状腺功能；认知评分,年龄和基线认知功能,甲状腺功能纠正可改善认知
NEU008,垂体性侏儒症,Pituitary Dwarfism,神经内分泌学,生长发育障碍,内分泌科+儿科,A级,GH Research Society 2024,生长激素缺乏症,growth_hormone;dwarfism;pituitary,生长激素缺乏导致生长发育迟缓,身高<-2SD+生长速度<5cm/年+GH刺激试验异常,生长激素替代治疗,身高增长速度；IGF-1；骨龄,诊断年龄和治疗时机,青春期前治疗效果最佳
NEU009,肢端肥大症神经并发症,Acromegaly Neurological Complications,神经内分泌学,垂体肿瘤并发症,神经科+内分泌科,A级,Endocrine Society 2024,肢端肥大症并发症管理,acromegaly;neuropathy;carpal_tunnel,生长激素过多导致神经压迫,肢端肥大症+腕管综合征+视野缺损,生长抑素类似物+手术治疗,GH；IGF-1；视野；神经传导,肿瘤大小和激素水平,腕管综合征发生率高达60%
NEU010,库欣病神经精神症状,Cushing Disease Neuropsychiatric Symptoms,神经内分泌学,肾上腺皮质疾病,神经科+内分泌科+精神科,A级,Endocrine Society 2024,库欣综合征神经症状,cushing;depression;psychosis,皮质醇过多影响大脑神经递质,抑郁+焦虑+认知障碍+皮质醇升高,手术治疗+抗抑郁药物,皮质醇；抑郁评分；认知测试,皮质醇水平和治疗反应,神经精神症状可能在皮质醇正常后持续
NEU011,低血糖性脑损伤,Hypoglycemic Brain Injury,神经内分泌学,低血糖症,神经科+内分泌科+急诊科,A级,ADA/AAN 2024,严重低血糖急救,hypoglycemia;brain_injury;emergency,严重低血糖导致神经元坏死,血糖<2.8mmol/L+意识障碍+神经系统症状,静脉葡萄糖+胰高糖素,血糖；意识状态；神经系统体征,低血糖持续时间和严重程度,预防比治疗更重要
NEU012,甲状腺相关眼病,Thyroid-associated Ophthalmopathy,神经内分泌学,甲状腺眼部并发症,眼科+内分泌科,A级,EUGOGO 2024,甲状腺眼病管理,thyroid;ophthalmopathy;orbital,甲状腺抗体交叉反应眼眶组织,突眼+复视+眼睑退缩+甲状腺功能异常,免疫抑制+眼眶放疗+手术,甲状腺功能；眼球突出度；视力,活动期和纤维期,戒烟对眼病治疗很重要
NEU013,垂体前叶功能减退症,Hypopituitarism,神经内分泌学,垂体功能障碍,内分泌科+神经科,A级,Endocrine Society 2024,垂体功能全面评估,hypopituitarism;hormone_deficiency;pituitary,垂体前叶激素分泌不足,多种激素缺乏+垂体刺激试验异常,多种激素替代治疗,各种垂体激素水平,病因和损伤程度,激素替代顺序很重要
NEU014,颅咽管瘤术后并发症,Craniopharyngioma Post-surgical Complications,神经内分泌学,颅内肿瘤术后,神经外科+内分泌科,B级,CNS Tumor Guidelines 2024,颅内肿瘤术后管理,craniopharyngioma;surgery;complications,手术损伤下丘脑垂体功能,颅咽管瘤术后+垂体功能减退+尿崩症,激素替代+对症治疗,垂体功能；水电解质；神经功能,肿瘤残留和手术并发症,儿童患者需特别关注生长发育
NEU015,多发性硬化内分泌异常,Multiple Sclerosis Endocrine Disorders,神经内分泌学,脱髓鞘疾病,神经科+内分泌科,B级,MS Society 2024,多发性硬化并发症,multiple_sclerosis;endocrine;autoimmune,自身免疫性疾病影响内分泌功能,MS诊断+甲状腺功能异常+骨质疏松,激素替代+免疫调节治疗,甲状腺功能；骨密度；维生素D,疾病活动度和治疗反应,维生素D缺乏在MS患者中常见
