section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,evidence_source
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,name_en,Vitamin D Deficiency,International Society of Endocrinology Clinical Practice Guidelines
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,description,体内维生素D水平不足导致的钙磷代谢紊乱,International Society of Endocrinology Clinical Practice Guidelines
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,icd_10,E55.9,International Society of Endocrinology Clinical Practice Guidelines
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,epidemiology.global_prevalence,全球约10亿人维生素D不足,International Society of Endocrinology Clinical Practice Guidelines
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,epidemiology.china_prevalence,成人维生素D缺乏率55.9%,International Society of Endocrinology Clinical Practice Guidelines
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,epidemiology.seasonal_variation,冬季缺乏率更高,International Society of Endocrinology Clinical Practice Guidelines
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,epidemiology.high_risk_populations,老年人; 孕产妇; 婴幼儿; 室内工作者; 深色皮肤人群,International Society of Endocrinology Clinical Practice Guidelines
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,classification.by_serum_level.deficiency.25_oh_d3,<30nmol/L (<12ng/mL),International Society of Endocrinology Clinical Practice Guidelines
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,classification.by_serum_level.deficiency.severity,严重缺乏,International Society of Endocrinology Clinical Practice Guidelines
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,classification.by_serum_level.insufficiency.25_oh_d3,30-50nmol/L (12-20ng/mL),International Society of Endocrinology Clinical Practice Guidelines
nutrition_endocrine_entities,NUT_001,维生素D缺乏症,,nutritional_disorder,nutrition_endocrine_disease,classification.by_serum_level.insufficiency.severity,不足,International Society of Endocrinology Clinical Practice Guidelines
