section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,evidence_source
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,name_en,Obesity,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,description,体内脂肪组织过度积累导致的慢性代谢性疾病,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,icd_10,E66,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,epidemiology.global_prevalence,成人肥胖率13.1%,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,epidemiology.china_prevalence,成人肥胖率7.0%，超重率34.3%,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,epidemiology.pediatric_prevalence,儿童肥胖率19.3%,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,epidemiology.economic_burden,全球医疗费用超过2万亿美元,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,epidemiology.mortality_risk,BMI每增加5kg/m²，死亡风险增加31%,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_bmi.overweight.asian_criteria,BMI 23.0-27.4 kg/m²,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_bmi.overweight.who_criteria,BMI 25.0-29.9 kg/m²,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_bmi.obesity_class_1.asian_criteria,BMI 27.5-32.4 kg/m²,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_bmi.obesity_class_1.who_criteria,BMI 30.0-34.9 kg/m²,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_bmi.obesity_class_2.asian_criteria,BMI 32.5-37.4 kg/m²,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_bmi.obesity_class_2.who_criteria,BMI 35.0-39.9 kg/m²,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_bmi.obesity_class_3.asian_criteria,BMI ≥37.5 kg/m²,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_bmi.obesity_class_3.who_criteria,BMI ≥40.0 kg/m²,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_fat_distribution.android_obesity.pattern,腹型肥胖,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_fat_distribution.android_obesity.measurement,腰围：男性≥90cm，女性≥85cm,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_fat_distribution.android_obesity.risk,代谢风险高,ADA Standards of Medical Care in Diabetes 2025
obesity_metabolic_entities,OBE_001,肥胖症,,metabolic_disorder,nutrition_metabolic_disease,classification.by_fat_distribution.gynoid_obesity.pattern,臀型肥胖,ADA Standards of Medical Care in Diabetes 2025
