section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,evidence_source
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,name_en,Primary Hyperparathyroidism,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,description,甲状旁腺激素(PTH)过度分泌导致的钙磷代谢紊乱性疾病,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,icd_10,E21.0,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,epidemiology.prevalence,1-4/1000人口,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,epidemiology.age_distribution,50-60岁高发,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,epidemiology.gender_ratio,女性:男性 = 3:1,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,epidemiology.risk_factors,绝经后女性; 维生素D缺乏; 锂盐治疗史; 放射线暴露史,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,etiology.adenoma.percentage,85%,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,etiology.adenoma.characteristics,单发性良性腺瘤,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,etiology.adenoma.location,单个甲状旁腺,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,etiology.hyperplasia.percentage,10-15%,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,etiology.hyperplasia.characteristics,四个腺体增生,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,etiology.hyperplasia.types,原发性增生; 继发性增生,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,etiology.carcinoma.percentage,<1%,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,etiology.carcinoma.characteristics,恶性甲状旁腺癌,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,etiology.carcinoma.prognosis,预后相对较好,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,clinical_manifestations.skeletal_symptoms.bone_pain,骨痛，尤其是腰背部,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,clinical_manifestations.skeletal_symptoms.osteoporosis,骨质疏松症,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,clinical_manifestations.skeletal_symptoms.fractures,病理性骨折,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,clinical_manifestations.skeletal_symptoms.joint_pain,关节疼痛,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,clinical_manifestations.renal_symptoms.nephrolithiasis,肾结石形成,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,clinical_manifestations.renal_symptoms.polyuria,多尿,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,clinical_manifestations.renal_symptoms.polydipsia,多饮,Endocrine Society Clinical Practice Guidelines
parathyroid_calcium_entities,PTH_001,原发性甲状旁腺功能亢进症,,endocrine_disorder,parathyroid_disease,clinical_manifestations.renal_symptoms.renal_insufficiency,肾功能不全,Endocrine Society Clinical Practice Guidelines
