section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,evidence_source
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,name_en,Pediatric Growth Hormone Deficiency,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,description,儿童期生长激素分泌不足导致的生长发育迟缓,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,icd_10,E23.0,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,epidemiology.prevalence,1/4000-1/10000儿童,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,epidemiology.male_predominance,男性较女性多见(2-3:1),Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,epidemiology.peak_diagnosis_age,5-15岁,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,epidemiology.ethnic_differences,各种族均可发病,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,classification.by_etiology.congenital.percentage,5-10%,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,classification.by_etiology.congenital.causes,下丘脑-垂体发育异常; 基因突变; 围产期损伤,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,classification.by_etiology.acquired.percentage,5-10%,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,classification.by_etiology.acquired.causes,颅脑外伤; 颅内肿瘤; 感染; 放射治疗,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,classification.by_etiology.idiopathic.percentage,80-90%,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,classification.by_etiology.idiopathic.characteristics,原因不明,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,classification.by_severity.complete_deficiency.gh_peak,<3ng/mL,Endocrine Society Clinical Practice Guidelines
pediatric_endocrine_entities,PED_001,儿童生长激素缺乏症,,endocrine_disorder,pediatric_endocrine_disease,classification.by_severity.complete_deficiency.growth_velocity,<4cm/年,Endocrine Society Clinical Practice Guidelines
