entity_id,entity_name,entity_name_en,category,subcategory,detailed_pathophysiology,comprehensive_diagnosis,treatment_algorithm,monitoring_protocol,patient_scenarios,cross_references,recent_evidence,clinical_pearls_expanded,qa_pairs,natural_language_summary
PSYCHO_ENH_001,糖尿病抑郁共病,Diabetes with Depression,精神内分泌学,情感障碍,"糖尿病与抑郁症的共病关系是双向的，涉及复杂的神经内分泌、炎症和行为机制：

1. **下丘脑-垂体-肾上腺轴异常**：
   - **皮质醇过度分泌**：慢性应激状态，HPA轴持续激活
   - **糖皮质激素受体异常**：受体敏感性下降，负反馈调节失调
   - **ACTH分泌节律紊乱**：昼夜节律异常，皮质醇峰值改变
   - **CRH过度释放**：下丘脑CRH神经元过度活化

2. **神经递质系统异常**：
   - **5-羟色胺系统**：
     * 色氨酸代谢异常：犬尿氨酸通路激活
     * 5-HT1A受体下调：情绪调节功能减退
     * SERT表达增加：5-羟色胺重摄取增强
   - **多巴胺系统**：
     * 奖赏通路功能减退：动机缺失，快感缺乏
     * D2受体密度下降：多巴胺信号传导异常
   - **去甲肾上腺素系统**：
     * 交感神经过度激活：心率变异性下降
     * α2受体功能异常：自主调节失衡

3. **炎症介质与细胞因子**：
   - **促炎细胞因子升高**：
     * IL-1β、IL-6、TNF-α：激活HPA轴，影响神经递质合成
     * 干扰素-γ：激活吲哚胺2,3-双加氧酶，消耗色氨酸
   - **抗炎因子下降**：IL-10、TGF-β保护作用减弱
   - **C反应蛋白升高**：全身炎症状态指标
   - **神经炎症**：小胶质细胞活化，神经元损伤

4. **胰岛素抵抗与大脑功能**：
   - **脑胰岛素信号异常**：
     * 胰岛素受体表达下降：海马、前额皮质
     * IRS-1磷酸化异常：胰岛素信号传导障碍
     * 葡萄糖转运异常：脑能量代谢受损
   - **神经可塑性损伤**：
     * BDNF表达下降：神经元生存和连接受损
     * 树突棘密度减少：突触传递效率下降
     * 海马神经发生受抑：学习记忆功能障碍

5. **氧化应激与线粒体功能障碍**：
   - **活性氧生成增加**：高血糖、炎症状态
   - **抗氧化能力下降**：GSH、SOD活性减退
   - **线粒体呼吸链功能异常**：ATP生成减少
   - **细胞凋亡增加**：神经元损失加速","**抑郁症状评估**：
1. **抑郁症筛查工具**：
   - **PHQ-9量表**：
     * 0-4分：无抑郁症状
     * 5-9分：轻度抑郁
     * 10-14分：中度抑郁
     * 15-19分：中重度抑郁
     * 20-27分：重度抑郁

   - **Hamilton抑郁量表(HAMD)**：
     * 17项或21项版本
     * 0-7分：无抑郁
     * 8-16分：轻度抑郁
     * 17-23分：中度抑郁
     * ≥24分：重度抑郁

   - **Beck抑郁量表(BDI-II)**：
     * 自评量表，21个项目
     * 0-13分：极轻微抑郁
     * 14-19分：轻度抑郁
     * 20-28分：中度抑郁
     * 29-63分：重度抑郁

2. **糖尿病特异性心理评估**：
   - **糖尿病痛苦量表(DDS)**：
     * 情绪负担：对疾病的担忧、恐惧
     * 医生相关痛苦：医患关系满意度
     * 管理相关痛苦：自我管理困难
     * 人际痛苦：家庭、社会支持

   - **糖尿病治疗满意度**：
     * 药物依从性评估
     * 血糖监测频率
     * 生活方式改变困难程度

3. **神经认知功能评估**：
   - **MMSE/MoCA**：认知功能筛查
   - **Trail Making测试**：执行功能评估
   - **数字符号测试**：信息处理速度
   - **语言流畅性测试**：前额皮质功能

4. **生物学标志物检测**：
   - **HPA轴功能**：
     * 唾液皮质醇：起床后30分钟、睡前
     * 24小时尿游离皮质醇
     * 地塞米松抑制试验
   - **炎症指标**：
     * C反应蛋白、IL-6、TNF-α
     * 白细胞介素比值：IL-10/TNF-α
   - **神经营养因子**：BDNF、NGF血清水平

**鉴别诊断**：
1. **器质性情绪障碍**：
   - 甲状腺功能异常：甲减、甲亢
   - 肾上腺疾病：Cushing综合征、Addison病
   - 脑器质性疾病：血管性痴呆、帕金森病

2. **药物诱发抑郁**：
   - β受体阻滞剂：普萘洛尔、美托洛尔
   - 干扰素治疗：HCV治疗相关抑郁
   - 类固醇：长期糖皮质激素使用

3. **糖尿病并发症相关**：
   - 低血糖反应：症状性低血糖后抑郁
   - 慢性并发症：肾病、神经病变导致的情绪问题
   - 急性并发症：DKA、HHS后的认知情绪变化","**综合治疗策略**：
1. **抗抑郁药物治疗**：
   - **SSRI类**（一线推荐）：
     * 舍曲林：50mg qd起始，最大200mg/d
       - 对血糖影响小，体重中性
       - 半衰期长，停药反应轻
     * 氟西汀：20mg qd，最大80mg/d
       - 可能轻度降低血糖
       - 体重下降或中性
     * 西酞普兰：20mg qd，最大40mg/d
       - 老年患者首选，副作用少

   - **SNRI类**：
     * 度洛西汀：30mg qd起始，最大120mg/d
       - 双重获益：抗抑郁+神经病理性疼痛
       - 可能轻度升高血糖，需监测
     * 文拉法辛：75mg qd起始，最大375mg/d
       - 对重度抑郁效果好
       - 可能影响血压，需监测

   - **非典型抗抑郁药**：
     * 米氮平：15mg睡前起始，最大45mg/d
       - 改善食欲和睡眠
       - 注意体重增加和血糖影响
     * 安非他酮：150mg bid起始
       - 不影响体重，可能有减重作用
       - 禁用于癫痫、进食障碍患者

2. **血糖管理优化**：
   - **个体化血糖目标**：
     * 伴抑郁症患者：HbA1c <8.0%较为现实
     * 避免严格控制导致低血糖加重抑郁
   - **优选降糖药物**：
     * GLP-1受体激动剂：可能有神经保护和抗抑郁作用
     * SGLT-2抑制剂：心血管保护，改善整体预后
     * 避免胰岛素强化：减少低血糖和体重增加

3. **心理治疗**：
   - **认知行为治疗(CBT)**：
     * 识别和改变负性认知模式
     * 问题解决技能训练
     * 行为激活：增加愉快活动
     * 12-16次个体或团体治疗

   - **正念认知疗法(MBCT)**：
     * 正念冥想技术
     * 接纳和承诺疗法元素
     * 预防抑郁复发
     * 改善血糖管理的心理因素

   - **人际关系治疗(IPT)**：
     * 改善人际关系质量
     * 增强社会支持
     * 处理角色转换（病人角色适应）

4. **生活方式干预**：
   - **运动治疗**：
     * 中等强度有氧运动：150分钟/周
     * 阻力训练：每周2-3次
     * 瑜伽、太极：改善情绪和血糖控制
   - **营养干预**：
     * 地中海饮食模式：抗炎、神经保护
     * Omega-3脂肪酸：EPA+DHA 1-2g/d
     * 维生素D补充：维持25(OH)D>30ng/ml
   - **睡眠卫生**：
     * 规律作息：固定睡眠-觉醒时间
     * 睡眠环境优化
     * 限制咖啡因、酒精

**联合治疗监测**：
1. **药物相互作用**：
   - 抗抑郁药与降糖药：监测血糖变化
   - CYP450酶系统：氟西汀抑制2D6，影响美托洛尔代谢
   - QTc间期：西酞普兰剂量相关QTc延长风险

2. **副作用管理**：
   - 性功能障碍：20-30%患者，考虑安非他酮
   - 体重变化：定期监测，调整治疗方案
   - 低血糖风险：抗抑郁药可能影响症状识别

**难治性病例处理**：
1. **药物增强策略**：
   - 锂盐增强：血锂维持0.6-1.0mEq/L
   - 抗精神病药物：奥氮平、阿立哌唑
   - 甲状腺激素：T3 25-50μg/d

2. **物理治疗**：
   - 重复经颅磁刺激(rTMS)：左侧DLPFC刺激
   - 电抽搐治疗(ECT)：严重抑郁伴自杀风险
   - 经颅直流电刺激：新兴治疗方法","**抑郁症状监测**：
1. **症状严重程度**：
   - **每2周**：PHQ-9快速评估
   - **每月**：Hamilton抑郁量表
