entity_id,entity_name,entity_name_en,category,subcategory,specialty_integration,evidence_level,guideline_source,clinical_application,cross_disciplinary_tags,pathophysiology,diagnostic_criteria,treatment_approach,monitoring_parameters,prognosis_factors,clinical_pearls
PSY001,糖尿病抑郁共病,Diabetes Depression Comorbidity,精神内分泌学,糖尿病心理并发症,精神科+内分泌科,A级,ADA/APA 2025,糖尿病心理健康筛查,diabetes;depression;comorbidity,高血糖和慢性病应激导致神经递质紊乱,糖尿病+PHQ-9>10分+持续2周以上,抗抑郁药物+心理治疗+血糖控制,PHQ-9评分；HbA1c；自我管理能力,社会支持和疾病认知,抑郁症使血糖控制恶化2-3倍
PSY002,甲状腺功能亢进焦虑症,Hyperthyroid Anxiety Disorder,精神内分泌学,甲状腺精神症状,精神科+内分泌科,A级,ATA/APA 2024,甲状腺毒症精神症状,hyperthyroid;anxiety;thyrotoxicosis,甲状腺激素过多激活交感神经系统,甲亢症状+GAD-7>10分+甲状腺功能异常,抗甲状腺药物+抗焦虑药物,甲状腺功能；焦虑评分,甲状腺功能控制速度,甲状腺功能纠正后焦虑症状通常缓解
PSY003,库欣综合征抑郁症,Cushing Syndrome Depression,精神内分泌学,肾上腺精神症状,精神科+内分泌科,A级,Endocrine Society/APA 2024,内分泌性精神障碍,cushing;depression;cortisol,皮质醇过多抑制5-羟色胺和多巴胺,库欣综合征+重度抑郁+24小时尿皮质醇升高,手术治疗+抗抑郁药物,皮质醇水平；抑郁评分；自杀风险,皮质醇控制效果,皮质醇正常化后抑郁可能持续数月
PSY004,经前期综合征,Premenstrual Syndrome,精神内分泌学,性激素相关精神症状,妇科+精神科,A级,ACOG/APA 2024,月经周期情绪管理,PMS;hormones;mood,雌孕激素波动影响神经递质,月经前情绪症状+月经后缓解+影响功能,SSRIs+激素调节+生活方式,症状严重程度；月经周期规律性,激素敏感性个体差异,SSRIs可间歇性使用
PSY005,更年期抑郁症,Menopausal Depression,精神内分泌学,绝经期精神症状,妇科+精神科,A级,NAMS/APA 2024,更年期心理健康,menopause;depression;estrogen,雌激素缺乏影响大脑神经递质,围绝经期+抑郁症状+雌激素水平下降,激素替代治疗+抗抑郁药物,雌激素水平；抑郁评分,既往抑郁史和社会支持,激素治疗对情绪有积极作用
PSY006,产后抑郁症,Postpartum Depression,精神内分泌学,产后精神障碍,产科+精神科,A级,ACOG/APA 2024,产后心理健康筛查,postpartum;depression;hormones,激素急剧变化和社会心理因素,产后2周内抑郁症状+EPDS>12分,抗抑郁药物+心理治疗+社会支持,EPDS评分；母婴关系；自杀风险,既往精神病史和社会支持,哺乳期用药需考虑安全性
PSY007,甲状腺功能减退抑郁症,Hypothyroid Depression,精神内分泌学,甲状腺精神症状,精神科+内分泌科,A级,ATA/APA 2024,甲减精神症状管理,hypothyroid;depression;thyroid,甲状腺激素不足影响大脑代谢,甲减症状+抑郁情绪+TSH>10mIU/L,左甲状腺素替代+抗抑郁药物,TSH；抑郁评分；认知功能,甲状腺功能恢复程度,甲状腺激素充足是抗抑郁治疗前提
PSY008,双相情感障碍内分泌异常,Bipolar Disorder Endocrine Abnormalities,精神内分泌学,精神病内分泌异常,精神科+内分泌科,B级,APA/Endocrine Society 2024,双相障碍内分泌监测,bipolar;endocrine;lithium,情绪稳定剂影响甲状腺和肾脏功能,双相情感障碍+甲状腺功能异常+锂盐治疗,甲状腺功能监测+药物调整,甲状腺功能；锂血浓度；肾功能,药物依从性和副作用,锂盐可导致甲状腺功能减退
PSY009,应激相关激素紊乱,Stress-related Hormone Disorders,精神内分泌学,应激反应异常,精神科+内分泌科,A级,APA/Endocrine Society 2024,慢性应激评估,stress;cortisol;HPA_axis,慢性应激激活HPA轴导致皮质醇异常,慢性应激症状+皮质醇节律紊乱,心理治疗+应激管理+皮质醇调节,皮质醇节律；压力评分,应激源类型和持续时间,慢性应激是多种疾病的危险因素
PSY010,进食障碍内分泌紊乱,Eating Disorder Endocrine Dysfunction,精神内分泌学,进食障碍,精神科+内分泌科,A级,APA/AACE 2024,进食障碍医学管理,eating_disorder;malnutrition;amenorrhea,营养不良导致下丘脑垂体轴抑制,进食障碍+闭经+低体重+多种激素异常,营养康复+激素补充+心理治疗,体重；月经；骨密度,营养状态和治疗动机,体重恢复是激素功能恢复关键
PSY011,精神分裂症代谢综合征,Schizophrenia Metabolic Syndrome,精神内分泌学,抗精神病药物副作用,精神科+内分泌科,A级,APA/ADA 2024,抗精神病药物代谢监测,schizophrenia;metabolic_syndrome;antipsychotics,抗精神病药物影响胰岛素敏感性,精神分裂症+抗精神病药物+代谢综合征,药物调整+二甲双胍+生活方式,体重；血糖；血脂,药物类型和使用时间,非典型抗精神病药物代谢风险更高
PSY012,季节性情感障碍,Seasonal Affective Disorder,精神内分泌学,光照相关情绪障碍,精神科+内分泌科,A级,APA 2024,季节性抑郁治疗,SAD;light_therapy;melatonin,光照不足影响褪黑素和5-羟色胺,冬季抑郁+光照治疗有效+褪黑素节律异常,光照治疗+抗抑郁药物,抑郁评分；褪黑素水平；光照时间,地理位置和个体敏感性,光照治疗是一线治疗
PSY013,创伤后应激障碍内分泌异常,PTSD Endocrine Dysfunction,精神内分泌学,创伤相关疾病,精神科+内分泌科,A级,APA/VA 2024,创伤后应激评估,PTSD;cortisol;trauma,创伤导致HPA轴功能异常,PTSD诊断+皮质醇水平异常+创伤史,心理治疗+药物治疗+应激管理,皮质醇；PTSD症状评分,创伤类型和治疗时机,PTSD患者皮质醇水平可能降低
PSY014,强迫症内分泌因素,OCD Endocrine Factors,精神内分泌学,强迫症相关内分泌,精神科+内分泌科,B级,APA 2024,强迫症生物学因素,OCD;serotonin;hormones,5-羟色胺系统异常和激素影响,强迫症+激素水平异常+家族史,SSRIs+激素调节,Y-BOCS评分；5-羟色胺功能,疾病严重程度和共病,女性激素波动可影响OCD症状
PSY015,注意缺陷多动障碍内分泌异常,ADHD Endocrine Abnormalities,精神内分泌学,神经发育障碍,精神科+内分泌科+儿科,B级,AAP/AACAP 2024,ADHD生物学评估,ADHD;dopamine;neurodevelopment,多巴胺和去甲肾上腺素系统异常,ADHD诊断+神经递质功能异常,兴奋剂+行为治疗,ADHD症状评分；生长发育,药物对生长的影响,兴奋剂可能影响生长激素分泌
PSY016,老年期抑郁症内分泌因素,Geriatric Depression Endocrine Factors,精神内分泌学,老年精神疾病,精神科+内分泌科+老年科,A级,APA/AGS 2024,老年抑郁症管理,geriatric;depression;aging,衰老相关激素变化影响情绪,老年抑郁症+多种激素水平下降,抗抑郁药物+激素补充+综合治疗,抑郁评分；认知功能；激素水平,共病情况和药物相互作用,老年人药物选择需考虑副作用
PSY017,睡眠障碍内分泌紊乱,Sleep Disorders Endocrine Dysfunction,精神内分泌学,睡眠内分泌,精神科+内分泌科+睡眠科,A级,AASM/Endocrine Society 2024,睡眠内分泌评估,sleep;circadian;melatonin,昼夜节律紊乱影响激素分泌,睡眠障碍+褪黑素节律异常+生长激素缺乏,睡眠卫生+褪黑素+光照治疗,睡眠质量；褪黑素水平；皮质醇节律,睡眠障碍类型和严重程度,夜班工作者需特别关注
PSY018,物质使用障碍内分泌影响,Substance Use Disorder Endocrine Effects,精神内分泌学,成瘾相关内分泌,精神科+内分泌科,A级,APA/ASAM 2024,成瘾内分泌评估,addiction;dopamine;reward,成瘾物质影响奖赏系统和激素分泌,物质使用障碍+多巴胺功能异常+激素紊乱,戒断治疗+激素调节+心理治疗,戒断症状；激素水平；复发风险,物质类型和使用时间,戒断期激素功能可能需要时间恢复
PSY019,自闭症谱系障碍内分泌异常,Autism Spectrum Disorder Endocrine Abnormalities,精神内分泌学,神经发育障碍,精神科+内分泌科+儿科,B级,AAP 2024,自闭症生物学评估,autism;oxytocin;neurodevelopment,催产素和其他激素系统异常,自闭症诊断+社交障碍+催产素水平异常,行为治疗+激素调节研究,社交能力评估；激素水平,疾病严重程度和智力水平,催产素治疗仍在研究阶段
PSY020,人格障碍内分泌因素,Personality Disorders Endocrine Factors,精神内分泌学,人格障碍,精神科+内分泌科,B级,APA 2024,人格障碍生物学因素,personality_disorder;impulsivity;serotonin,5-羟色胺和其他神经递质系统异常,人格障碍诊断+冲动行为+神经递质异常,心理治疗+药物治疗,人格障碍症状；冲动评分,治疗依从性和社会支持,边缘型人格障碍与5-羟色胺功能关系密切
