section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,source_file
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,risk_factors.potentially_modifiable.hormonal_factors,早绝经（<45岁）; 晚初潮（>15岁）; 性腺功能减退; 不孕或少孕,BONE_001.csv
NUTRI_003,NUTRI_003,维生素D缺乏症,,营养代谢疾病,营养代谢疾病,risk_factors.physiological,老年; 妊娠哺乳期; 深色皮肤,NUTRI_003.csv
REPRO_001,REPRO_001,多囊卵巢综合征,,生殖内分泌疾病,生殖内分泌疾病,clinical_features.reproductive_manifestations.infertility.prevalence,75%的PCOS患者存在不孕,REPRO_001.csv
REPRO_001,REPRO_001,多囊卵巢综合征,,生殖内分泌疾病,生殖内分泌疾病,clinical_features.reproductive_manifestations.infertility.pregnancy_complications,流产率增加; 妊娠期糖尿病; 子痫前期,REPRO_001.csv
REPRO_001,REPRO_001,多囊卵巢综合征,,生殖内分泌疾病,生殖内分泌疾病,treatment_approach.pharmacological_treatment.hormonal_therapy.combined_ocs.selection,含抗雄激素作用的孕激素,REPRO_001.csv
REPRO_003,REPRO_003,卵巢早衰,,生殖内分泌疾病,生殖内分泌疾病,diagnostic_criteria.clinical_definition.exclusion,排除妊娠和其他闭经原因,REPRO_003.csv
REPRO_003,REPRO_003,卵巢早衰,,生殖内分泌疾病,生殖内分泌疾病,management_approach.fertility_preservation.spontaneous_pregnancy,10%患者可能自然受孕,REPRO_003.csv
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,clinical_manifestations.additional_endocrine_features.gonadal_dysfunction.manifestations,原发性性腺功能减退; 青春期发育延迟; 不孕不育; 闭经,RHEUM_007.csv
RHEUM_007,RHEUM_007,多腺体自身免疫综合征I型 (APS-1),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,treatment.hormone_replacement.gonadal.estrogen_progesterone,女性雌孕激素替代,RHEUM_007.csv
RHEUM_008,RHEUM_008,多腺体自身免疫综合征II型 (APS-2),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,clinical_manifestations.associated_conditions.primary_hypogonadism.manifestations,闭经，不孕; 性欲减退; 骨质疏松; 潮热,RHEUM_008.csv
RHEUM_008,RHEUM_008,多腺体自身免疫综合征II型 (APS-2),,自身免疫性多腺体疾病,自身免疫性多腺体疾病,treatment.hormone_replacement_therapy.gonadal_replacement.female.progestin,孕激素周期治疗,RHEUM_008.csv
RHEUM_009,RHEUM_009,痛风,,晶体性关节病,晶体性关节病,treatment.special_situations.pregnancy,避免大多数降尿酸药物,RHEUM_009.csv
cardiovascular_diseases,CVD_004,心房颤动,,Disease,心血管疾病,treatment.long_term_management.anticoagulation.contraindications,活动性出血; 严重肝功能不全; 妊娠,cardiovascular_diseases.csv
cerebrovascular_diseases,NEURO_003,急性炎症性脱髓鞘性多发性神经病变,,Disease,神经病变,etiology.other_triggers,疫苗接种; 手术; 外伤; 妊娠; 恶性肿瘤,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_001,1型糖尿病,,Disease,自身免疫性内分泌疾病,prognosis.pregnancy_outcomes,孕前血糖控制良好可获得正常妊娠结局,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_002,桥本甲状腺炎,,Disease,自身免疫性内分泌疾病,treatment.hormone_replacement.indications,显性甲减（TSH>10 mIU/L）; 亚临床甲减伴症状; 妊娠期亚临床甲减; 甲状腺肿大明显,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_002,桥本甲状腺炎,,Disease,自身免疫性内分泌疾病,treatment.hormone_replacement.levothyroxine.pregnancy_dose,孕期需要量增加25-50%,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_002,桥本甲状腺炎,,Disease,自身免疫性内分泌疾病,treatment.hormone_replacement.treatment_targets.pregnancy,孕早期TSH<2.5 mIU/L,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_002,桥本甲状腺炎,,Disease,自身免疫性内分泌疾病,treatment.monitoring.frequency.pregnancy,每4-6周监测,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_002,桥本甲状腺炎,,Disease,自身免疫性内分泌疾病,treatment.special_considerations.pregnancy.preconception,TSH优化至<2.5 mIU/L,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_002,桥本甲状腺炎,,Disease,自身免疫性内分泌疾病,treatment.special_considerations.pregnancy.monitoring,每4-6周检测TSH,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_002,桥本甲状腺炎,,Disease,自身免疫性内分泌疾病,treatment.special_considerations.pregnancy.dose_adjustment,及时调整L-T4剂量,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_002,桥本甲状腺炎,,Disease,自身免疫性内分泌疾病,complications.reproductive,月经异常; 不孕症; 妊娠不良结局,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_003,艾迪生病,,Disease,自身免疫性内分泌疾病,prognosis.pregnancy,需要专科管理，预后良好,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_004,系统性红斑狼疮,,Disease,系统性风湿病,clinical_manifestations.endocrine_associations.reproductive_dysfunction,月经异常; 性腺功能减退; 不孕症,cerebrovascular_diseases.csv
cerebrovascular_diseases,RHEUM_004,系统性红斑狼疮,,Disease,系统性风湿病,treatment.supportive_care.reproductive_health,避孕咨询，妊娠管理,cerebrovascular_diseases.csv
comorbidity_patterns,PATTERN_004,PCOS-代谢综合征复合体,,,,management_strategy.reproductive_management,来曲唑促排卵(生育需求); 复合口服避孕药(无生育需求); 螺内酯抗雄激素治疗,comorbidity_patterns.csv
entities.adrenal_entities,ADR_005,肾上腺偶发瘤,,disease,肾上腺疾病,hormonal_evaluation.conditional_test,醛固酮/肾素比值(高血压或低钾); DHEA-S(女性男性化); 17-羟孕酮(年轻患者),entities_adrenal_entities.csv
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,risk_factors.modifiable,血糖控制不佳; 高血压; 血脂异常; 吸烟; 妊娠,entities_diabetes_complications.csv
entities.diabetes_complications,DM_COMP_001,糖尿病性视网膜病变,,complication,糖尿病微血管并发症,screening_guidelines.pregnancy,妊娠前和每个三个月筛查,entities_diabetes_complications.csv
entities.diabetes_entities,DM_001,2型糖尿病,,disease,代谢性疾病,diagnosis.diagnostic_criteria.hba1c.limitations,某些血红蛋白病; 肾病晚期; 妊娠期不适用,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,name_en,Gestational Diabetes Mellitus,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,icd10,O24.4,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,description,妊娠期间首次发现或发病的糖耐量异常,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,epidemiology.global_prevalence,1-14%（因诊断标准而异）,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,epidemiology.china_prevalence,17.5%（2019年全国调查）,entities_diabetes_entities.csv
