section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
system_architecture,knowledge_layer,knowledge layer,,,,disease_ontology.diabetes_module,基于现有糖尿病知识图谱扩展
system_architecture,knowledge_layer,knowledge layer,,,,disease_ontology.thyroid_module,甲状腺疾病完整诊疗体系
system_architecture,knowledge_layer,knowledge layer,,,,disease_ontology.adrenal_module,肾上腺疾病系统化管理
system_architecture,knowledge_layer,knowledge layer,,,,disease_ontology.pituitary_module,垂体疾病精准诊疗
system_architecture,knowledge_layer,knowledge layer,,,,disease_ontology.hypertension_module,高血压综合防治
system_architecture,knowledge_layer,knowledge layer,,,,disease_ontology.dyslipidemia_module,血脂异常规范管理
system_architecture,knowledge_layer,knowledge layer,,,,disease_ontology.comorbidity_patterns,疾病共病模式建模
system_architecture,knowledge_layer,knowledge layer,,,,clinical_evidence.guideline_integration,权威指南系统整合
system_architecture,knowledge_layer,knowledge layer,,,,clinical_evidence.evidence_grading,循证医学证据分级
system_architecture,knowledge_layer,knowledge layer,,,,clinical_evidence.recommendation_strength,推荐强度量化
system_architecture,knowledge_layer,knowledge layer,,,,clinical_evidence.literature_updates,最新文献动态更新
system_architecture,knowledge_layer,knowledge layer,,,,treatment_protocols.medication_database,药物信息完整数据库
system_architecture,knowledge_layer,knowledge layer,,,,treatment_protocols.dosing_algorithms,个体化剂量调整算法
system_architecture,knowledge_layer,knowledge layer,,,,treatment_protocols.monitoring_schedules,监测时间表智能制定
system_architecture,knowledge_layer,knowledge layer,,,,treatment_protocols.safety_profiles,药物安全性档案
system_architecture,reasoning_layer,reasoning layer,,,,diagnostic_engine.multi_disease_diagnosis,多疾病鉴别诊断引擎
system_architecture,reasoning_layer,reasoning layer,,,,diagnostic_engine.symptom_clustering,症状聚类分析
system_architecture,reasoning_layer,reasoning layer,,,,diagnostic_engine.lab_interpretation,实验室检查智能解读
system_architecture,reasoning_layer,reasoning layer,,,,diagnostic_engine.imaging_analysis,影像学结果分析支持
system_architecture,reasoning_layer,reasoning layer,,,,treatment_engine.personalized_therapy,个体化治疗方案推荐
system_architecture,reasoning_layer,reasoning layer,,,,treatment_engine.drug_interaction_check,药物相互作用检查
system_architecture,reasoning_layer,reasoning layer,,,,treatment_engine.contraindication_screening,禁忌症智能筛查
system_architecture,reasoning_layer,reasoning layer,,,,treatment_engine.monitoring_optimization,监测策略优化
system_architecture,reasoning_layer,reasoning layer,,,,comorbidity_engine.risk_stratification,共病风险分层
system_architecture,reasoning_layer,reasoning layer,,,,comorbidity_engine.treatment_prioritization,治疗优先级排序
system_architecture,reasoning_layer,reasoning layer,,,,comorbidity_engine.outcome_prediction,预后预测建模
system_architecture,reasoning_layer,reasoning layer,,,,comorbidity_engine.care_coordination,多学科协作支持
system_architecture,integration_layer,integration layer,,,,llm_interface.rag_system,检索增强生成系统
system_architecture,integration_layer,integration layer,,,,llm_interface.query_understanding,自然语言查询理解
system_architecture,integration_layer,integration layer,,,,llm_interface.context_enrichment,上下文信息增强
system_architecture,integration_layer,integration layer,,,,llm_interface.response_generation,智能回答生成
system_architecture,integration_layer,integration layer,,,,structured_extraction.entity_recognition,医学实体识别
system_architecture,integration_layer,integration layer,,,,structured_extraction.relation_extraction,关系抽取
system_architecture,integration_layer,integration layer,,,,structured_extraction.clinical_note_parsing,临床记录解析
system_architecture,integration_layer,integration layer,,,,structured_extraction.data_standardization,数据标准化处理
system_architecture,integration_layer,integration layer,,,,research_support.cohort_identification,队列识别支持
system_architecture,integration_layer,integration layer,,,,research_support.outcome_tracking,结局追踪
system_architecture,integration_layer,integration layer,,,,research_support.statistical_analysis,统计分析辅助
system_architecture,integration_layer,integration layer,,,,research_support.hypothesis_generation,假设生成建议
