时间,值
2025-09-23 20:50:00,8.9
2025-09-23 21:05:00,9.4
2025-09-23 21:20:00,9.4
2025-09-23 21:35:00,9.1
2025-09-23 21:50:00,8.9
2025-09-23 22:05:00,8.8
2025-09-23 22:20:00,7.8
2025-09-23 22:35:00,7.4
2025-09-23 22:50:00,7.2
2025-09-23 23:05:00,7.3
2025-09-23 23:20:00,7.3
2025-09-23 23:35:00,7.1
2025-09-23 23:50:00,7.6
2025-09-24 00:05:00,8.0
2025-09-24 00:20:00,8.1
2025-09-24 00:35:00,8.1
2025-09-24 00:50:00,7.9
2025-09-24 01:05:00,7.4
2025-09-24 01:20:00,6.7
2025-09-24 01:35:00,7.1
2025-09-24 01:50:00,7.3
2025-09-24 02:05:00,7.4
2025-09-24 02:20:00,7.3
2025-09-24 02:35:00,6.5
2025-09-24 02:50:00,6.4
2025-09-24 03:05:00,6.7
2025-09-24 03:20:00,7.1
2025-09-24 03:35:00,7.1
2025-09-24 03:50:00,5.8
2025-09-24 04:05:00,5.8
2025-09-24 04:20:00,7.3
2025-09-24 04:35:00,7.0
2025-09-24 04:50:00,6.1
2025-09-24 05:05:00,5.3
2025-09-24 05:20:00,5.2
2025-09-24 05:35:00,6.3
2025-09-24 05:50:00,7.2
2025-09-24 06:05:00,7.7
2025-09-24 06:20:00,5.6
2025-09-24 06:35:00,2.7
2025-09-24 06:50:00,5.7
2025-09-24 07:05:00,7.1
2025-09-24 07:20:00,6.4
2025-09-24 08:20:00,6.1
2025-09-24 08:35:00,6.4
2025-09-24 08:50:00,5.2
2025-09-24 09:05:00,5.3
2025-09-24 09:50:00,6.0
2025-09-24 10:05:00,6.3
2025-09-24 10:20:00,5.9
2025-09-24 10:35:00,7.3
2025-09-24 10:50:00,8.3
2025-09-24 11:05:00,8.5
2025-09-24 11:20:00,7.8
2025-09-24 11:35:00,7.4
2025-09-24 11:50:00,6.3
2025-09-24 12:05:00,5.3
2025-09-24 12:20:00,5.6
2025-09-24 12:35:00,7.9
