表名,字段名,数据类型,必填,中文说明,交互设计,验证规则,选项值,关联关系,备注
pancreatic_cancer_glycemic_brittleness_factors,patient_id,VARCHAR_32,是,患者唯一ID,外键关联,外键约束,,patient_basic_info,关联患者基本信息表
pancreatic_cancer_glycemic_brittleness_factors,assessment_date,DATE,是,评估日期,日期选择器,必填,,,
pancreatic_cancer_glycemic_brittleness_factors,assessor_name,VARCHAR_50,是,评估人姓名,输入框,必填,,,

pancreatic_cancer_glycemic_brittleness_factors,diabetes_type_detailed,TINYINT,否,糖尿病类型细分,下拉选择,,1:1型;2:2型;3:特殊类型;4:妊娠期,,
pancreatic_cancer_glycemic_brittleness_factors,diabetes_duration_years,INT,否,糖尿病病程,数字输入,>=0,年,,默认单位:年
pancreatic_cancer_glycemic_brittleness_factors,diabetes_treatment_preop,JSON,否,术前糖尿病治疗方案,多选框,,口服药;胰岛素;胰岛素泵,,
pancreatic_cancer_glycemic_brittleness_factors,insulin_dose_preop,DECIMAL_5_2,否,术前胰岛素日总剂量,数字输入,>=0,U,,默认单位:U
pancreatic_cancer_glycemic_brittleness_factors,severe_hypo_events_12m_count,INT,否,过去12个月严重低血糖次数,数字输入,>=0,,,需外部协助且血糖<3.0 mmol/L的事件次数
pancreatic_cancer_glycemic_brittleness_factors,severe_hypo_last_event_date,DATE,否,最近一次严重低血糖日期,日期选择器,,,,无事件可留空
pancreatic_cancer_glycemic_brittleness_factors,severe_hypo_requires_assistance,TINYINT,否,严重低血糖时是否需他人协助,单选按钮,,0:无需外部协助;1:家属协助;2:医护介入,,【可自动化】根据血糖值(<3.0为严重)、意识状态、干预措施类型自动判断
pancreatic_cancer_glycemic_brittleness_factors,severe_hypo_awareness_score,TINYINT,否,低血糖自我感知评分（Gold 1-7）,数字输入,1-7,,,【可自动化】基于CGM检测vs患者自主检测低血糖次数比率估算。1为完全察觉，7为完全无感
pancreatic_cancer_glycemic_brittleness_factors,dka_events_12m_count,INT,否,过去12个月DKA发生次数,数字输入,>=0,,,
pancreatic_cancer_glycemic_brittleness_factors,hhs_events_12m_count,INT,否,过去12个月HHS发生次数,数字输入,>=0,,,
pancreatic_cancer_glycemic_brittleness_factors,acidotic_event_lowest_ph,DECIMAL_3_2,否,最近一次酸中毒最低动脉血pH,数字输入,0-7.5,,,若未发生可留空
pancreatic_cancer_glycemic_brittleness_factors,acidotic_event_last_date,DATE,否,最近一次DKA/HHS发生日期,日期选择器,,,,若无事件可留空
pancreatic_cancer_glycemic_brittleness_factors,other_endocrine_diseases,TEXT,否,其他内分泌疾病,文本域,,,,
pancreatic_cancer_glycemic_brittleness_factors,autoimmune_diseases,TEXT,否,自身免疫性疾病,文本域,,,,
pancreatic_cancer_glycemic_brittleness_factors,chronic_infection_history,TEXT,否,慢性感染史,文本域,,,,
pancreatic_cancer_glycemic_brittleness_factors,concomitant_medications,TEXT,否,合并用药(影响血糖),文本域,,,,
pancreatic_cancer_glycemic_brittleness_factors,phq9_score,TINYINT,否,PHQ-9评分,数字输入,0-27,,,
pancreatic_cancer_glycemic_brittleness_factors,gad7_score,TINYINT,否,GAD-7评分,数字输入,0-21,,,
pancreatic_cancer_glycemic_brittleness_factors,caregiver_primary_relationship,TINYINT,否,主要照护者关系,下拉选择,,1:配偶;2:子女;3:父母;4:专业护工;5:其他;6:无固定照护者,,
pancreatic_cancer_glycemic_brittleness_factors,caregiver_lives_with_patient,TINYINT,否,主要照护者是否同住,单选按钮,,0:否;1:是,,
pancreatic_cancer_glycemic_brittleness_factors,caregiver_daily_support_hours,DECIMAL_4_1,否,平均每日面对面支持时长,数字输入,>=0,小时,,记录实际陪护时间
pancreatic_cancer_glycemic_brittleness_factors,family_support_responsiveness_score,TINYINT,否,家庭应对与响应评分,单选按钮,,1:高;2:中;3:低,,【可自动化】基于照护者关系、同住情况、每日支持时长、历史紧急响应时间自动计算。综合评估情感及紧急响应能力
pancreatic_cancer_glycemic_brittleness_factors,smoking_status_detailed,TINYINT,否,吸烟状态,单选按钮,,1:从不;2:已戒;3:偶尔;4:经常,,
pancreatic_cancer_glycemic_brittleness_factors,drinking_status_detailed,TINYINT,否,饮酒状态,单选按钮,,1:从不;2:已戒;3:偶尔;4:经常,,
pancreatic_cancer_glycemic_brittleness_factors,ipaq_score,DECIMAL_5_2,否,IPAQ体力活动总分,数字输入,>=0,MET-min/week,,默认单位:MET-min/week

pancreatic_cancer_glycemic_brittleness_factors,tumor_type_detailed,VARCHAR_50,否,肿瘤类型细分,下拉选择,,胰腺导管腺癌;神经内分泌肿瘤;囊性肿瘤;其他,,
pancreatic_cancer_glycemic_brittleness_factors,tumor_T_stage,TINYINT,否,肿瘤T分期,下拉选择,,0:Tis;1:T1;2:T2;3:T3;4:T4,,
pancreatic_cancer_glycemic_brittleness_factors,tumor_N_stage,TINYINT,否,肿瘤N分期,下拉选择,,0:N0;1:N1;2:N2,,
pancreatic_cancer_glycemic_brittleness_factors,tumor_M_stage,TINYINT,否,肿瘤M分期,下拉选择,,0:M0;1:M1,,
pancreatic_cancer_glycemic_brittleness_factors,tumor_ajcc_stage,TINYINT,否,AJCC总体分期,下拉选择,,1:Stage I;2:Stage II;3:Stage III;4:Stage IV,,
pancreatic_cancer_glycemic_brittleness_factors,ctdna_level,DECIMAL_5_2,否,循环肿瘤DNA,数字输入,>=0,ng/mL,,默认单位:ng/mL
pancreatic_cancer_glycemic_brittleness_factors,tumor_location_segment,TINYINT,否,肿瘤部位,下拉选择,,1:头部/钩突;2:颈部;3:体部;4:尾部;5:弥漫,,
pancreatic_cancer_glycemic_brittleness_factors,arterial_invasion_grade,TINYINT,否,主要动脉侵犯程度,下拉选择,,0:无;1:接触<180°;2:包绕≥180°;3:闭塞/重建,,【可自动化】基于CT影像学测量的接触角度、血管闭塞/重建情况自动分级。评估SMA、CA等
pancreatic_cancer_glycemic_brittleness_factors,venous_invasion_grade,TINYINT,否,门静脉/肠系膜静脉侵犯程度,下拉选择,,0:无;1:轻度压迫;2:包绕或血栓;3:需血管重建,,【可自动化】基于影像学压迫程度、血管包绕、血栓、重建记录自动分级
pancreatic_cancer_glycemic_brittleness_factors,perineural_invasion_status,TINYINT,否,神经周围侵犯,单选按钮,,0:无;1:有,,
pancreatic_cancer_glycemic_brittleness_factors,adjacent_organ_involvement,JSON,否,邻近脏器受累,多选框,,十二指肠;胆总管;胃;横结肠;脾门;其他,,可多选，其他需备注

pancreatic_cancer_glycemic_brittleness_factors,prealbumin,DECIMAL_5_2,否,血清前白蛋白,数字输入,>=0,g/L;mg/dL,,默认单位:g/L。换算: 1 mg/dL = 0.01 g/L
pancreatic_cancer_glycemic_brittleness_factors,transferrin,DECIMAL_5_2,否,转铁蛋白,数字输入,>=0,g/L;mg/dL,,默认单位:g/L。换算: 1 mg/dL = 0.01 g/L
pancreatic_cancer_glycemic_brittleness_factors,total_lymphocyte_count,DECIMAL_5_2,否,总淋巴细胞计数,数字输入,>=0,10^9/L;K/uL,,默认单位:10^9/L
pancreatic_cancer_glycemic_brittleness_factors,sga_score,TINYINT,否,SGA评分,数字输入,0-3,,,【可自动化】基于BMI、血清白蛋白、6个月体重变化、握力自动计算。0=无风险,3=重度营养不良
pancreatic_cancer_glycemic_brittleness_factors,nrs2002_score,TINYINT,否,NRS 2002评分,数字输入,0-7,,,【可自动化】严格按NRS2002标准,基于BMI、体重变化、食物摄入%、疾病严重程度、年龄自动计算。≥3分有营养风险
pancreatic_cancer_glycemic_brittleness_factors,handgrip_strength,DECIMAL_5_2,否,握力,数字输入,>=0,kg;lb,,默认单位:kg。换算: 1 kg = 2.20462 lb
pancreatic_cancer_glycemic_brittleness_factors,fecal_elastase1,INT,否,粪便弹性蛋白酶-1,数字输入,>=0,ug/g,,默认单位:ug/g
pancreatic_cancer_glycemic_brittleness_factors,fat_excretion_72h,DECIMAL_5_2,否,72小时粪脂排泄量,数字输入,>=0,g/d,,默认单位:g/d
pancreatic_cancer_glycemic_brittleness_factors,hs_crp,DECIMAL_5_2,否,超敏C反应蛋白,数字输入,>=0,mg/L,,默认单位:mg/L
pancreatic_cancer_glycemic_brittleness_factors,il6,DECIMAL_5_2,否,IL-6,数字输入,>=0,pg/mL,,默认单位:pg/mL
pancreatic_cancer_glycemic_brittleness_factors,tnfa,DECIMAL_5_2,否,TNF-α,数字输入,>=0,pg/mL,,默认单位:pg/mL
pancreatic_cancer_glycemic_brittleness_factors,pancreas_volume_ct_mri,DECIMAL_5_2,否,胰腺体积,数字输入,>=0,cm3,,默认单位:cm3
pancreatic_cancer_glycemic_brittleness_factors,pancreas_parenchyma_hu,INT,否,胰腺实质HU值,数字输入,,HU,,默认单位:HU
pancreatic_cancer_glycemic_brittleness_factors,pancreatic_duct_diameter,DECIMAL_4_1,否,胰管直径,数字输入,>=0,mm;cm,,默认单位:mm。换算: 1 cm = 10 mm
pancreatic_cancer_glycemic_brittleness_factors,tumor_pancreas_ratio,DECIMAL_4_2,否,肿瘤与胰腺体积比,数字输入,0-1,,,

pancreatic_cancer_glycemic_brittleness_factors,ogtt_ivggt_results,JSON,否,OGTT/IVGTT结果,文本域,,,,复杂数据，用JSON存储
pancreatic_cancer_glycemic_brittleness_factors,proinsulin_level,DECIMAL_5_2,否,胰岛素原,数字输入,>=0,pmol/L;ng/mL,,默认单位:pmol/L。换算: 1 ng/mL = 333 pmol/L
pancreatic_cancer_glycemic_brittleness_factors,insulin_secretion_index,DECIMAL_5_2,否,胰岛素分泌指数,数字输入,>=0,,,
pancreatic_cancer_glycemic_brittleness_factors,glucagon_level,DECIMAL_5_2,否,胰高血糖素水平,数字输入,>=0,pg/mL;pmol/L,,默认单位:pg/mL。换算: 1 pmol/L = 3.48 pg/mL
pancreatic_cancer_glycemic_brittleness_factors,amylase_level,DECIMAL_5_2,否,胰淀粉酶,数字输入,>=0,U/L,,默认单位:U/L
