ICD-10代码,速记码,拼音码,中文名称,英文名称,分类,描述,严重程度
K21.9,GERD,WSFLLXJBY,胃食管反流病,GERD,消化系统疾病,胃食管反流病,中等
K21.0,GERD-ESOPH,FSXWSFLLXJBY,反流性食管炎,GERD with esophagitis,消化系统疾病,反流性食管炎,中等
K22.10,BARRETT,BTSG,Barrett食管,Barrett esophagus,消化系统疾病,Barrett食管无发育不良,中等
K22.70,ESOPH-ULCER,SGKY,食管溃疡,Esophageal ulcer,消化系统疾病,食管溃疡,严重
K22.2,ESOPH-OBSTR,SGGZ,食管梗阻,Esophageal obstruction,消化系统疾病,食管梗阻,严重
K22.3,ESOPH-PERF,SGCZ,食管穿孔,Esophageal perforation,消化系统疾病,食管穿孔,危重
K22.6,MALLORY-WEISS,MWZHZ,Mallory-Weiss综合征,Mallory-Weiss syndrome,消化系统疾病,贲门黏膜撕裂综合征,严重
K25.9,PU-GASTRIC,WKY,胃溃疡,Gastric ulcer,消化系统疾病,胃溃疡,中等
K25.0,PU-GASTRIC-PERF,WKYCZ,胃溃疡穿孔,Gastric ulcer with perforation,消化系统疾病,胃溃疡急性穿孔,危重
K25.4,PU-GASTRIC-BLEED,WKYCX,胃溃疡出血,Gastric ulcer with hemorrhage,消化系统疾病,胃溃疡伴出血,严重
K26.9,PU-DUODENAL,SEZCKYKYWC,十二指肠溃疡,Duodenal ulcer,消化系统疾病,十二指肠溃疡,中等
K26.0,PU-DUODENAL-PERF,SEZCKYCZY,十二指肠溃疡穿孔,Duodenal ulcer with perforation,消化系统疾病,十二指肠溃疡急性穿孔,危重
K26.4,PU-DUODENAL-BLEED,SEZCKYCX,十二指肠溃疡出血,Duodenal ulcer with hemorrhage,消化系统疾病,十二指肠溃疡伴出血,严重
K27.9,PEPTIC-ULCER,XXKYWBMWTZ,消化性溃疡部位未特指,Peptic ulcer site unspecified,消化系统疾病,消化性溃疡,中等
K29.70,GASTRITIS,WY,胃炎,Gastritis,消化系统疾病,胃炎未特指,轻度
K29.00,GASTRITIS-ACUTE,JXWY,急性胃炎,Acute gastritis,消化系统疾病,急性胃炎,中等
K29.20,ALCOHOLIC-GASTRITIS,JJXWY,酒精性胃炎,Alcoholic gastritis,消化系统疾病,酒精性胃炎,中等
K29.30,SUPERFICIAL-GASTRITIS,QBXWY,浅表性胃炎,Chronic superficial gastritis,消化系统疾病,慢性浅表性胃炎,轻度
K29.40,ATROPHIC-GASTRITIS,WSXWY,萎缩性胃炎,Chronic atrophic gastritis,消化系统疾病,慢性萎缩性胃炎,中等
K29.50,GASTRITIS-CHRONIC,MXWY,慢性胃炎,Chronic gastritis,消化系统疾病,慢性胃炎未特指,中等
K29.60,GASTRITIS-HP,MNLJGJWY,幽门螺杆菌胃炎,Gastritis with H pylori,消化系统疾病,幽门螺杆菌相关胃炎,中等
K29.90,GASTRODUODENITIS,WSEZCXY,胃十二指肠炎,Gastroduodenitis,消化系统疾病,胃十二指肠炎,中等
K31.84,GASTROPARESIS,WTH,胃轻瘫,Gastroparesis,消化系统疾病,胃轻瘫,中等
K31.89,GASTRIC-POLYP,WXR,胃息肉,Gastric polyp,消化系统疾病,胃息肉,轻度
K92.2,GI-BLEED,XHDCX,消化道出血,GI hemorrhage,消化系统疾病,胃肠出血,严重
