ICD-10代码,速记码,拼音码,中文名称,英文名称,分类,描述,严重程度
E10,T1DM,1XTNB,1型糖尿病,Type 1 diabetes mellitus,主要诊断,胰岛素依赖性糖尿病,严重
E10.0,T1DM-COMA,1XTNBBHM,1型糖尿病伴昏迷,Type 1 diabetes mellitus with coma,并发症,1型糖尿病伴发昏迷状态,危重
E10.1,T1DM-KA,1XTNBBTZSSZD,1型糖尿病伴酮症酸中毒,Type 1 diabetes mellitus with ketoacidosis,并发症,1型糖尿病伴发酮症酸中毒,危重
E10.2,T1DM-KIDNEY,1XTNBBSZBJZ,1型糖尿病伴肾脏并发症,Type 1 diabetes mellitus with kidney complications,并发症,1型糖尿病性肾病,严重
E10.3,T1DM-EYE,1XTNBBYBBJZ,1型糖尿病伴眼部并发症,Type 1 diabetes mellitus with ophthalmic complications,并发症,1型糖尿病性视网膜病变,严重
E10.4,T1DM-NEURO,1XTNBBSJXTBJZ,1型糖尿病伴神经系统并发症,Type 1 diabetes mellitus with neurological complications,并发症,1型糖尿病性神经病变,严重
E10.5,T1DM-CIRCU,1XTNBBXHXTBJZ,1型糖尿病伴循环系统并发症,Type 1 diabetes mellitus with circulatory complications,并发症,1型糖尿病性血管病变,严重
E10.6,T1DM-OTHER,1XTNBBQTTZBFJZ,1型糖尿病伴其他特指并发症,Type 1 diabetes mellitus with other specified complications,并发症,1型糖尿病伴其他并发症,中等
E10.7,T1DM-MULTI,1XTNBBDFXBJZ,1型糖尿病伴多发性并发症,Type 1 diabetes mellitus with multiple complications,并发症,1型糖尿病伴多种并发症,严重
E10.8,T1DM-UNSP,1XTNBBWTZBJZ,1型糖尿病伴未特指并发症,Type 1 diabetes mellitus with unspecified complications,并发症,1型糖尿病伴未明确并发症,中等
E10.9,T1DM-SIMPLE,1XTNBBBJZ,1型糖尿病不伴并发症,Type 1 diabetes mellitus without complications,主要诊断,无并发症的1型糖尿病,中等
E11,T2DM,2XTNB,2型糖尿病,Type 2 diabetes mellitus,主要诊断,非胰岛素依赖性糖尿病,中等
E11.0,T2DM-COMA,2XTNBBHM,2型糖尿病伴昏迷,Type 2 diabetes mellitus with coma,并发症,2型糖尿病伴发昏迷状态,危重
E11.1,T2DM-KA,2XTNBBTZSSZD,2型糖尿病伴酮症酸中毒,Type 2 diabetes mellitus with ketoacidosis,并发症,2型糖尿病伴发酮症酸中毒,危重
E11.2,T2DM-KIDNEY,2XTNBBSZBJZ,2型糖尿病伴肾脏并发症,Type 2 diabetes mellitus with kidney complications,并发症,2型糖尿病性肾病,严重
E11.3,T2DM-EYE,2XTNBBYBBJZ,2型糖尿病伴眼部并发症,Type 2 diabetes mellitus with ophthalmic complications,并发症,2型糖尿病性视网膜病变,严重
E11.4,T2DM-NEURO,2XTNBBSJXTBJZ,2型糖尿病伴神经系统并发症,Type 2 diabetes mellitus with neurological complications,并发症,2型糖尿病性神经病变,严重
E11.5,T2DM-CIRCU,2XTNBBXHXTBJZ,2型糖尿病伴循环系统并发症,Type 2 diabetes mellitus with circulatory complications,并发症,2型糖尿病性血管病变,严重
E11.6,T2DM-OTHER,2XTNBBQTTZBFJZ,2型糖尿病伴其他特指并发症,Type 2 diabetes mellitus with other specified complications,并发症,2型糖尿病伴其他并发症,中等
E11.7,T2DM-MULTI,2XTNBBDFXBJZ,2型糖尿病伴多发性并发症,Type 2 diabetes mellitus with multiple complications,并发症,2型糖尿病伴多种并发症,严重
E11.8,T2DM-UNSP,2XTNBBWTZBJZ,2型糖尿病伴未特指并发症,Type 2 diabetes mellitus with unspecified complications,并发症,2型糖尿病伴未明确并发症,中等
E11.9,T2DM-SIMPLE,2XTNBBBJZ,2型糖尿病不伴并发症,Type 2 diabetes mellitus without complications,主要诊断,无并发症的2型糖尿病,轻度
E12,MRDM,YYBGXGTNB,营养不良相关糖尿病,Malnutrition-related diabetes mellitus,特殊类型,由营养不良引起的糖尿病,严重
E12.0,MRDM-COMA,YYBGXGTNBBHM,营养不良相关糖尿病伴昏迷,Malnutrition-related diabetes mellitus with coma,并发症,营养不良相关糖尿病伴昏迷,危重
E12.1,MRDM-KA,YYBGXGTNBBTZSSZD,营养不良相关糖尿病伴酮症酸中毒,Malnutrition-related diabetes mellitus with ketoacidosis,并发症,营养不良相关糖尿病伴酮症酸中毒,危重
E12.2,MRDM-KIDNEY,YYBGXGTNBBSZBJZ,营养不良相关糖尿病伴肾脏并发症,Malnutrition-related diabetes mellitus with kidney complications,并发症,营养不良相关糖尿病性肾病,严重
E12.3,MRDM-EYE,YYBGXGTNBBYBBJZ,营养不良相关糖尿病伴眼部并发症,Malnutrition-related diabetes mellitus with ophthalmic complications,并发症,营养不良相关糖尿病性视网膜病变,严重
E12.4,MRDM-NEURO,YYBGXGTNBBSJXTBJZ,营养不良相关糖尿病伴神经系统并发症,Malnutrition-related diabetes mellitus with neurological complications,并发症,营养不良相关糖尿病性神经病变,严重
E12.5,MRDM-CIRCU,YYBGXGTNBBXHXTBJZ,营养不良相关糖尿病伴循环系统并发症,Malnutrition-related diabetes mellitus with circulatory complications,并发症,营养不良相关糖尿病性血管病变,严重
E12.6,MRDM-OTHER,YYBGXGTNBBQTTZBFJZ,营养不良相关糖尿病伴其他特指并发症,Malnutrition-related diabetes mellitus with other specified complications,并发症,营养不良相关糖尿病伴其他并发症,中等
E12.7,MRDM-MULTI,YYBGXGTNBBDFXBJZ,营养不良相关糖尿病伴多发性并发症,Malnutrition-related diabetes mellitus with multiple complications,并发症,营养不良相关糖尿病伴多种并发症,严重
E12.8,MRDM-UNSP,YYBGXGTNBBWTZBJZ,营养不良相关糖尿病伴未特指并发症,Malnutrition-related diabetes mellitus with unspecified complications,并发症,营养不良相关糖尿病伴未明确并发症,中等
E12.9,MRDM-SIMPLE,YYBGXGTNBBBJZ,营养不良相关糖尿病不伴并发症,Malnutrition-related diabetes mellitus without complications,特殊类型,无并发症的营养不良相关糖尿病,中等
E13,OSDM,QTTZDTNB,其他特指的糖尿病,Other specified diabetes mellitus,特殊类型,其他类型的糖尿病,中等
E13.0,OSDM-COMA,QTTZDTNBBHM,其他特指糖尿病伴昏迷,Other specified diabetes mellitus with coma,并发症,其他特指糖尿病伴昏迷,危重
E13.1,OSDM-KA,QTTZDTNBBTZSSZD,其他特指糖尿病伴酮症酸中毒,Other specified diabetes mellitus with ketoacidosis,并发症,其他特指糖尿病伴酮症酸中毒,危重
E13.2,OSDM-KIDNEY,QTTZDTNBBSZBJZ,其他特指糖尿病伴肾脏并发症,Other specified diabetes mellitus with kidney complications,并发症,其他特指糖尿病性肾病,严重
E13.3,OSDM-EYE,QTTZDTNBBYBBJZ,其他特指糖尿病伴眼部并发症,Other specified diabetes mellitus with ophthalmic complications,并发症,其他特指糖尿病性视网膜病变,严重
E13.4,OSDM-NEURO,QTTZDTNBBSJXTBJZ,其他特指糖尿病伴神经系统并发症,Other specified diabetes mellitus with neurological complications,并发症,其他特指糖尿病性神经病变,严重
E13.5,OSDM-CIRCU,QTTZDTNBBXHXTBJZ,其他特指糖尿病伴循环系统并发症,Other specified diabetes mellitus with circulatory complications,并发症,其他特指糖尿病性血管病变,严重
E13.6,OSDM-OTHER,QTTZDTNBBQTTZBFJZ,其他特指糖尿病伴其他特指并发症,Other specified diabetes mellitus with other specified complications,并发症,其他特指糖尿病伴其他并发症,中等
E13.7,OSDM-MULTI,QTTZDTNBBDFXBJZ,其他特指糖尿病伴多发性并发症,Other specified diabetes mellitus with multiple complications,并发症,其他特指糖尿病伴多种并发症,严重
E13.8,OSDM-UNSP,QTTZDTNBBWTZBJZ,其他特指糖尿病伴未特指并发症,Other specified diabetes mellitus with unspecified complications,并发症,其他特指糖尿病伴未明确并发症,中等
E13.9,OSDM-SIMPLE,QTTZDTNBBBJZ,其他特指糖尿病不伴并发症,Other specified diabetes mellitus without complications,特殊类型,无并发症的其他特指糖尿病,中等
E14,UDM,WTZDTNB,未特指的糖尿病,Unspecified diabetes mellitus,未分类,类型未明确的糖尿病,中等
E14.0,UDM-COMA,WTZDTNBBHM,未特指糖尿病伴昏迷,Unspecified diabetes mellitus with coma,并发症,未特指糖尿病伴昏迷,危重
E14.1,UDM-KA,WTZDTNBBTZSSZD,未特指糖尿病伴酮症酸中毒,Unspecified diabetes mellitus with ketoacidosis,并发症,未特指糖尿病伴酮症酸中毒,危重
E14.2,UDM-KIDNEY,WTZDTNBBSZBJZ,未特指糖尿病伴肾脏并发症,Unspecified diabetes mellitus with kidney complications,并发症,未特指糖尿病性肾病,严重
E14.3,UDM-EYE,WTZDTNBBYBBJZ,未特指糖尿病伴眼部并发症,Unspecified diabetes mellitus with ophthalmic complications,并发症,未特指糖尿病性视网膜病变,严重
E14.4,UDM-NEURO,WTZDTNBBSJXTBJZ,未特指糖尿病伴神经系统并发症,Unspecified diabetes mellitus with neurological complications,并发症,未特指糖尿病性神经病变,严重
E14.5,UDM-CIRCU,WTZDTNBBXHXTBJZ,未特指糖尿病伴循环系统并发症,Unspecified diabetes mellitus with circulatory complications,并发症,未特指糖尿病性血管病变,严重
E14.6,UDM-OTHER,WTZDTNBBQTTZBFJZ,未特指糖尿病伴其他特指并发症,Unspecified diabetes mellitus with other specified complications,并发症,未特指糖尿病伴其他并发症,中等
E14.7,UDM-MULTI,WTZDTNBBDFXBJZ,未特指糖尿病伴多发性并发症,Unspecified diabetes mellitus with multiple complications,并发症,未特指糖尿病伴多种并发症,严重
E14.8,UDM-UNSP,WTZDTNBBWTZBJZ,未特指糖尿病伴未特指并发症,Unspecified diabetes mellitus with unspecified complications,并发症,未特指糖尿病伴未明确并发症,中等
E14.9,UDM-SIMPLE,WTZDTNBBBJZ,未特指糖尿病不伴并发症,Unspecified diabetes mellitus without complications,未分类,无并发症的未特指糖尿病,轻度
O24,PDM,RSQTNB,妊娠期糖尿病,Diabetes mellitus in pregnancy,妊娠相关,妊娠期间的糖尿病,中等
O24.0,PDM-T1,RSQTNB-1X,妊娠前糖尿病-1型,Pre-existing diabetes mellitus - type 1,妊娠相关,孕前已有1型糖尿病,严重
O24.1,PDM-T2,RSQTNB-2X,妊娠前糖尿病-2型,Pre-existing diabetes mellitus - type 2,妊娠相关,孕前已有2型糖尿病,中等
O24.2,PDM-MR,RSQTNB-YYBGXG,妊娠前糖尿病-营养不良相关,Pre-existing diabetes mellitus - malnutrition-related,妊娠相关,孕前营养不良相关糖尿病,严重
O24.3,PDM-UNSP,RSQTNB-WTZ,妊娠前糖尿病-未特指,Pre-existing diabetes mellitus - unspecified,妊娠相关,孕前糖尿病类型未明,中等
O24.40,GDM,RSQTNB,妊娠期糖尿病,Diabetes mellitus arising in pregnancy,妊娠相关,妊娠期间新发糖尿病,中等
O24.9,PDM-UNK,RSQTNB-WTZ,妊娠期糖尿病-未特指,Diabetes mellitus in pregnancy - unspecified,妊娠相关,妊娠期糖尿病未详细分类,中等
P70.0,IOD-GDM,TEHXSEDXTZHZ,胎儿和新生儿低血糖综合征,Syndrome of infant of mother with gestational diabetes,新生儿,妊娠期糖尿病母亲的婴儿综合征,中等
P70.1,IOD-DM,TEHXSEDXTZHZ,胎儿和新生儿低血糖综合征,Syndrome of infant of a diabetic mother,新生儿,糖尿病母亲的婴儿综合征,中等
P70.2,NDM,XSEETNB,新生儿糖尿病,Neonatal diabetes mellitus,新生儿,新生儿期糖尿病,严重
E15,NDHC,FTNBXGXTXHM,非糖尿病性高血糖性昏迷,Nondiabetic hypoglycemic coma,相关疾病,非糖尿病引起的低血糖昏迷,危重
E16.0,DIH,YWXDXTBBHM,药物性低血糖不伴昏迷,Drug-induced hypoglycemia without coma,相关疾病,药物引起的低血糖,中等
