ICD-10代码,速记码,拼音码,中文名称,英文名称,分类,描述,严重程度
C15.9,ESOPH-CA,SGDA,食管癌,Esophageal cancer,恶性肿瘤-消化系统,食管恶性肿瘤,严重
C15.0,ESOPH-CA-CERV,SGJDSGDA,食管颈段癌,Malignant neoplasm of cervical esophagus,恶性肿瘤-消化系统,食管颈段恶性肿瘤,严重
C15.1,ESOPH-CA-THOR,SGXDSGDA,食管胸段癌,Malignant neoplasm of thoracic esophagus,恶性肿瘤-消化系统,食管胸段恶性肿瘤,严重
C15.5,ESOPH-CA-LOW,SGXSDSGDA,食管下段癌,Malignant neoplasm of lower third of esophagus,恶性肿瘤-消化系统,食管下段恶性肿瘤,严重
C16.9,GASTRIC-CA,WA,胃癌,Gastric cancer,恶性肿瘤-消化系统,胃恶性肿瘤,严重
C16.0,GASTRIC-CA-CARD,BJWA,贲门癌,Malignant neoplasm of cardia,恶性肿瘤-消化系统,胃贲门恶性肿瘤,严重
C16.1,GASTRIC-CA-FUND,WDWA,胃底癌,Malignant neoplasm of fundus of stomach,恶性肿瘤-消化系统,胃底恶性肿瘤,严重
C16.2,GASTRIC-CA-BODY,WTWA,胃体癌,Malignant neoplasm of body of stomach,恶性肿瘤-消化系统,胃体恶性肿瘤,严重
C16.3,GASTRIC-CA-ANTR,WYWA,胃窦癌,Malignant neoplasm of pyloric antrum,恶性肿瘤-消化系统,胃窦恶性肿瘤,严重
C16.4,GASTRIC-CA-PYL,WMWA,胃幽门癌,Malignant neoplasm of pylorus,恶性肿瘤-消化系统,幽门恶性肿瘤,严重
C18.9,COLON-CA,JCDA,结肠癌,Colon cancer,恶性肿瘤-消化系统,结肠恶性肿瘤,严重
C18.0,COLON-CA-CEC,MJDA,盲肠癌,Malignant neoplasm of cecum,恶性肿瘤-消化系统,盲肠恶性肿瘤,严重
C18.2,COLON-CA-ASC,SJCDA,升结肠癌,Malignant neoplasm of ascending colon,恶性肿瘤-消化系统,升结肠恶性肿瘤,严重
C18.3,COLON-CA-HEP,GQQDA,肝曲癌,Malignant neoplasm of hepatic flexure,恶性肿瘤-消化系统,结肠肝曲恶性肿瘤,严重
C18.4,COLON-CA-TRAN,HJCDA,横结肠癌,Malignant neoplasm of transverse colon,恶性肿瘤-消化系统,横结肠恶性肿瘤,严重
C18.5,COLON-CA-SPL,PQQDA,脾曲癌,Malignant neoplasm of splenic flexure,恶性肿瘤-消化系统,结肠脾曲恶性肿瘤,严重
C18.6,COLON-CA-DESC,JJCDA,降结肠癌,Malignant neoplasm of descending colon,恶性肿瘤-消化系统,降结肠恶性肿瘤,严重
