Category,Subcategory,Field_Name,Field_Name_CN,Data_Type,Unit,Value_Range,Normal_Range,Abnormal_Indicators,Clinical_Significance,Interpretation_Logic,Related_Diseases,Risk_Level,Recommended_Actions,LOINC_Code,Notes
Basic_Info,Patient_Info,patient_id,患者ID,String,,,,,Patient unique identifier,,,Low,,,"Unique patient identifier"
Basic_Info,Patient_Info,exam_date,检查日期,Date,,,,,Date of abdominal CT examination,,,Low,,,"Format: YYYY-MM-DD"
Basic_Info,Patient_Info,patient_age,患者年龄,Integer,years,0-120,,,"Age at examination",,,Low,,,
Basic_Info,Patient_Info,patient_gender,患者性别,Categorical,,Male/Female,,,"Gender",,,Low,,,"Male/Female"
Basic_Info,Exam_Info,indication,检查适应症,String,,,,,Reason for abdominal CT,,,Low,,,Abdominal pain/mass/trauma/cancer staging
Basic_Info,Exam_Info,contrast_phase,对比增强期相,Categorical,,"Non-contrast/Arterial/Portal_venous/Delayed/Multiphasic",,,"CT phases acquired","Portal venous: routine; Arterial: liver mass; Multiphasic: liver/pancreas/kidney",,Low,Phase affects lesion detection,,"Portal venous phase standard for abdomen"
Basic_Info,Exam_Info,oral_contrast,口服对比剂,Boolean,,Yes/No,No,,"Oral contrast given","Helps outline bowel, detect bowel pathology",,Low,Not always needed,,"Water or positive contrast"
Basic_Info,Exam_Info,iv_contrast_volume,静脉对比剂量,Float,mL,50-150,,,"Volume of IV iodinated contrast",,,Low,,,Typical 80-120mL
Basic_Info,Exam_Info,image_quality,图像质量,Categorical,,"Excellent/Good/Fair/Poor",,Fair/Poor,"CT image quality assessment","Motion, artifact, contrast timing",,Medium,Repeat if poor,,

Liver,Size,liver_size,肝脏大小,Categorical,,"Normal/Enlarged/Shrunken",Normal,Enlarged/Shrunken,"Liver size assessment","Enlarged: infiltration, congestion; Shrunken: cirrhosis",Hepatomegaly,Medium,Determine cause,,"Measure craniocaudal span"
Liver,Size,liver_span,肝脏跨度,Float,cm,10-20,12-16,<10 or >18,"Craniocaudal liver span","<10cm: cirrhosis; >18cm: hepatomegaly",,Medium,Correlate with clinical,,"Measure at mid-clavicular line"
Liver,Contour,liver_contour,肝脏轮廓,Categorical,,"Smooth/Nodular/Irregular",Smooth,Nodular/Irregular,"Liver surface contour","Nodular: cirrhosis; Irregular: tumor/metastasis",Cirrhosis,High,Assess for portal HTN,,"Nodular contour hallmark of cirrhosis"
Liver,Parenchyma,liver_attenuation,肝实质密度,Categorical,,"Normal/Decreased/Increased",Normal,Any,"Liver parenchymal attenuation","Decreased: fatty liver; Increased: hemochromatosis, amiodarone",Fatty_Liver,Medium,Correlate with labs,,"Steatosis: liver<spleen on non-contrast"
Liver,Parenchyma,fatty_liver,脂肪肝,Categorical,,"None/Mild/Moderate/Severe",None,Moderate/Severe,"Hepatic steatosis severity","Liver HU <40 on non-contrast suggests steatosis",NAFLD,Medium,Metabolic workup,,"Liver normally 50-70 HU"
Liver,Focal_Lesion,liver_lesion_present,肝脏占位病变,Boolean,,Yes/No,No,Yes,"Focal liver lesion detected",,,High,Characterization needed,,"Common: cyst, hemangioma, HCC, metastasis"
Liver,Focal_Lesion,liver_lesion_count,肝脏病灶数量,Integer,lesions,0-100,0,≥1,"Number of liver lesions","Single: primary tumor; Multiple: metastases/abscesses",Multiple_Liver_Lesions,High,Oncology workup if multiple,,"Multiple suggests metastatic disease"
Liver,Focal_Lesion,largest_lesion_size,最大病灶大小,Float,cm,0-30,,>3,"Size of largest liver lesion","<1cm: too small to characterize; >5cm: higher malignancy risk",,High,Size affects management,,"Measure largest dimension"
Liver,Focal_Lesion,lesion_enhancement,病灶强化模式,Categorical,,"None/Hypoenhancing/Hyperenhancing/Peripheral_nodular/Washout",,,"Enhancement pattern of liver lesion","Hyperenhancing arterial + washout: HCC; Peripheral nodular: hemangioma",Liver_Mass,High,Pattern suggests diagnosis,,"Dynamic phases critical"
Liver,Focal_Lesion,suspected_lesion_type,疑似病灶类型,Categorical,,"None/Simple_cyst/Hemangioma/FNH/Adenoma/HCC/Metastasis/Abscess/Other",,Malignant,"Suspected diagnosis","Biopsy for confirmation if indeterminate",,High,Tissue diagnosis if uncertain,,"Imaging characteristics suggest type"

Liver,Cyst,liver_cyst,肝囊肿,Boolean,,Yes/No,No,,"Simple hepatic cyst","Round, water density, no enhancement",Benign_Liver_Cyst,Low,Usually benign, no action,,"Very common, increase with age"
Liver,Cyst,cyst_count,囊肿数量,Integer,cysts,0-50,0,>10,"Number of liver cysts",">10 suggests polycystic liver disease",Polycystic_Liver_Disease,Low,Assess kidneys for PKD,,"Associated with ADPKD"
Liver,Hemangioma,hemangioma,肝血管瘤,Boolean,,Yes/No,No,,"Hepatic hemangioma","Peripheral nodular enhancement, progressive fill-in",Hemangioma,Low,Benign, no treatment needed,,"Most common benign liver tumor"
Liver,HCC,hcc_suspected,肝癌疑似,Boolean,,Yes/No,No,Yes,"Hepatocellular carcinoma suspected","Arterial hyperenhancement + washout, in cirrhotic liver",Hepatocellular_Carcinoma,Critical,AFP, hepatology, transplant eval,,"LI-RADS for cirrhotic patients"
