Category,Subcategory,Field_Name,Field_Name_CN,Data_Type,Unit,Value_Range,Normal_Range,Abnormal_Indicators,Clinical_Significance,Interpretation_Logic,Related_Diseases,Risk_Level,Recommended_Actions,LOINC_Code,Notes
Basic_Info,Patient_Info,patient_id,患者ID,String,,,,,Patient unique identifier,,,Low,,,"Unique patient identifier"
Basic_Info,Patient_Info,exam_date,检查日期,Date,,,,,Date of examination,,,Low,,,"Format: YYYY-MM-DD"
Basic_Info,Patient_Info,patient_age,患者年龄,Integer,years,0-120,,,"Age at diagnosis","Peak incidence 40-50 years",,Low,,,Mean delay in diagnosis 7-10 years
Basic_Info,Patient_Info,patient_gender,患者性别,Categorical,,Male/Female,,,"Gender",,,Low,,,"Male/Female, equal prevalence"
Basic_Info,Patient_Info,age_at_symptom_onset,症状起始年龄,Integer,years,10-80,,,"Age when symptoms first appeared","Helps estimate disease duration",,Medium,,,Important for prognosis
Basic_Info,Patient_Info,symptom_duration,症状持续时间,Integer,years,0-40,,>10,"Duration of symptoms before diagnosis","Longer duration: more complications",Multiple_Complications,High,Earlier detection crucial,,"Average 7-10 years delay"

Clinical_Features,Acral_Changes,acral_enlargement,肢端肥大,Boolean,,Yes/No,No,Yes,"Enlargement of hands and feet","Cardinal feature, progressive",Acromegaly,High,Diagnostic clue,,"Patients report ring/shoe size increase"
Clinical_Features,Acral_Changes,hand_size_change,手部增大,Boolean,,Yes/No,No,Yes,"Increased hand size","Ring size increase over years",,High,Ask about ring fitting,,"Very specific symptom"
Clinical_Features,Acral_Changes,foot_size_change,足部增大,Boolean,,Yes/No,No,Yes,"Increased foot size","Shoe size increase over years",,High,Ask about shoe size,,"Common presenting complaint"
Clinical_Features,Facial_Changes,frontal_bossing,额部隆起,Boolean,,Yes/No,No,Yes,"Prominent forehead","Bony overgrowth",,Medium,Physical examination finding,,"Gradual development"
Clinical_Features,Facial_Changes,prognathism,下颌前突,Boolean,,Yes/No,No,Yes,"Jaw protrusion","Mandibular enlargement",Dental_Malocclusion,Medium,Dental problems common,,"Causes malocclusion"
Clinical_Features,Facial_Changes,interdental_separation,牙间隙增宽,Boolean,,Yes/No,No,Yes,"Teeth spacing increased","Jaw growth causes gap teeth",,Medium,Dental examination,,"Ask dentist about changes"
Clinical_Features,Facial_Changes,macroglossia,巨舌,Boolean,,Yes/No,No,Yes,"Enlarged tongue","May cause OSA",Obstructive_Sleep_Apnea,High,Sleep study if present,,"Contributes to airway obstruction"
Clinical_Features,Facial_Changes,facial_coarsening,面容粗糙,Boolean,,Yes/No,No,Yes,"Coarse facial features","Soft tissue overgrowth",,Medium,Compare old photos,,"Progressive change"
Clinical_Features,Facial_Changes,nasal_enlargement,鼻增大,Boolean,,Yes/No,No,Yes,"Enlarged nose",,,,Low,,,
Clinical_Features,Skin,skin_thickening,皮肤增厚,Boolean,,Yes/No,No,Yes,"Thickened skin","Increased collagen deposition",,Medium,,,"Oily, thick skin"
Clinical_Features,Skin,hyperhidrosis,多汗,Boolean,,Yes/No,No,Yes,"Excessive sweating","GH-induced sweat gland hypertrophy",,Medium,QOL impact,,"Very common complaint"
Clinical_Features,Skin,skin_tags,皮赘,Boolean,,Yes/No,No,Yes,"Multiple skin tags","Associated with insulin resistance",Insulin_Resistance,Medium,Screen for diabetes,,"Marker of metabolic dysfunction"

Clinical_Features,Systemic,headache,头痛,Boolean,,Yes/No,No,Yes,"Headache present","Mass effect or GH-mediated",Pituitary_Macroadenoma,Medium,Assess tumor size,,"60-80% of patients"
Clinical_Features,Systemic,visual_disturbance,视力障碍,Boolean,,Yes/No,No,Yes,"Visual field defects or vision loss","Chiasm compression by tumor",Pituitary_Macroadenoma,Critical,Urgent visual field testing,,"Bitemporal hemianopsia classic"
Clinical_Features,Systemic,fatigue,乏力,Boolean,,Yes/No,No,Yes,"Chronic fatigue",,,,Medium,Common symptom,,"Multifactorial etiology"
Clinical_Features,Systemic,arthralgias,关节痛,Boolean,,Yes/No,No,Yes,"Joint pain","Cartilage overgrowth, arthropathy",Arthropathy,High,Common and debilitating,,"60-70% of patients"
Clinical_Features,Systemic,back_pain,腰背痛,Boolean,,Yes/No,No,Yes,"Back pain","Spinal changes, kyphosis",,Medium,,,"Vertebral overgrowth"
Clinical_Features,Systemic,paresthesias,感觉异常,Boolean,,Yes/No,No,Yes,"Numbness or tingling","Carpal tunnel syndrome common",Carpal_Tunnel_Syndrome,Medium,Nerve conduction studies,,"Median nerve compression"
Clinical_Features,Voice,voice_deepening,声音低沉,Boolean,,Yes/No,No,Yes,"Deepening of voice","Laryngeal soft tissue enlargement",,Low,,,"Vocal cord thickening"

Hormonal_Diagnosis,GH_Levels,random_gh,随机生长激素,Float,ng/mL,0-50,<5,>5,"Random GH level","Not diagnostic alone, needs suppression test",,Medium,Proceed to OGTT,2516-4,"Unreliable due to pulsatile secretion"
Hormonal_Diagnosis,GH_Levels,basal_gh,基础生长激素,Float,ng/mL,0-50,<2,>2,"Fasting baseline GH","Elevated suggests acromegaly but needs confirmation",,Medium,,,
Hormonal_Diagnosis,OGTT,ogtt_performed,OGTT检查,Boolean,,Yes/No,No,,"Oral glucose tolerance test performed","Gold standard for diagnosis",,High,Essential for diagnosis,,"75g glucose load"
Hormonal_Diagnosis,OGTT,gh_nadir_ogtt,OGTT最低GH值,Float,ng/mL,0-20,<1,≥1,"Nadir GH during OGTT","Failure to suppress <1 ng/mL diagnostic of acromegaly",Acromegaly,Critical,GH <1: normal; ≥1: acromegaly,2516-4,"Most specific test"
Hormonal_Diagnosis,OGTT,gh_suppression_adequate,GH抑制充分,Boolean,,Yes/No,Yes,No,"GH suppression to <1 ng/mL","No: confirms acromegaly diagnosis",Acromegaly,Critical,Diagnostic criterion,,"Must use sensitive assay"
Hormonal_Diagnosis,OGTT,gh_paradoxical_rise,GH矛盾性升高,Boolean,,Yes/No,No,Yes,"GH rises instead of suppressing","Some acromegaly patients show paradoxical rise",,High,Strongly suggests acromegaly,,"Rare but specific finding"

Hormonal_Diagnosis,IGF1,igf1_level,IGF-1水平,Float,ng/mL,50-1000,,,"Absolute IGF-1 level","Must be interpreted with age/gender norms",,High,Age-adjusted interpretation critical,2484-4,"Age and gender dependent"
Hormonal_Diagnosis,IGF1,igf1_upper_limit_normal,IGF-1正常上限,Float,ng/mL,200-400,,,"Age-specific ULN for IGF-1","Reference range varies by age",,Medium,Use lab-specific norms,,"Decreases with age"
