Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_date,就诊日期,datetime,,,,,Y,就诊时间,病程
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,鉴别诊断
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,妇科/泌尿科

Pain_Characteristics,pain_location,疼痛部位,categorical,,RUQ,Epigastric,LUQ,Periumbilical,RLQ,Suprapubic,LLQ,Diffuse,Flank,,,Y,右上腹/上腹/左上腹/脐周/右下腹/耻骨上/左下腹/弥漫/腰部,解剖定位
Pain_Characteristics,pain_severity,疼痛程度,integer,,0-10,,,Y,VAS评分,严重度
Pain_Characteristics,pain_onset,起病,categorical,,Sudden,Gradual,,,Y,突发/渐进,病因线索
Pain_Characteristics,pain_duration,疼痛持续时间,integer,hours,0-720,,,Y,时长,急慢性
Pain_Characteristics,pain_character,疼痛性质,categorical,,Sharp,Dull,Cramping,Burning,Colicky,,,Y,锐痛/钝痛/绞痛/烧灼/阵发性绞痛,病因
Pain_Characteristics,radiation,放射痛,categorical,,None,Back,Shoulder,Groin,Chest,,,Y,无/后背/肩部/腹股沟/胸部,器官

Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,收缩压,休克
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,心率,腹膜炎
Vital_Signs,temperature,体温,decimal,°C,35-42,8310-5,,Y,体温,感染

Associated_Symptoms,nausea,恶心,boolean,,,,,Y,恶心,常见
Associated_Symptoms,vomiting,呕吐,boolean,,,,,Y,呕吐,梗阻/炎症
Associated_Symptoms,anorexia,食欲不振,boolean,,,,,Y,厌食,阑尾炎
Associated_Symptoms,diarrhea,腹泻,boolean,,,,,Y,腹泻,肠炎
Associated_Symptoms,constipation,便秘,boolean,,,,,Y,便秘,肠梗阻
Associated_Symptoms,hematochezia,便血,boolean,,,,,N,鲜血便,缺血性肠炎/IBD
Associated_Symptoms,melena,黑便,boolean,,,,,N,柏油样便,上消化道出血
Associated_Symptoms,dysuria,排尿困难,boolean,,,,,N,尿痛,UTI/肾结石
Associated_Symptoms,vaginal_bleeding,阴道出血,boolean,,,,,N,异常出血,妇科急症
Associated_Symptoms,vaginal_discharge,阴道分泌物,boolean,,,,,N,白带,PID
Associated_Symptoms,jaundice,黄疸,boolean,,,,,N,皮肤巩膜黄染,胆道疾病

Physical_Exam,abdominal_distension,腹胀,boolean,,,,,Y,腹部膨隆,梗阻/腹水
Physical_Exam,bowel_sounds,肠鸣音,categorical,,Normal,Hyperactive,Hypoactive,Absent,,,Y,正常/亢进/减弱/消失,梗阻/麻痹性肠梗阻
Physical_Exam,peritoneal_signs,腹膜刺激征,boolean,,,,,Y,压痛/反跳痛/肌紧张,腹膜炎
Physical_Exam,rebound_tenderness,反跳痛,boolean,,,,,Y,松手痛,腹膜炎
Physical_Exam,guarding,肌卫,boolean,,,,,Y,腹肌紧张,腹膜炎
Physical_Exam,rigidity,板状腹,boolean,,,,,Y,腹肌强直,穿孔
Physical_Exam,murphy_sign,Murphy征,boolean,,,,,N,胆囊触痛+吸气停止,急性胆囊炎
Physical_Exam,mcburney_tenderness,McBurney压痛,boolean,,,,,N,右下腹固定压痛点,阑尾炎
Physical_Exam,rovsing_sign,Rovsing征,boolean,,,,,N,左下腹按压引起右下腹痛,阑尾炎
Physical_Exam,psoas_sign,腰大肌征,boolean,,,,,N,右髋伸展痛,后位阑尾炎
Physical_Exam,obturator_sign,闭孔肌征,boolean,,,,,N,右髋内旋痛,盆位阑尾炎
Physical_Exam,costovertebral_angle_tenderness,肋脊角叩击痛,boolean,,,,,N,CVA压痛,肾盂肾炎/肾结石
Physical_Exam,pulsatile_mass,搏动性肿块,boolean,,,,,N,腹主动脉瘤,AAA
Physical_Exam,hernias,疝,boolean,,,,,N,腹股沟疝/切口疝,嵌顿

Labs,wbc,白细胞计数,decimal,×10⁹/L,0-100,6690-2,,Y,WBC,感染/炎症
Labs,hemoglobin,血红蛋白,decimal,g/L,0-250,718-7,,Y,Hb,出血
Labs,platelet,血小板,decimal,×10⁹/L,0-1000,777-3,,Y,PLT,凝血
Labs,crp,C反应蛋白,decimal,mg/L,0-500,1988-5,,N,CRP,炎症
Labs,lipase,脂肪酶,decimal,U/L,0-5000,3040-3,,Y,Lipase,急性胰腺炎>3倍
Labs,alt,丙氨酸转氨酶,decimal,U/L,0-3000,1742-6,,Y,ALT,肝胆疾病
Labs,total_bilirubin,总胆红素,decimal,μmol/L,0-500,1975-2,,Y,TBil,胆道梗阻
Labs,creatinine,肌酐,decimal,μmol/L,0-1500,2160-0,,Y,Cr,肾功能
Labs,lactate,乳酸,decimal,mmol/L,0-20,2524-7,,Y,Lac,肠缺血/脓毒症

Pregnancy_Test,pregnancy_test,妊娠试验,categorical,,Not_Done,Negative,Positive,,,Y,未做/阴性/阳性,育龄女性必查
Pregnancy_Test,beta_hcg,β-HCG,decimal,mIU/mL,0-500000,21198-7,,N,人绒毛膜促性腺激素,异位妊娠

Urinalysis,urinalysis,尿液分析,boolean,,,,,Y,尿检,UTI/肾结石
Urinalysis,urine_wbc,尿白细胞,integer,个/HPF,0-1000,5821-4,,N,WBC/HPF,UTI
Urinalysis,urine_rbc,尿红细胞,integer,个/HPF,0-1000,5808-1,,N,RBC/HPF,肾结石/肾炎
Urinalysis,urine_bacteria,尿细菌,categorical,,None,Few,Moderate,Many,,,N,无/少/中/多,UTI
Urinalysis,nitrite,亚硝酸盐,categorical,,Negative,Positive,,,N,阴性/阳性,细菌尿
Urinalysis,leukocyte_esterase,白细胞酯酶,categorical,,Negative,Positive,,,N,阴性/阳性,脓尿

Imaging,abdominal_xray,腹部X线,categorical,,Normal,Ileus,Obstruction,Free_Air,Calcifications,Not_Done,,,Y,正常/肠麻痹/梗阻/游离气体/钙化,初步评估
Imaging,ultrasound,超声,categorical,,Not_Done,Normal,Cholecystitis,Cholelithiasis,Appendicitis,Free_Fluid,AAA,Ectopic_Pregnancy,,,Y,未做/正常/胆囊炎/胆结石/阑尾炎/腹腔积液/腹主动脉瘤/异位妊娠,床旁检查
Imaging,ct_abdomen_pelvis,腹盆CT,categorical,,Not_Done,Normal,Appendicitis,Cholecystitis,Pancreatitis,Diverticulitis,Bowel_Obstruction,Perforation,Mesenteric_Ischemia,AAA,,,Y,未做/正常/阑尾炎/胆囊炎/胰腺炎/憩室炎/肠梗阻/穿孔/肠系膜缺血/AAA,诊断金标准

Specific_Diagnoses,appendicitis,急性阑尾炎,boolean,,,,,Y,右下腹痛+发热+白细胞升高,外科急症
Specific_Diagnoses,cholecystitis,急性胆囊炎,boolean,,,,,Y,右上腹痛+Murphy征+超声,胆道疾病
Specific_Diagnoses,pancreatitis,急性胰腺炎,boolean,,,,,Y,上腹痛+脂肪酶升高>3倍,Ranson评分
Specific_Diagnoses,diverticulitis,憩室炎,boolean,,,,,Y,左下腹痛+CT,结肠憩室
Specific_Diagnoses,bowel_obstruction,肠梗阻,boolean,,,,,Y,腹痛+呕吐+腹胀+肠鸣音改变,机械性/麻痹性
Specific_Diagnoses,perforation,消化道穿孔,boolean,,,,,Y,突发剧痛+板状腹+游离气体,外科急症
Specific_Diagnoses,mesenteric_ischemia,肠系膜缺血,boolean,,,,,Y,剧烈腹痛与体征不符+乳酸升高,死亡率高
Specific_Diagnoses,aaa_rupture,腹主动脉瘤破裂,boolean,,,,,Y,腹痛/背痛+低血压+搏动性肿块,致命性
Specific_Diagnoses,ectopic_pregnancy,异位妊娠,boolean,,,,,Y,育龄女性+腹痛+阴道出血+β-HCG阳性,妇科急症
Specific_Diagnoses,ovarian_torsion,卵巢扭转,boolean,,,,,N,突发下腹痛+超声,保留卵巢
Specific_Diagnoses,pid,盆腔炎性疾病,boolean,,,,,N,下腹痛+宫颈举痛+白带,性传播
Specific_Diagnoses,renal_colic,肾绞痛,boolean,,,,,Y,腰腹部阵发性剧痛+血尿,肾结石
Specific_Diagnoses,gastroenteritis,胃肠炎,boolean,,,,,Y,腹痛+腹泻+呕吐,病毒/细菌
Specific_Diagnoses,ibd_flare,IBD急性发作,boolean,,,,,N,腹痛+血便+腹泻,Crohn/UC

Alvarado_Score,alvarado_migration,疼痛转移至RLQ,boolean,,,,,N,转移性右下腹痛,1分
Alvarado_Score,alvarado_anorexia,厌食,boolean,,,,,N,食欲不振,1分
Alvarado_Score,alvarado_nausea,恶心呕吐,boolean,,,,,N,恶心/呕吐,1分
Alvarado_Score,alvarado_rlq_tenderness,RLQ压痛,boolean,,,,,N,右下腹压痛,2分
Alvarado_Score,alvarado_rebound,反跳痛,boolean,,,,,N,腹膜刺激征,1分
Alvarado_Score,alvarado_fever,发热,boolean,,,,,N,T≥37.3°C,1分
Alvarado_Score,alvarado_leukocytosis,白细胞升高,boolean,,,,,N,WBC>10×10⁹/L,2分
Alvarado_Score,alvarado_left_shift,核左移,boolean,,,,,N,N>75%,1分
Alvarado_Score,alvarado_total_score,Alvarado总分,integer,,0-10,,,N,总分,阑尾炎评分
Alvarado_Score,alvarado_risk,Alvarado风险,categorical,,Low,Intermediate,High,,,N,低<5/中5-6/高7-10,阑尾炎可能性

Disposition,disposition,处置,categorical,,Discharge,Observation,Admission,Surgery,,,Y,出院/观察/入院/手术,去向
Disposition,surgical_consultation,外科会诊,boolean,,,,,Y,外科评估,手术指征
Disposition,analgesics,镇痛,boolean,,,,,Y,疼痛控制,不影响诊断
Disposition,antibiotics,抗生素,boolean,,,,,Y,感染治疗,腹腔感染
Disposition,npo,禁食水,boolean,,,,,Y,NPO,手术准备

Report,physician,接诊医师,string,,,,,Y,诊治医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
