Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_date,就诊日期,datetime,,,,,Y,就诊时间,急性发作
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,儿童/成人哮喘
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征

Asthma_History,asthma_confirmed,哮喘确诊,boolean,,,,,Y,既往哮喘诊断,病史
Asthma_History,asthma_duration,哮喘病程,integer,years,0-100,,,Y,诊断年数,慢性病程
Asthma_History,baseline_control,基线控制,categorical,,Well_Controlled,Partly_Controlled,Uncontrolled,,,Y,控制良好/部分控制/未控制,GINA分级
Asthma_History,previous_exacerbations,既往急性发作,integer,,0-100,,,Y,过去1年次数,严重度
Asthma_History,previous_icu,既往ICU,boolean,,,,,Y,既往ICU入住,高危
Asthma_History,previous_intubation,既往插管,boolean,,,,,Y,既往机械通气,致命性哮喘
Asthma_History,oral_steroid_bursts,口服激素突击治疗,integer,,0-20,,,Y,过去1年次数,控制不佳

Presentation,dyspnea,呼吸困难,boolean,,,,,Y,气促,主要症状
Presentation,wheeze,喘鸣,boolean,,,,,Y,哮鸣音,气道阻塞
Presentation,cough,咳嗽,boolean,,,,,Y,咳嗽,气道刺激
Presentation,chest_tightness,胸闷,boolean,,,,,Y,胸部紧迫感,症状
Presentation,symptom_duration,症状持续时间,integer,hours,0-720,,,Y,急性加重时长,病程
Presentation,symptom_progression,症状进展,categorical,,Gradual,Rapid,,,Y,渐进/迅速,严重度
Presentation,nighttime_awakening,夜间憋醒,boolean,,,,,Y,夜间症状,控制不佳

Triggers,upper_respiratory_infection,上呼吸道感染,boolean,,,,,Y,URI,最常见触发因素
Triggers,allergen_exposure,变应原暴露,boolean,,,,,N,尘螨/花粉/宠物,过敏性哮喘
Triggers,exercise,运动,boolean,,,,,N,体力活动,运动诱发
Triggers,cold_air,冷空气,boolean,,,,,N,环境温度,气道高反应
Triggers,air_pollution,空气污染,boolean,,,,,N,烟雾/刺激性气体,环境因素
Triggers,medication_noncompliance,用药不依从,boolean,,,,,Y,未规律用药,控制不佳

Severity,severity_assessment,严重度评估,categorical,,Mild,Moderate,Severe,Life_Threatening,,,Y,轻度/中度/重度/危及生命,GINA分级
Severity,speaks_in,言语,categorical,,Sentences,Phrases,Words,Unable,,,Y,整句/短语/单词/不能说话,严重度
Severity,alertness,意识,categorical,,Alert,Agitated,Drowsy,Confused,,,Y,清醒/躁动/嗜睡/意识模糊,呼吸衰竭
Severity,accessory_muscle_use,辅助呼吸肌,boolean,,,,,Y,胸锁乳突肌,呼吸做功增加
Severity,suprasternal_retractions,胸骨上凹陷,boolean,,,,,Y,吸气凹陷,气道阻塞

Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,RR,>30成人/>50儿童严重
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,HR,>120成人严重
Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,SBP,基线
Vital_Signs,temperature,体温,decimal,°C,35-42,8310-5,,Y,体温,感染
Vital_Signs,spo2,血氧饱和度,decimal,%,0-100,59408-5,,Y,SpO2,<90%严重
Vital_Signs,pulsus_paradoxus,奇脉,integer,mmHg,0-50,,,N,吸气时SBP下降,>10 mmHg严重

Physical_Exam,lung_auscultation,肺部听诊,categorical,,Bilateral_Wheezes,Decreased_Air_Entry,Silent_Chest,,,Y,双肺哮鸣音/呼吸音减弱/沉默肺,严重度
Physical_Exam,silent_chest,沉默肺,boolean,,,,,Y,呼吸音消失,危及生命
Physical_Exam,cyanosis,发绀,boolean,,,,,Y,紫绀,低氧血症

Peak_Flow,pefr,呼气峰流速,integer,L/min,0-700,19935-6,,Y,PEFR,气流受限程度
Peak_Flow,pefr_predicted,预计值百分比,decimal,%,0-100,,,Y,PEFR%pred,>50%轻度/33-50%中度/<33%严重
Peak_Flow,pefr_personal_best,个人最佳值百分比,decimal,%,0-100,,,N,PEFR%PB,基线功能

ABG,abg_performed,动脉血气,boolean,,,,,N,ABG,严重发作
