字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
presentationDate,就诊日期,Date,ACS发生日期,2025-01-15
presentationTime,发病时间,String,胸痛开始时间,14:30
encounterType,就诊类型,String,"**建议值**: `急诊`, `门诊转急诊`, `住院期间发生`, `院前急救`, `直接PCI导管室`",急诊

acsType.classification,ACS类型.分类,String,"**ACS分类**:<br>**STEMI**: ST段抬高型心肌梗死(需紧急再灌注)<br>**NSTEMI**: 非ST段抬高型心肌梗死(心肌标志物升高)<br>**UA**: 不稳定型心绞痛(心肌标志物阴性)<br>**建议值**: `STEMI`, `NSTEMI`, `不稳定型心绞痛(UA)`, `待分类(疑似ACS)`",STEMI
acsType.territory,ACS类型.受累区域,String,"**STEMI部位**(根据ECG导联):<br>**前壁**: V1-V6,LAD供血<br>**下壁**: II,III,aVF,RCA/LCX供血<br>**侧壁**: I,aVL,V5-V6,LCX供血<br>**后壁**: V7-V9(或V1-V3 ST压低+高R波),RCA供血<br>**右室**: V3R-V4R,RCA供血<br>**建议值**: `前壁`, `下壁`, `侧壁`, `广泛前壁`, `下壁+右室`, `后壁`, `不适用(NSTEMI/UA)`",前壁

symptoms.chestPain.present,症状.胸痛.是否存在,String,"**典型心绞痛**: 胸骨后压榨感/紧缩感,放射至左臂/下颌/肩背,持续>10分钟。<br>**建议值**: `有典型胸痛`, `有非典型胸痛`, `无胸痛(等同物症状)`, `不能表述(意识障碍)`",有典型胸痛
symptoms.chestPain.onset,症状.胸痛.起病方式,String,"**建议值**: `静息时发作`, `轻微活动时发作`, `剧烈活动后发作`, `情绪激动后发作`,静息时发作
symptoms.chestPain.duration,症状.胸痛.持续时间,String,"**不稳定型心绞痛**: >10分钟或频繁发作<br>**心肌梗死**: 通常>30分钟。<br>**建议值**: `<10分钟`, `10-30分钟`, `>30分钟`, `持续至就诊`",持续至就诊
symptoms.chestPain.character,症状.胸痛.性质,String,"**建议值**: `压榨性/紧缩性(典型)`, `刺痛/针刺感`, `烧灼感`, `撕裂样疼痛(需除外主动脉夹层)`, `闷胀感`",压榨性
symptoms.chestPain.location,症状.胸痛.部位,String,"**建议值**: `胸骨后`, `左胸`, `全胸`, `心前区`, `上腹部(下壁MI)`, `不能定位(弥漫性)`",胸骨后
symptoms.chestPain.radiation,症状.胸痛.放射,String,"**示例**: `无放射`, `左臂`, `双臂`, `颈部`, `下颌`, `肩背部`, `上腹部`",左臂;下颌
symptoms.chestPain.severity,症状.胸痛.严重程度,String,"**VAS评分**: 0-10分。<br>**建议值**: `轻度(1-3分)`, `中度(4-6分)`, `重度(7-10分)`",重度(9/10)

symptoms.chestPain.responseToNTG,症状.胸痛.硝酸甘油反应,String,"**稳定型心绞痛**: 舌下含服NTG 3-5分钟缓解<br>**心肌梗死**: NTG通常无效或缓解不完全。<br>**建议值**: `未使用NTG`, `完全缓解`, `部分缓解`, `无缓解`,部分缓解

symptoms.dyspnea,症状.呼吸困难,String,"**建议值**: `无`, `轻度`, `中度`, `重度(端坐呼吸)`, `急性肺水肿`,中度
symptoms.diaphoresis,症状.出汗,String,"**冷汗**: 交感神经兴奋。<br>**建议值**: `无`, `轻度`, `大汗淋漓`,大汗淋漓
symptoms.nausea,症状.恶心,String,"**下壁MI常见**。<br>**建议值**: `无`, `有`,有
symptoms.vomiting,症状.呕吐,String,"**建议值**: `无`, `有`,有
symptoms.palpitations,症状.心悸,String,"**建议值**: `无`, `有(室性心律失常可能)`,有
symptoms.syncope,症状.晕厥,String,"**建议值**: `无`, `晕厥/先兆晕厥(心室颤动/心源性休克)`,无
symptoms.weakness,症状.乏力,String,"**建议值**: `无`, `轻度`, `明显乏力/虚弱`,明显乏力

symptoms.atypical,症状.非典型表现,String,"**高危人群**(老年/女性/糖尿病): 常无典型胸痛。<br>**示例**: `典型症状`, `仅呼吸困难`, `仅恶心呕吐`, `上腹痛(误认为胃病)`, `意识障碍`, `心源性休克`, `心脏骤停`",典型症状

riskFactors.age,危险因素.年龄,Number,"年龄。<br>单位: 岁<br>**男性≥45岁,女性≥55岁**: 危险因素",62
riskFactors.gender,危险因素.性别,String,"**建议值**: `男`, `女`<br>**男性**: 发病年龄早于女性10年",男
riskFactors.hypertension,危险因素.高血压,String,"**建议值**: `无`, `有(已治疗)`, `有(未治疗/控制不佳)`,有(已治疗)
riskFactors.diabetes,危险因素.糖尿病,String,"**建议值**: `无`, `有`, `糖尿病前期`<br>**糖尿病**: CAD风险↑2-4倍",有
riskFactors.dyslipidemia,危险因素.血脂异常,String,"**建议值**: `无`, `高胆固醇血症`, `高LDL-C`, `低HDL-C`, `高甘油三酯`, `混合型`,高LDL-C
riskFactors.smoking,危险因素.吸烟,String,"**建议值**: `从不吸烟`, `已戒烟(>1年)`, `已戒烟(<1年)`, `现吸烟`",现吸烟
riskFactors.familyHistory,危险因素.早发CAD家族史,String,"一级亲属早发CAD(男性<55岁,女性<65岁)。<br>**建议值**: `无`, `父母`, `兄弟姐妹`, `多位亲属`,父亲(MI 52岁)
riskFactors.obesity,危险因素.肥胖,String,"**建议值**: `BMI<25`, `超重(BMI 25-30)`, `肥胖(BMI 30-35)`, `重度肥胖(BMI>35)`,超重
riskFactors.physicalInactivity,危险因素.缺乏运动,String,"**建议值**: `规律运动`, `偶尔运动`, `久坐不动`,久坐不动
riskFactors.ckd,危险因素.慢性肾病,String,"**建议值**: `无CKD`, `CKD 3期(eGFR 30-59)`, `CKD 4-5期(eGFR<30)`, `透析`<br>**CKD**: CAD风险↑",无CKD
riskFactors.priorCAD,危险因素.既往冠心病史,String,"**建议值**: `无`, `稳定型心绞痛`, `既往PCI`, `既往CABG`, `既往心肌梗死`,既往PCI
riskFactors.priorStroke,危险因素.既往脑卒中,String,"**建议值**: `无`, `缺血性卒中`, `TIA`, `脑出血`,无
riskFactors.pad,危险因素.外周动脉疾病,String,"**建议值**: `无`, `有`,无
riskFactors.cocaine,危险因素.可卡因使用,String,"**可卡因诱发心肌梗死**: 年轻人无传统危险因素ACS需考虑。<br>**建议值**: `无`, `近期使用`, `长期滥用`,无

