Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_date,就诊日期,datetime,,,,,Y,就诊时间,病程
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,老年高血压
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征

HTN_Crisis_Type,hypertensive_crisis,高血压危象,boolean,,,,,Y,SBP≥180和/或DBP≥120,定义
HTN_Crisis_Type,crisis_type,危象类型,categorical,,Hypertensive_Emergency,Hypertensive_Urgency,,,Y,高血压急症/亚急症,靶器官损伤
HTN_Crisis_Type,target_organ_damage,靶器官损伤,boolean,,,,,Y,急性终末器官损伤,急症vs亚急症

Presentation,headache,头痛,boolean,,,,,Y,严重头痛,常见症状
Presentation,visual_changes,视觉改变,boolean,,,,,Y,视物模糊/复视,高血压视网膜病变
Presentation,chest_pain,胸痛,boolean,,,,,Y,胸痛,ACS/主动脉夹层
Presentation,dyspnea,呼吸困难,boolean,,,,,Y,气促,急性肺水肿
Presentation,neurological_symptoms,神经系统症状,boolean,,,,,Y,局灶性神经缺损/意识改变,高血压脑病/卒中
Presentation,nausea_vomiting,恶心呕吐,boolean,,,,,N,恶心呕吐,颅内压增高
Presentation,epistaxis,鼻出血,boolean,,,,,N,鼻血,毛细血管破裂

Vital_Signs,sbp,收缩压,integer,mmHg,0-400,8480-6,,Y,SBP,≥180急症
Vital_Signs,dbp,舒张压,integer,mmHg,0-250,8462-4,,Y,DBP,≥120急症
Vital_Signs,map,平均动脉压,decimal,mmHg,0-300,8478-0,,Y,MAP,(SBP+2×DBP)/3
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,HR,心动过速
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,RR,肺水肿
Vital_Signs,spo2,血氧饱和度,decimal,%,0-100,59408-5,,Y,SpO2,氧合

GCS,gcs_total,GCS总分,integer,,3-15,9269-2,,Y,意识状态,高血压脑病
GCS,gcs_eye,睁眼反应,integer,,1-4,9267-6,,Y,E评分,神经评估
GCS,gcs_verbal,语言反应,integer,,1-5,9270-0,,Y,V评分,意识水平
GCS,gcs_motor,运动反应,integer,,1-6,9268-4,,Y,M评分,运动功能

Cardiovascular_Damage,acute_coronary_syndrome,急性冠脉综合征,boolean,,,,,Y,ACS,心肌缺血
Cardiovascular_Damage,acute_heart_failure,急性心力衰竭,boolean,,,,,Y,肺水肿,后负荷过重
Cardiovascular_Damage,aortic_dissection,主动脉夹层,boolean,,,,,Y,AD,致命性
Cardiovascular_Damage,myocardial_ischemia,心肌缺血,boolean,,,,,N,ECG改变+胸痛,供需失衡

Neurological_Damage,hypertensive_encephalopathy,高血压脑病,boolean,,,,,Y,意识改变+头痛+癫痫,脑水肿
Neurological_Damage,ischemic_stroke,缺血性卒中,boolean,,,,,Y,急性脑梗死,血压管理特殊
Neurological_Damage,hemorrhagic_stroke,出血性卒中,boolean,,,,,Y,脑出血/SAH,血压降低指征
Neurological_Damage,seizure,癫痫发作,boolean,,,,,N,抽搐,高血压脑病/PRES

Renal_Damage,acute_kidney_injury,急性肾损伤,boolean,,,,,Y,Cr急性升高,肾灌注
Renal_Damage,hematuria,血尿,boolean,,,,,N,镜下/肉眼血尿,肾实质损伤
Renal_Damage,proteinuria,蛋白尿,boolean,,,,,N,尿蛋白,肾小球损伤

Retinal_Damage,hypertensive_retinopathy,高血压视网膜病变,boolean,,,,,N,眼底检查,Keith-Wagener分级
Retinal_Damage,papilledema,视乳头水肿,boolean,,,,,N,颅内压增高,高血压脑病

Pregnancy_Related,preeclampsia,先兆子痫,boolean,,,,,Y,妊娠20周后HTN+蛋白尿,产科急症
Pregnancy_Related,eclampsia,子痫,boolean,,,,,Y,先兆子痫+癫痫,母婴风险
Pregnancy_Related,hellp_syndrome,HELLP综合征,boolean,,,,,N,溶血+肝酶升高+血小板减少,严重并发症

Precipitating_Factors,medication_noncompliance,用药不依从,boolean,,,,,Y,未规律服药,最常见原因
Precipitating_Factors,cocaine_use,可卡因使用,boolean,,,,,Y,兴奋剂,交感激活
Precipitating_Factors,amphetamine_use,安非他明使用,boolean,,,,,N,兴奋剂,交感激活
Precipitating_Factors,maoi_interaction,MAOI药物相互作用,boolean,,,,,N,酪胺危象,儿茶酚胺释放
Precipitating_Factors,pheochromocytoma,嗜铬细胞瘤,boolean,,,,,N,儿茶酚胺瘤,继发性高血压
Precipitating_Factors,thyroid_storm,甲状腺危象,boolean,,,,,N,甲亢危象,代谢亢进
Precipitating_Factors,cushing_syndrome,库欣综合征,boolean,,,,,N,皮质醇增多,内分泌性高血压
Precipitating_Factors,renal_artery_stenosis,肾动脉狭窄,boolean,,,,,N,RAS,肾血管性高血压

Labs,creatinine,肌酐,decimal,μmol/L,0-2000,2160-0,,Y,Cr,肾功能
Labs,bun,尿素氮,decimal,mmol/L,0-100,3094-0,,Y,BUN,肾功能
Labs,potassium,钾,decimal,mmol/L,0-10,2823-3,,Y,K+,低钾原发醛固酮增多症
Labs,troponin,肌钙蛋白,decimal,ng/mL,0-500,10839-9,,Y,cTn,心肌损伤
Labs,bnp,脑钠肽,decimal,pg/mL,0-10000,30934-4,,N,BNP,心衰
Labs,lactate_dehydrogenase,乳酸脱氢酶,decimal,U/L,0-2000,14804-9,,N,LDH,溶血
Labs,haptoglobin,触珠蛋白,decimal,g/L,0-5,4542-7,,N,Hp,HELLP
Labs,platelet,血小板,decimal,×10⁹/L,0-1000,777-3,,Y,PLT,HELLP

Urinalysis,urinalysis_performed,尿液分析,boolean,,,,,Y,尿检,肾损伤
Urinalysis,urine_protein,尿蛋白,categorical,,Negative,Trace,1+,2+,3+,4+,,,Y,蛋白尿,肾小球损伤/先兆子痫
Urinalysis,urine_blood,尿潜血,categorical,,Negative,Trace,1+,2+,3+,,,Y,血尿,肾实质损伤
Urinalysis,urine_rbc,尿红细胞,integer,个/HPF,0-1000,5808-1,,N,RBC/HPF,血尿程度

ECG,ecg_performed,心电图,boolean,,,,,Y,12导联ECG,心肌缺血
ECG,lvh,左室肥厚,boolean,,,,,Y,LVH,慢性高血压
ECG,st_changes,ST段改变,boolean,,,,,Y,STE/STD,心肌缺血
ECG,t_wave_inversion,T波倒置,boolean,,,,,N,TWI,心肌劳损

Chest_Xray,cxr_performed,胸部X线,boolean,,,,,Y,CXR,肺水肿
Chest_Xray,pulmonary_edema,肺水肿,boolean,,,,,Y,蝴蝶征,急性左心衰
Chest_Xray,cardiomegaly,心影增大,boolean,,,,,Y,心胸比>0.5,慢性心衰
Chest_Xray,widened_mediastinum,纵隔增宽,boolean,,,,,Y,>8 cm,主动脉夹层

CT_Imaging,ct_head,头颅CT,boolean,,,,,Y,神经症状必查,出血/梗死/脑水肿
CT_Imaging,ct_head_result,头颅CT结果,categorical,,Normal,ICH,Ischemic_Stroke,SAH,Edema,,,Y,正常/脑出血/缺血性卒中/SAH/脑水肿,靶器官损伤
CT_Imaging,cta_chest,胸部CTA,boolean,,,,,N,疑似主动脉夹层,AD诊断金标准

Fundoscopy,fundoscopic_exam,眼底检查,boolean,,,,,N,眼底镜,视网膜病变
Fundoscopy,fundoscopy_grade,Keith-Wagener分级,categorical,,NA,Grade_I,Grade_II,Grade_III,Grade_IV,,,N,I动脉狭窄/II动静脉交叉压迫/III渗出出血/IV视乳头水肿,视网膜病变

Antihypertensive_Treatment,iv_antihypertensive,静脉降压药,boolean,,,,,Y,高血压急症,快速降压
Antihypertensive_Treatment,oral_antihypertensive,口服降压药,boolean,,,,,Y,高血压亚急症,24-48h降压
Antihypertensive_Treatment,agent_used,降压药物,categorical,,NA,Labetalol,Nicardipine,Nitroprusside,Esmolol,Hydralazine,Clevidipine,,,Y,拉贝洛尔/尼卡地平/硝普钠/艾司洛尔/肼屈嗪/氯维地平,药物选择
Antihypertensive_Treatment,bp_target,血压目标,categorical,,Reduce_25%,SBP_160,SBP_140,SBP_<140_DBP_<90,,,Y,1h降低25%/SBP 160/SBP 140/SBP<140 DBP<90,分阶段降压
Antihypertensive_Treatment,time_to_bp_target,达目标时间,integer,min,0-1440,,,Y,降压时间,急症1h内/亚急症24-48h

Specific_Scenarios,stroke_blood_pressure,卒中血压管理,categorical,,NA,Conservative,Thrombolysis_Candidate,ICH,,,N,保守/溶栓候选/脑出血,特殊情况
Specific_Scenarios,aortic_dissection_target,主动脉夹层目标,categorical,,NA,SBP_<120_HR_<60,,,N,SBP<120 HR<60,β受体阻滞剂首选
Specific_Scenarios,preeclampsia_target,先兆子痫目标,categorical,,NA,SBP_<160_DBP_<110,,,N,SBP<160 DBP<110,硫酸镁预防癫痫

Complications,end_organ_failure,终末器官衰竭,boolean,,,,,Y,心/脑/肾衰竭,预后不良
Complications,malignant_hypertension,恶性高血压,boolean,,,,,Y,DBP>130+视乳头水肿+肾衰竭,严重形式

Disposition,icu_admission,ICU入住,boolean,,,,,Y,重症监护,高血压急症
Disposition,telemetry,遥测监护,boolean,,,,,Y,心电监测,动态血压
Disposition,blood_pressure_control,血压控制,categorical,,Controlled,Partially_Controlled,Uncontrolled,,,Y,控制/部分控制/未控制,治疗效果

Outcome,in_hospital_complications,院内并发症,boolean,,,,,Y,心梗/卒中/肾衰竭,主要终点
Outcome,in_hospital_mortality,院内死亡,boolean,,,,,Y,院内死亡,预后

Report,physician,接诊医师,string,,,,,Y,诊治医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
