Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_date,就诊日期,datetime,,,,,Y,就诊时间,AKI起病
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,老年高危
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征
Basic_Info,body_weight,体重,decimal,kg,0-300,29463-7,,Y,当前体重,液体计算

AKI_Definition,aki,急性肾损伤,boolean,,,,,Y,AKI诊断,KDIGO标准
AKI_Definition,scr_increase,肌酐升高,categorical,,NA,Increase_0.3_48h,Increase_1.5x_7d,,,Y,48h内升高≥26.5 μmol/L/7天内升高≥1.5倍基线,AKI定义
AKI_Definition,oliguria,少尿,boolean,,,,,Y,尿量<0.5 mL/kg/h×6h,AKI标准

Presentation,decreased_urine_output,尿量减少,boolean,,,,,Y,少尿/无尿,肾功能恶化
Presentation,nausea_vomiting,恶心呕吐,boolean,,,,,Y,胃肠道症状,尿毒症
Presentation,confusion,意识模糊,boolean,,,,,Y,意识改变,尿毒症性脑病
Presentation,fatigue,乏力,boolean,,,,,N,虚弱,贫血/代谢紊乱
Presentation,edema,水肿,boolean,,,,,Y,外周水肿/肺水肿,容量过负荷
Presentation,dyspnea,呼吸困难,boolean,,,,,Y,气促,肺水肿/代谢性酸中毒
Presentation,flank_pain,腰痛,boolean,,,,,N,双侧腰痛,肾梗死/肾盂肾炎
Presentation,hematuria,血尿,boolean,,,,,N,肉眼/镜下血尿,肾小球疾病

Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,收缩压,低血压肾前性
Vital_Signs,dbp,舒张压,integer,mmHg,0-200,8462-4,,Y,舒张压,灌注压
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,心率,容量状态
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,呼吸频率,代谢性酸中毒代偿
Vital_Signs,temperature,体温,decimal,°C,35-42,8310-5,,Y,体温,感染性AKI
Vital_Signs,body_weight_change,体重变化,decimal,kg,-50-50,,,N,体重增加,容量过负荷

Risk_Factors,sepsis,脓毒症,boolean,,,,,Y,感染,脓毒性AKI
Risk_Factors,hypovolemia,低血容量,boolean,,,,,Y,失血/脱水,肾前性
Risk_Factors,hypotension,低血压,boolean,,,,,Y,休克,肾灌注不足
Risk_Factors,heart_failure,心力衰竭,boolean,,,,,Y,CHF,心肾综合征
Risk_Factors,liver_disease,肝病,boolean,,,,,N,肝硬化,肝肾综合征
Risk_Factors,diabetes,糖尿病,boolean,,,,,Y,DM,糖尿病肾病
Risk_Factors,ckd,慢性肾病,boolean,,,,,Y,CKD,AKI on CKD
Risk_Factors,nephrotoxic_drugs,肾毒性药物,boolean,,,,,Y,NSAID/ACEI/ARB/氨基糖苷/造影剂,药物性AKI
Risk_Factors,contrast_exposure,造影剂暴露,boolean,,,,,Y,碘对比剂,CIN
Risk_Factors,rhabdomyolysis,横纹肌溶解,boolean,,,,,N,肌肉损伤,肌红蛋白肾病
Risk_Factors,recent_surgery,近期手术,boolean,,,,,N,大手术,围手术期AKI

KDIGO_Stage,kdigo_stage,KDIGO分期,categorical,,Stage_1,Stage_2,Stage_3,,,Y,1期Cr 1.5-1.9倍或UO<0.5×6-12h/2期2.0-2.9倍或UO<12-24h/3期3倍或Cr≥353.6或RRT或UO<24h,AKI严重度
KDIGO_Stage,kdigo_scr_criteria,肌酐标准,categorical,,NA,Stage_1_Scr,Stage_2_Scr,Stage_3_Scr,,,Y,1期1.5-1.9倍基线或升高≥26.5/2期2.0-2.9倍/3期≥3倍或≥353.6 μmol/L,Cr分期
KDIGO_Stage,kdigo_uop_criteria,尿量标准,categorical,,NA,Stage_1_UOP,Stage_2_UOP,Stage_3_UOP,,,Y,1期<0.5 mL/kg/h×6-12h/2期×12-24h/3期×24h或无尿×12h,UOP分期

Baseline_Renal,baseline_creatinine,基线肌酐,decimal,μmol/L,0-1000,2160-0,,Y,既往Cr,AKI定义
Baseline_Renal,baseline_egfr,基线eGFR,decimal,mL/min/1.73m²,0-200,98979-8,,Y,既往eGFR,基线肾功能

Labs,creatinine,肌酐,decimal,μmol/L,0-2000,2160-0,,Y,Cr,肾功能
Labs,scr_peak,肌酐峰值,decimal,μmol/L,0-2000,,,N,最高Cr,AKI严重度
Labs,scr_change,肌酐变化,decimal,μmol/L,-500-2000,,,Y,Cr升高幅度,AKI进展
Labs,egfr,肾小球滤过率,decimal,mL/min/1.73m²,0-200,98979-8,,Y,eGFR,估算GFR
Labs,bun,尿素氮,decimal,mmol/L,0-100,3094-0,,Y,BUN,肾功能/分解代谢
Labs,bun_cr_ratio,BUN/Cr比值,decimal,,0-100,,,Y,BUN/Cr,>20:1肾前性

Electrolytes,sodium,钠,decimal,mmol/L,0-200,2951-2,,Y,Na+,水钠平衡
Electrolytes,potassium,钾,decimal,mmol/L,0-10,2823-3,,Y,K+,>6.5透析指征
Electrolytes,chloride,氯,decimal,mmol/L,0-150,2075-0,,Y,Cl-,酸碱平衡
Electrolytes,bicarbonate,碳酸氢根,decimal,mmol/L,0-50,1959-6,,Y,HCO3-,代谢性酸中毒
Electrolytes,calcium,钙,decimal,mmol/L,0-5,17861-6,,Y,Ca2+,低钙血症
Electrolytes,phosphate,磷,decimal,mmol/L,0-10,2777-1,,Y,PO4,高磷血症
Electrolytes,magnesium,镁,decimal,mmol/L,0-5,2601-3,,N,Mg2+,电解质

ABG,ph,pH值,decimal,,6.8-7.8,2744-1,,Y,酸碱度,代谢性酸中毒
ABG,paco2,动脉二氧化碳分压,decimal,mmHg,0-150,2019-8,,Y,PaCO2,代偿
ABG,hco3,碳酸氢根,decimal,mmol/L,0-50,1959-6,,Y,HCO3-,<15严重酸中毒
ABG,base_excess,剩余碱,decimal,mmol/L,-30-30,1925-7,,Y,BE,代谢性酸中毒
ABG,anion_gap,阴离子间隙,decimal,mmol/L,0-40,,,Y,AG=Na-Cl-HCO3,正常8-12

Urinalysis,urine_output,尿量,integer,mL,0-5000,,,Y,24h尿量,少尿<400 mL/24h
Urinalysis,hourly_uop,每小时尿量,decimal,mL/kg/h,0-10,,,Y,UOP,<0.5 mL/kg/h少尿
Urinalysis,anuria,无尿,boolean,,,,,Y,<100 mL/24h,严重AKI
Urinalysis,urine_color,尿色,categorical,,Normal,Dark,Tea_Colored,Red,,,N,正常/深色/茶色/红色,血尿/肌红蛋白尿
Urinalysis,urine_specific_gravity,尿比重,decimal,,1.000-1.040,5811-5,,N,USG,浓缩功能
Urinalysis,urine_ph,尿pH,decimal,,4.5-8.5,5803-2,,N,尿pH,酸碱状态
Urinalysis,urine_protein,尿蛋白,categorical,,Negative,Trace,1+,2+,3+,4+,,,Y,阴性/微量/1-4+,肾小球疾病
Urinalysis,urine_blood,尿潜血,categorical,,Negative,Trace,1+,2+,3+,,,Y,阴性/微量/1-3+,血尿/肌红蛋白尿
Urinalysis,urine_rbc,尿红细胞,integer,个/HPF,0-1000,5808-1,,N,RBC/HPF,肾小球疾病
Urinalysis,urine_wbc,尿白细胞,integer,个/HPF,0-1000,5821-4,,N,WBC/HPF,感染
Urinalysis,urine_casts,尿管型,categorical,,None,Hyaline,Granular,RBC_Casts,WBC_Casts,Muddy_Brown,,,Y,无/透明/颗粒/红细胞/白细胞/泥褐色,ATN/肾小球肾炎
Urinalysis,muddy_brown_casts,泥褐色管型,boolean,,,,,N,ATN特征,肾小管上皮细胞

Urine_Chemistry,urine_sodium,尿钠,decimal,mmol/L,0-300,2956-1,,N,UNa,肾前性<20/肾性>40
