Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,admission_date,入院日期,date,,,,,Y,急诊入院时间,时间零点
Basic_Info,mi_diagnosis_date,AMI确诊日期,date,,,,,Y,心肌梗死确诊时间,诊断时间点
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,危险分层
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,男性风险高

Presentation,symptom_onset_time,症状起始时间,datetime,,,,,Y,胸痛开始时间,时间窗关键
Presentation,chest_pain,胸痛,categorical,,,"Yes,No",,,Y,是否有胸痛,典型症状
Presentation,chest_pain_character,胸痛性质,categorical,,,"Crushing,Pressure,Tightness,Burning,Sharp,Atypical",,,N,疼痛特征,压榨样典型
Presentation,chest_pain_location,胸痛部位,categorical,,,"Substernal,Left_Chest,Epigastric,Diffuse,Other",,,N,疼痛位置,胸骨后典型
Presentation,pain_radiation,放射痛,categorical,,,"Left_Arm,Jaw,Back,Neck,Both_Arms,None,Other",,,N,疼痛放射,左臂/下颌
Presentation,pain_severity,疼痛程度,integer,,0-10,,,N,VAS评分,重度疼痛
Presentation,pain_duration,疼痛持续时间,integer,minutes,0-1440,,,N,胸痛持续分钟数,>20分钟提示MI
Presentation,dyspnea,呼吸困难,categorical,,,"Severe,Moderate,Mild,None",,,N,气促程度,心衰表现
Presentation,diaphoresis,大汗,categorical,,,"Yes,No",,,N,是否大汗,交感激活
Presentation,nausea_vomiting,恶心呕吐,categorical,,,"Yes,No",,,N,是否恶心呕吐,迷走神经反射
Presentation,syncope,晕厥,categorical,,,"Yes,No",,,N,是否晕厥,低血压/心律失常
Presentation,cardiac_arrest,心脏骤停,categorical,,,"Yes,No",,,N,是否院前心脏骤停,最严重表现
Presentation,killip_class,Killip分级,categorical,,,"I,II,III,IV",,,N,Killip心功能分级,预后评估

STEMI_Criteria,stemi_diagnosis,STEMI诊断,categorical,,,"Yes,No",,,Y,是否ST段抬高型心梗,分型关键
STEMI_Criteria,st_elevation,ST段抬高,categorical,,,"Yes,No",,,N,心电图ST抬高,STEMI标准
