Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_date,就诊日期,datetime,,,,,Y,就诊时间,病程
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,老年高危
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征
Basic_Info,body_weight,体重,decimal,kg,0-300,29463-7,,Y,当前体重,潮气量计算

ARF_Type,respiratory_failure_type,呼吸衰竭类型,categorical,,Type_I,Type_II,Type_III,Type_IV,,,Y,I型低氧/II型高碳酸/III型围手术期/IV型休克,病理生理
ARF_Type,onset,起病,categorical,,Acute,Acute_on_Chronic,,,Y,急性/急性加慢性,慢阻肺急性加重

Presentation,dyspnea,呼吸困难,boolean,,,,,Y,气促,主要症状
Presentation,tachypnea,呼吸急促,boolean,,,,,Y,呼吸增快,呼吸窘迫
Presentation,use_of_accessory_muscles,辅助呼吸肌,boolean,,,,,Y,胸锁乳突肌/斜角肌,呼吸做功增加
Presentation,tripod_position,三脚架体位,boolean,,,,,N,端坐呼吸,气道阻塞
Presentation,cyanosis,发绀,boolean,,,,,Y,紫绀,低氧血症
Presentation,altered_mental_status,意识改变,boolean,,,,,Y,嗜睡/躁动/昏迷,CO2潴留/低氧
Presentation,chest_pain,胸痛,boolean,,,,,N,胸痛,肺栓塞/气胸
Presentation,cough,咳嗽,boolean,,,,,N,咳嗽,肺炎/COPD
Presentation,sputum_production,咳痰,boolean,,,,,N,痰液,感染/慢性气道疾病
Presentation,hemoptysis,咯血,boolean,,,,,N,咯血,肺栓塞/肺癌
Presentation,wheezing,喘鸣,boolean,,,,,N,喘息,哮喘/COPD

Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,RR,>30提示严重
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,心率,低氧代偿
Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,收缩压,血流动力学
Vital_Signs,dbp,舒张压,integer,mmHg,0-200,8462-4,,Y,舒张压,灌注
Vital_Signs,spo2,血氧饱和度,decimal,%,0-100,59408-5,,Y,SpO2,<90%呼吸衰竭
Vital_Signs,temperature,体温,decimal,°C,35-42,8310-5,,Y,体温,感染

GCS,gcs_total,GCS总分,integer,,3-15,9269-2,,Y,意识状态,插管指征GCS≤8
GCS,gcs_eye,睁眼反应,integer,,1-4,9267-6,,Y,E,自主4/语言3/疼痛2/无1
GCS,gcs_verbal,语言反应,integer,,1-5,9270-0,,Y,V,定向5/混乱4/单词3/发音2/无1
GCS,gcs_motor,运动反应,integer,,1-6,9268-4,,Y,M,遵嘱6/定位5/躲避4/屈曲3/伸展2/无1

ABG,ph,pH值,decimal,,6.8-7.8,2744-1,,Y,酸碱度,7.35-7.45正常
ABG,pao2,动脉血氧分压,decimal,mmHg,0-600,2703-7,,Y,PaO2,<60 mmHg呼吸衰竭
ABG,paco2,动脉二氧化碳分压,decimal,mmHg,0-150,2019-8,,Y,PaCO2,>50 mmHg高碳酸血症
ABG,hco3,碳酸氢根,decimal,mmol/L,0-50,1959-6,,Y,HCO3-,代谢性成分
ABG,base_excess,剩余碱,decimal,mmol/L,-30-30,1925-7,,Y,BE,代谢性酸碱
ABG,sao2,动脉血氧饱和度,decimal,%,0-100,2708-6,,Y,SaO2,氧合
ABG,pao2_fio2_ratio,氧合指数,decimal,,0-600,50984-4,,Y,PaO2/FiO2,<300 ARDS
ABG,aa_gradient,A-a梯度,decimal,mmHg,0-100,,,Y,A-aDO2,氧合障碍

Acid_Base,acidosis,酸中毒,boolean,,,,,Y,pH<7.35,呼吸性/代谢性
Acid_Base,alkalosis,碱中毒,boolean,,,,,Y,pH>7.45,呼吸性/代谢性
Acid_Base,respiratory_acidosis,呼吸性酸中毒,boolean,,,,,Y,pH<7.35+PaCO2>45,通气不足
Acid_Base,metabolic_acidosis,代谢性酸中毒,boolean,,,,,Y,pH<7.35+HCO3<22,乳酸/酮症酸中毒
Acid_Base,respiratory_alkalosis,呼吸性碱中毒,boolean,,,,,N,pH>7.45+PaCO2<35,过度通气
Acid_Base,compensation,代偿,categorical,,None,Partial,Complete,,,Y,无/部分/完全,代偿状态

Etiology,pneumonia,肺炎,boolean,,,,,Y,感染,常见病因
Etiology,copd_exacerbation,COPD急性加重,boolean,,,,,Y,AECOPD,慢性气道疾病
Etiology,asthma_exacerbation,哮喘急性发作,boolean,,,,,N,急性哮喘,气道高反应
Etiology,pulmonary_edema,肺水肿,boolean,,,,,Y,心源性/非心源性,肺泡积液
Etiology,ards,急性呼吸窘迫综合征,boolean,,,,,Y,ARDS,弥漫肺损伤
Etiology,pulmonary_embolism,肺栓塞,boolean,,,,,N,PE,通气血流比例失调
Etiology,pneumothorax,气胸,boolean,,,,,N,自发/张力性,肺萎陷
Etiology,pleural_effusion,胸腔积液,boolean,,,,,N,大量胸水,限制性
Etiology,neuromuscular_disease,神经肌肉疾病,boolean,,,,,N,GBS/重症肌无力,通气泵衰竭
Etiology,drug_overdose,药物过量,boolean,,,,,N,阿片类/镇静剂,呼吸抑制
Etiology,sepsis,脓毒症,boolean,,,,,Y,感染性ARDS,全身炎症

Chest_Exam,inspection,视诊,categorical,,Symmetric,Asymmetric,Paradoxical,,,Y,对称/不对称/反常,胸壁运动
Chest_Exam,palpation,触诊,categorical,,Normal,Decreased_Fremitus,Increased_Fremitus,,,N,正常/触觉语颤减弱/增强,实变/积液
Chest_Exam,percussion,叩诊,categorical,,Resonant,Dull,Hyperresonant,,,Y,清音/浊音/过清音,积液/气胸
Chest_Exam,auscultation,听诊,categorical,,Clear,Crackles,Wheezes,Decreased,Absent,,,Y,清晰/湿啰音/哮鸣音/减弱/消失,肺部病变

Labs,wbc,白细胞计数,decimal,×10⁹/L,0-100,6690-2,,Y,WBC,感染
Labs,neutrophil_percent,中性粒细胞百分比,decimal,%,0-100,770-8,,Y,N%,细菌感染
Labs,procalcitonin,降钙素原,decimal,ng/mL,0-200,33959-8,,N,PCT,细菌感染
Labs,crp,C反应蛋白,decimal,mg/L,0-500,1988-5,,N,CRP,炎症
Labs,lactate,乳酸,decimal,mmol/L,0-20,2524-7,,Y,Lac,组织低灌注
Labs,bnp,脑钠肽,decimal,pg/mL,0-10000,30934-4,,N,BNP,心源性肺水肿
Labs,troponin,肌钙蛋白,decimal,ng/mL,0-500,10839-9,,N,cTn,心肌损伤
Labs,d_dimer,D-二聚体,decimal,mg/L,0-50,48065-7,,N,D-Dimer,肺栓塞
Labs,creatinine,肌酐,decimal,μmol/L,0-1500,2160-0,,Y,Cr,肾功能

Imaging,chest_xray,胸部X线,categorical,,Normal,Infiltrates,Consolidation,Effusion,Pneumothorax,Pulmonary_Edema,ARDS,,,Y,正常/浸润/实变/积液/气胸/肺水肿/ARDS,影像学
Imaging,cxr_bilateral,双侧病变,boolean,,,,,N,双肺浸润,ARDS
Imaging,ct_chest,胸部CT,categorical,,Not_Done,Pneumonia,PE,ILD,Malignancy,,,N,未做/肺炎/PE/间质病/肿瘤,详细评估

ARDS_Criteria,ards_diagnosis,ARDS诊断,boolean,,,,,Y,Berlin标准,ARDS
ARDS_Criteria,ards_timing,发病时间,categorical,,NA,Within_1_week,,,Y,症状后1周内,急性起病
ARDS_Criteria,bilateral_infiltrates,双肺浸润,boolean,,,,,Y,影像学,心衰不能解释
ARDS_Criteria,non_cardiogenic,非心源性,boolean,,,,,Y,非心衰,PAWP≤18
ARDS_Criteria,ards_severity,ARDS严重度,categorical,,NA,Mild,Moderate,Severe,,,Y,轻度200<P/F≤300/中度100<P/F≤200/重度P/F≤100,Berlin分级

Severity,respiratory_rate_severity,呼吸频率,categorical,,Normal,Mild,Moderate,Severe,,,Y,<20/20-24/25-29/≥30,严重度
Severity,hypoxemia_severity,低氧血症,categorical,,None,Mild,Moderate,Severe,,,Y,SpO2>94%/90-94%/85-89%/<85%,氧合障碍
Severity,work_of_breathing,呼吸做功,categorical,,Normal,Increased,Severe,,,Y,正常/增加/严重,呼吸肌疲劳

Oxygen_Therapy,supplemental_oxygen,氧疗,boolean,,,,,Y,氧气治疗,低氧血症
Oxygen_Therapy,oxygen_delivery,供氧方式,categorical,,Nasal_Cannula,Face_Mask,Non_Rebreather,HFNC,NIV,Mechanical_Ventilation,,,Y,鼻导管/面罩/无复吸/高流量/无创通气/有创通气,氧疗阶梯
Oxygen_Therapy,fio2,吸氧浓度,decimal,%,21-100,3150-0,,Y,FiO2,21%-100%
Oxygen_Therapy,oxygen_flow_rate,氧流量,integer,L/min,0-60,,,N,L/min,鼻导管/面罩
Oxygen_Therapy,spo2_target,SpO2目标,categorical,,88_92_percent,92_96_percent,94_98_percent,,,Y,88-92% COPD/92-96%正常/94-98%其他,滴定氧疗

HFNC,hfnc_used,高流量鼻导管,boolean,,,,,N,HFNC,氧疗升级
HFNC,hfnc_flow_rate,HFNC流速,integer,L/min,0-70,,,N,30-60 L/min,高流量
HFNC,hfnc_fio2,HFNC FiO2,decimal,%,21-100,,,N,滴定FiO2,氧浓度

NIV,niv_used,无创通气,boolean,,,,,Y,NIV,避免插管
NIV,niv_mode,NIV模式,categorical,,NA,CPAP,BiPAP,,,N,持续正压/双水平,模式选择
NIV,niv_ipap,吸气压,integer,cmH2O,0-30,,,N,IPAP,通气支持
NIV,niv_epap,呼气压,integer,cmH2O,0-20,,,N,EPAP,PEEP
NIV,niv_success,NIV成功,boolean,,,,,N,避免插管,治疗成功
NIV,niv_failure,NIV失败,boolean,,,,,N,需要插管,插管指征

Intubation,intubation_performed,气管插管,boolean,,,,,Y,有创气道,呼吸衰竭
Intubation,intubation_indication,插管指征,categorical,,NA,Hypoxemia,Hypercapnia,Airway_Protection,Work_of_Breathing,Cardiac_Arrest,,,Y,低氧/高碳酸/气道保护/呼吸做功/心脏骤停,指征
Intubation,rsi,快速顺序插管,boolean,,,,,N,RSI,意识清醒
Intubation,ett_size,气管导管尺寸,decimal,mm,5-10,,,N,7.0-8.0成人,导管号
Intubation,ett_depth,插管深度,integer,cm,10-30,,,N,21-23 cm口角,导管位置

Mechanical_Ventilation,mechanical_ventilation,机械通气,boolean,,,,,Y,MV,呼吸支持
