Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_time,就诊时间,datetime,,,,,Y,到达急诊时间,时间窗
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,老年高危
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征
Basic_Info,body_weight,体重,decimal,kg,0-300,29463-7,,Y,当前体重,溶栓剂量

Presentation,symptom_onset_time,症状起始时间,datetime,,,,,Y,LKW/发病时间,溶栓/取栓时间窗
Presentation,last_known_well,最后正常时间,datetime,,,,,Y,LKW,不明确起病时间
Presentation,witnessed_onset,目击发病,boolean,,,,,Y,有无目击,起病时间可靠性
Presentation,onset_to_door_time,发病至到院时间,integer,min,0-10080,,,Y,OTD,时间窗

Chief_Complaint,focal_weakness,肢体无力,boolean,,,,,Y,一侧肢体无力,皮质脊髓束
Chief_Complaint,facial_droop,面部下垂,boolean,,,,,Y,口角歪斜,面神经
Chief_Complaint,speech_disturbance,言语障碍,boolean,,,,,Y,失语/构音障碍,优势半球
Chief_Complaint,vision_loss,视力丧失,boolean,,,,,N,单眼/双眼黑矇,后循环
Chief_Complaint,ataxia,共济失调,boolean,,,,,N,肢体协调障碍,小脑
Chief_Complaint,vertigo,眩晕,boolean,,,,,N,眩晕,后循环
Chief_Complaint,headache,头痛,boolean,,,,,N,剧烈头痛,出血性卒中
Chief_Complaint,altered_consciousness,意识改变,boolean,,,,,Y,意识障碍,大面积脑梗/脑出血

FAST,fast_face,FAST-面部,boolean,,,,,Y,面部不对称,快速评估
FAST,fast_arm,FAST-上肢,boolean,,,,,Y,上肢漂移,运动功能
FAST,fast_speech,FAST-言语,boolean,,,,,Y,言语不清,语言功能
FAST,fast_time,FAST-时间,datetime,,,,,Y,记录发病时间,时间窗

NIHSS,nihss_total_score,NIHSS总分,integer,,0-42,,,Y,美国国立卫生院卒中量表,卒中严重度
NIHSS,nihss_1a_consciousness,1a意识水平,integer,,0-3,,,Y,清醒0/嗜睡1/昏睡2/昏迷3,意识状态
NIHSS,nihss_1b_orientation,1b定向力,integer,,0-2,,,Y,正确回答月份年龄,定向
NIHSS,nihss_1c_commands,1c指令,integer,,0-2,,,Y,睁闭眼握拳,服从指令
NIHSS,nihss_2_gaze,2凝视,integer,,0-2,,,Y,正常0/部分1/完全2,水平凝视
NIHSS,nihss_3_visual,3视野,integer,,0-3,,,Y,无缺损0/部分1/完全2/双侧3,视野
NIHSS,nihss_4_facial,4面瘫,integer,,0-3,,,Y,无0/轻微1/部分2/完全3,面神经
NIHSS,nihss_5a_motor_left_arm,5a左上肢,integer,,0-4,,,Y,无漂移0/漂移1/抗重力2/无抗重力3/无运动4,左上肢运动
NIHSS,nihss_5b_motor_right_arm,5b右上肢,integer,,0-4,,,Y,同上,右上肢运动
NIHSS,nihss_6a_motor_left_leg,6a左下肢,integer,,0-4,,,Y,同上,左下肢运动
NIHSS,nihss_6b_motor_right_leg,6b右下肢,integer,,0-4,,,Y,同上,右下肢运动
NIHSS,nihss_7_ataxia,7共济失调,integer,,0-2,,,Y,无0/一肢1/两肢2,小脑
NIHSS,nihss_8_sensory,8感觉,integer,,0-2,,,Y,正常0/轻中度1/重度2,感觉
NIHSS,nihss_9_language,9语言,integer,,0-3,,,Y,无失语0/轻度1/重度2/失语3,优势半球
NIHSS,nihss_10_dysarthria,10构音障碍,integer,,0-2,,,Y,正常0/轻中度1/重度2,构音
NIHSS,nihss_11_extinction,11忽视,integer,,0-2,,,Y,无0/一种1/两种2,非优势半球
NIHSS,nihss_severity,NIHSS严重度,categorical,,Minor,Moderate,Moderate_Severe,Severe,,,Y,轻度0-4/中度5-15/中重度16-20/重度21-42,严重程度

mRS,pre_stroke_mrs,卒中前mRS,integer,,0-5,,,Y,改良Rankin量表,基线功能状态
mRS,pre_stroke_independent,卒中前独立,boolean,,,,,Y,mRS 0-2,独立生活

Risk_Factors,hypertension,高血压,boolean,,,,,Y,既往高血压,最重要危险因素
Risk_Factors,diabetes,糖尿病,boolean,,,,,Y,DM,微血管病变
Risk_Factors,hyperlipidemia,高脂血症,boolean,,,,,Y,血脂异常,动脉粥样硬化
Risk_Factors,atrial_fibrillation,心房颤动,boolean,,,,,Y,房颤,心源性栓塞
Risk_Factors,smoking,吸烟,categorical,,Never,Former,Current,,,Y,从不/既往/当前,内皮损伤
Risk_Factors,previous_stroke_tia,既往卒中/TIA,boolean,,,,,Y,卒中史,再发高危
Risk_Factors,cad,冠心病,boolean,,,,,N,CAD,动脉粥样硬化
Risk_Factors,chf,心力衰竭,boolean,,,,,N,CHF,低灌注
Risk_Factors,anticoagulant_use,抗凝药使用,boolean,,,,,Y,华法林/NOAC,出血风险

Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,收缩压,溶栓禁忌>185
Vital_Signs,dbp,舒张压,integer,mmHg,0-200,8462-4,,Y,舒张压,溶栓禁忌>110
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,心率,房颤线索
Vital_Signs,temperature,体温,decimal,°C,35-42,8310-5,,Y,体温,基线
Vital_Signs,spo2,血氧饱和度,decimal,%,0-100,59408-5,,Y,SpO2,氧合
Vital_Signs,blood_glucose,血糖,decimal,mmol/L,0-50,2345-7,,Y,POC血糖,低血糖模拟卒中

Labs,hemoglobin,血红蛋白,decimal,g/L,0-250,718-7,,Y,Hb,基线
Labs,platelet,血小板,decimal,×10⁹/L,0-1000,777-3,,Y,PLT,<100溶栓相对禁忌
Labs,wbc,白细胞计数,decimal,×10⁹/L,0-100,6690-2,,Y,WBC,炎症
Labs,creatinine,肌酐,decimal,μmol/L,0-1500,2160-0,,Y,Cr,肾功能
Labs,glucose,血糖,decimal,mmol/L,0-50,2345-7,,Y,GLU,低血糖/高血糖
Labs,troponin,肌钙蛋白,decimal,ng/mL,0-500,10839-9,,N,cTn,心梗鉴别

Coagulation,pt,凝血酶原时间,decimal,s,0-100,5902-2,,Y,PT,溶栓前必查
Coagulation,inr,国际标准化比值,decimal,,0-10,6301-6,,Y,INR,>1.7溶栓禁忌
Coagulation,aptt,活化部分凝血活酶时间,decimal,s,0-200,3173-2,,Y,APTT,肝素使用

CT_Brain,ncct_performed,头颅CT,boolean,,,,,Y,NCCT,首选影像
CT_Brain,door_to_imaging_time,Door-to-Imaging时间,integer,min,0-500,,,Y,DTI,目标<20min
CT_Brain,ncct_result,CT结果,categorical,,Normal,Ischemic_Stroke,ICH,SAH,Old_Infarct,Tumor,,,Y,正常/缺血性卒中/脑出血/蛛网膜下腔出血/陈旧梗死/肿瘤,诊断
CT_Brain,early_ischemic_changes,早期缺血改变,boolean,,,,,N,ASPECTS,超早期CT
CT_Brain,hemorrhage_location,出血部位,categorical,,None,Basal_Ganglia,Thalamus,Lobar,Brainstem,Cerebellum,IVH,,,N,无/基底节/丘脑/脑叶/脑干/小脑/脑室,出血位置
CT_Brain,hemorrhage_volume,出血量,decimal,mL,0-500,,,N,出血体积,手术指征
CT_Brain,midline_shift,中线移位,decimal,mm,0-30,,,N,占位效应,颅高压

ASPECTS,aspects_score,ASPECTS评分,integer,,0-10,,,N,Alberta卒中早期CT评分,早期梗死体积
ASPECTS,aspects_interpretation,ASPECTS判读,categorical,,NA,Favorable,Unfavorable,,,N,≥6有利/≤5不利,取栓预后

CTA,cta_performed,CT血管造影,boolean,,,,,N,CTA,血管评估
CTA,lvo_present,大血管闭塞,boolean,,,,,N,LVO,取栓指征
CTA,occlusion_site,闭塞部位,categorical,,None,ICA,M1,M2,ACA,Basilar,PCA,Vertebral,,,N,无/颈内动脉/大脑中动脉M1/M2/大脑前动脉/基底动脉/大脑后动脉/椎动脉,闭塞位置
CTA,collateral_score,侧支循环,categorical,,NA,Good,Moderate,Poor,,,N,良好/中等/差,灌注代偿

CTP,ctp_performed,CT灌注成像,boolean,,,,,N,CTP,组织窗
CTP,penumbra_present,缺血半暗带,boolean,,,,,N,可挽救脑组织,取栓获益
CTP,core_volume,核心梗死体积,decimal,mL,0-500,,,N,不可逆损伤,预后
CTP,mismatch_ratio,错配比,decimal,,0-10,,,N,Penumbra/Core,组织窗评估

MRI,mri_performed,头颅MRI,boolean,,,,,N,MRI,精确诊断
MRI,dwi_lesion,DWI病灶,boolean,,,,,N,扩散受限,急性梗死
MRI,flair_mismatch,DWI-FLAIR错配,boolean,,,,,N,FLAIR未见,<4.5h提示
MRI,mra_performed,MRA,boolean,,,,,N,磁共振血管造影,血管狭窄/闭塞

Stroke_Subtype,toast_classification,TOAST分型,categorical,,LAA,CE,SVO,ODE,UDE,,,Y,大动脉粥样硬化/心源性栓塞/小血管闭塞/其他明确病因/不明原因,病因分型
Stroke_Subtype,oxfordshire,Oxfordshire分型,categorical,,TACI,PACI,LACI,POCI,,,N,完全前循环/部分前循环/腔隙性/后循环,临床分型

Thrombolysis,rt_pa_eligible,rt-PA适应证,boolean,,,,,Y,溶栓适应证评估,时间窗+无禁忌
Thrombolysis,rt_pa_given,rt-PA溶栓,boolean,,,,,Y,阿替普酶,标准治疗
Thrombolysis,rt_pa_dose,rt-PA剂量,decimal,mg,0-100,,,N,0.9 mg/kg(最大90mg),10%推注+90%输注
Thrombolysis,door_to_needle_time,Door-to-Needle时间,integer,min,0-500,,,Y,DTN,目标<60min
Thrombolysis,onset_to_needle_time,发病至溶栓时间,integer,min,0-540,,,Y,OTN,<4.5h(部分<9h)
Thrombolysis,contraindications,溶栓禁忌证,string,,,,,N,绝对/相对禁忌,禁忌原因

Thrombectomy,evt_eligible,取栓适应证,boolean,,,,,N,机械取栓评估,LVO+时间窗
Thrombectomy,evt_performed,机械取栓,boolean,,,,,N,EVT,大血管闭塞
Thrombectomy,door_to_groin_time,Door-to-Groin时间,integer,min,0-500,,,N,DTG,目标<90min
Thrombectomy,onset_to_groin_time,发病至穿刺时间,integer,min,0-1440,,,N,OTG,<6h前循环/<24h后循环
Thrombectomy,recanalization,再通,categorical,,NA,TICI_0,TICI_1,TICI_2a,TICI_2b,TICI_3,,,N,0-3级,目标TICI 2b-3
Thrombectomy,device_type,取栓装置,categorical,,NA,Stent_Retriever,Aspiration,Combined,,,N,支架取栓/抽吸/联合,技术
Thrombectomy,passes,取栓次数,integer,,0-10,,,N,操作次数,成功率

Bridging_Therapy,bridging_therapy,桥接治疗,boolean,,,,,N,溶栓+取栓,联合治疗
Bridging_Therapy,drip_and_ship,溶栓后转运,boolean,,,,,N,基层溶栓后转上级取栓,区域协作

Blood_Pressure,bp_management,血压管理,categorical,,Permissive_Hypertension,Antihypertensive,,,N,允许性高血压/降压,溶栓vs未溶栓
Blood_Pressure,bp_target_sbp,目标收缩压,integer,mmHg,0-300,,,N,溶栓<180/未溶栓<220,血压控制目标
Blood_Pressure,antihypertensive_used,降压药,string,,,,,N,拉贝洛尔/尼卡地平,静脉降压

Antiplatelet,aspirin,阿司匹林,boolean,,,,,Y,ASA,缺血性卒中二级预防
Antiplatelet,aspirin_timing,ASA开始时间,categorical,,NA,Within_24h,After_24h,,,N,24h内/24h后,溶栓后24h
Antiplatelet,clopidogrel,氯吡格雷,boolean,,,,,N,氯吡格雷,小卒中DAPT
Antiplatelet,dapt,双抗,boolean,,,,,N,ASA+氯吡格雷,轻型卒中/TIA
Antiplatelet,dapt_duration,双抗疗程,categorical,,NA,21_days,90_days,,,N,21天/90天,CHANCE/POINT研究

Anticoagulation,anticoagulation,抗凝,boolean,,,,,N,房颤抗凝,心源性栓塞预防
Anticoagulation,anticoagulant_type,抗凝药,categorical,,NA,Warfarin,Dabigatran,Rivaroxaban,Apixaban,Edoxaban,,,N,华法林/达比加群/利伐沙班/阿哌沙班/依度沙班,NOAC优于华法林
Anticoagulation,anticoagulation_timing,抗凝开始时间,categorical,,NA,Immediate,1_3_days,4_14_days,,,N,即刻/1-3天/4-14天,梗死面积决定

Statin,statin_therapy,他汀治疗,boolean,,,,,Y,高强度他汀,二级预防
Statin,statin_type,他汀类型,categorical,,NA,Atorvastatin,Rosuvastatin,,,N,阿托伐他汀/瑞舒伐他汀,高强度

Neuroprotection,neuroprotective_agents,神经保护剂,string,,,,,N,依达拉奉/丁苯酞,神经保护
Neuroprotection,hypothermia,亚低温治疗,boolean,,,,,N,体温管理,降低代谢

