字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行肾上腺功能检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行肾上腺功能检查的临床指征。<br>**建议值**: `高血压筛查`, `库欣综合征`, `原醛症`, `嗜铬细胞瘤`, `肾上腺功能不全`, `肾上腺偶发瘤`",原醛症
baselineCortisol.morning,基础皮质醇.晨起皮质醇,Number,"晨起8点血清皮质醇。<br>单位: nmol/L<br>**参考范围**: 171-536",380
baselineCortisol.midnight,基础皮质醇.午夜皮质醇,Number,"午夜血清皮质醇。<br>单位: nmol/L<br>**参考范围**: <50",25
baselineCortisol.salivary,基础皮质醇.唾液皮质醇,Number,"唾液皮质醇（晚11点）。<br>单位: nmol/L<br>**参考范围**: <9.3",3.8
urineFreeCortisol,24小时尿游离皮质醇 (UFC),Number,"24小时尿游离皮质醇。<br>单位: nmol/24h<br>**参考范围**: 55-248",180
dexamethasoneSuppression.lowDose.cortisol1mg,地塞米松抑制试验.小剂量.1mg后皮质醇,Number,"1mg地塞米松过夜抑制试验后晨起皮质醇。<br>单位: nmol/L<br>**正常抑制**: <50",35
dexamethasoneSuppression.lowDose.cortisol0_5mg,地塞米松抑制试验.小剂量.0.5mg后皮质醇,Number,"0.5mg地塞米松过夜抑制试验后晨起皮质醇。<br>单位: nmol/L<br>**正常抑制**: <50",28
dexamethasoneSuppression.highDose.cortisol8mg,地塞米松抑制试验.大剂量.8mg后皮质醇,Number,"8mg地塞米松过夜抑制试验后晨起皮质醇。<br>单位: nmol/L",65
dexamethasoneSuppression.highDose.suppressionRate,地塞米松抑制试验.大剂量.抑制率,Number,"大剂量地塞米松抑制率。<br>单位: %<br>**垂体性**: >50%抑制",68
acthStimulationTest.baseline,ACTH刺激试验.基础皮质醇,Number,"ACTH刺激试验基础皮质醇。<br>单位: nmol/L",280
acthStimulationTest.peak30min,ACTH刺激试验.30分钟皮质醇,Number,"ACTH注射后30分钟皮质醇。<br>单位: nmol/L<br>**正常反应**: >500或较基础值升高>200",680
acthStimulationTest.peak60min,ACTH刺激试验.60分钟皮质醇,Number,"ACTH注射后60分钟皮质醇。<br>单位: nmol/L<br>**正常反应**: >500",720
acthStimulationTest.response,ACTH刺激试验.反应,String,"ACTH刺激试验反应评估。<br>**建议值**: `正常`, `减低`, `无反应`",正常
acth,促肾上腺皮质激素 (ACTH),Number,"血浆ACTH。<br>单位: pmol/L<br>**参考范围**: 2.2-17.6",8.5
aldosterone.supine,醛固酮.卧位,Number,"卧位血浆醛固酮浓度。<br>单位: ng/dL<br>**参考范围**: 5-30",35
aldosterone.upright,醛固酮.立位,Number,"立位血浆醛固酮浓度。<br>单位: ng/dL",45
renin.supine,肾素.卧位,Number,"卧位血浆肾素活性。<br>单位: ng/mL/h<br>**参考范围**: 0.2-2.3",0.5
renin.upright,肾素.立位,Number,"立位血浆肾素活性。<br>单位: ng/mL/h",0.8
