字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,肾上腺意外瘤评估日期,2025-10-01
patientID,患者ID,String,患者唯一标识符,P123456
discoveryContext,发现背景,String,"偶然发现的影像学检查类型。<br>**建议值**: `腹部CT`, `胸部CT`, `MRI`, `PET-CT`, `超声`",腹部CT
discoveryReason,检查原因,String,"进行影像学检查的原因(必须非肾上腺疾病相关)。<br>**建议值**: `腹痛`, `外伤`, `肿瘤分期`, `体检`, `其他器官疾病`",腹痛
patientAge,患者年龄,Number,"患者年龄。<br>单位: 岁<br>**流行病学**: <30岁<1%，>70岁7-10%",58
knownMalignancy,已知恶性肿瘤病史,Boolean,是否有已知恶性肿瘤病史(影响转移瘤可能性),false
malignancyType,恶性肿瘤类型,String,"原发恶性肿瘤类型。<br>**常见转移至肾上腺**: 肺癌(30-50%)、乳腺癌、黑色素瘤、肾癌<br>**建议值**: `无`, `肺癌`, `乳腺癌`, `黑色素瘤`, `肾癌`, `结肠癌`, `其他`",无
familyHistory.endocrine,家族史.内分泌肿瘤,Boolean,"内分泌肿瘤家族史(MEN1、MEN2、VHL、NF1)",false
familyHistory.syndrome,家族史.遗传综合征,String,"遗传综合征类型。<br>**建议值**: `无`, `MEN1`, `MEN2`, `VHL`, `NF1`, `Lynch综合征`, `Carney复合征`",无
symptoms.cushingoid,症状.库欣综合征表现,Boolean,"是否有典型库欣综合征症状(满月脸、水牛背、紫纹、向心性肥胖)",false
symptoms.hypertension,症状.高血压,Boolean,是否存在高血压,true
symptoms.hypertensionType,症状.高血压类型,String,"高血压类型。<br>**建议值**: `无高血压`, `轻度高血压`, `难治性高血压`, `阵发性高血压(提示嗜铬细胞瘤)`",难治性高血压
symptoms.hypokalemia,症状.低钾血症,Boolean,是否存在低钾血症(提示原醛症),false
symptoms.pheochromocytomaTr iad,症状.嗜铬细胞瘤三联征,Boolean,"是否有嗜铬细胞瘤三联征(头痛、心悸、出汗)",false
symptoms.virilization,症状.男性化,Boolean,女性是否出现男性化表现,false
symptoms.feminization,症状.女性化,Boolean,男性是否出现女性化表现,false
symptoms.weightGain,症状.体重增加,Boolean,近期是否有不明原因体重增加,false
symptoms.osteoporosis,症状.骨质疏松,Boolean,是否有骨质疏松或骨折史,false
symptoms.diabetes,症状.糖尿病,Boolean,是否合并糖尿病,true
tumorCharacteristics.laterality,肿瘤特征.侧别,String,"肿瘤侧别。<br>**建议值**: `左侧`, `右侧`, `双侧(10-15%)`",右侧
tumorCharacteristics.size,肿瘤特征.最大径,Number,"肿瘤最大径。<br>单位: cm<br>**诊断标准**: ≥1 cm<br>**恶性风险**: >4 cm风险↑10-25%",3.2
tumorCharacteristics.bilateralLesions,肿瘤特征.双侧病变,Boolean,是否为双侧肾上腺病变(需鉴别BMAH、转移瘤、遗传综合征),false
tumorCharacteristics.multipleLesions,肿瘤特征.多发病变,Boolean,同侧是否多发病变,false
ctImaging.performed,CT影像.已完成,Boolean,是否完成肾上腺CT检查,true
ctImaging.unenhancedHU,CT影像.平扫HU值,Number,"CT平扫密度(Hounsfield单位)。<br>**关键指标**: <10 HU=富脂质腺瘤(良性，<1%恶性)，10-20 HU=中等可疑(5-10%恶性)，>20 HU=高度可疑(20-30%恶性)",15
ctImaging.huInterpretation,CT影像.HU值解读,String,"平扫HU值解读。<br>**建议值**: `<10 HU(富脂质腺瘤，良性)`, `10-20 HU(中等可疑)`, `>20 HU(高度可疑恶性/PHEO/转移瘤)`",10-20 HU(中等可疑)
ctImaging.enhancedPeakHU,CT影像.增强峰值HU,Number,"增强扫描峰值HU(注射对比剂后60秒)。<br>单位: HU<br>**说明**: 仅HU≥10时需做增强扫描",85
ctImaging.delayed10minHU,CT影像.延迟10分钟HU,Number,"延迟10-15分钟HU值。<br>单位: HU",45
ctImaging.apw,CT影像.绝对廓清率APW,Number,"绝对廓清率(Absolute Percentage Washout)。<br>计算: [(峰值HU - 延迟HU) / (峰值HU - 平扫HU)] × 100%<br>**判读**: >60%=良性腺瘤(敏感性88%，特异性96%)，<60%=恶性可能↑",57
ctImaging.rpw,CT影像.相对廓清率RPW,Number,"相对廓清率(Relative Percentage Washout)。<br>计算: [(峰值HU - 延迟HU) / 峰值HU] × 100%<br>**判读**: >40%=良性腺瘤",47
ctImaging.washoutInterpretation,CT影像.廓清率解读,String,"廓清率解读。<br>**建议值**: `APW>60%或RPW>40%(良性腺瘤)`, `APW<60%(恶性可能↑，需进一步评估)`",APW<60%(恶性可能↑，需进一步评估)
ctImaging.border,CT影像.边界,String,"肿瘤边界。<br>**建议值**: `清晰规则(良性)`, `不规则`, `模糊(提示恶性)`",清晰规则(良性)
ctImaging.density,CT影像.密度均匀性,String,"肿瘤密度。<br>**建议值**: `均匀(良性)`, `不均匀`, `坏死区(提示恶性)`",均匀(良性)
ctImaging.calcification,CT影像.钙化,Boolean,是否存在钙化(可见于腺瘤、恶性、出血),false
ctImaging.hemorrhage,CT影像.出血征象,Boolean,是否有出血征象(高密度),false
ctImaging.invasion,CT影像.周围侵犯,Boolean,是否侵犯周围组织或血管(提示恶性),false
ctImaging.lymphNodes,CT影像.淋巴结肿大,Boolean,是否有肿大淋巴结(提示恶性),false
mriImaging.performed,MRI影像.已完成,Boolean,是否完成MRI检查(CT禁忌或补充检查),false
mriImaging.csi,MRI影像.化学位移成像,Boolean,是否完成化学位移成像(CSI),false
mriImaging.sii,MRI影像.信号强度指数SII,Number,"信号强度指数。<br>计算: [(同相位SI - 反相位SI) / 同相位SI] × 100%<br>**判读**: >16.5%=富脂质腺瘤(良性)",未完成
mriImaging.t2Signal,MRI影像.T2WI信号,String,"T2加权像信号强度。<br>**建议值**: `等信号`, `稍高信号`, `明显高信号('灯泡征'，提示嗜铬细胞瘤)`",未完成
mriImaging.dwiSignal,MRI影像.DWI信号,String,"弥散加权成像信号。<br>**建议值**: `低信号`, `等信号`, `高信号(提示恶性)`",未完成
mriImaging.adcValue,MRI影像.ADC值,Number,"表观弥散系数。<br>单位: ×10⁻³ mm²/s<br>**说明**: 低ADC值提示恶性",未完成
petCtImaging.performed,PET-CT影像.已完成,Boolean,"是否完成18F-FDG PET-CT(适应证: 已知恶性肿瘤史或高度怀疑ACC)",false
petCtImaging.suvMax,PET-CT影像.SUVmax,Number,"最大标准化摄取值。<br>**判读**: >3.4 + 患侧/健侧比值>1.5 → 恶性可能大",未完成
petCtImaging.lesionToLiverRatio,PET-CT影像.病灶/肝脏比值,Number,"患侧SUV/健侧SUV比值。<br>**判读**: >1.5提示恶性",未完成
petCtImaging.interpretation,PET-CT影像.解读,String,"PET-CT解读。<br>**建议值**: `低代谢(良性腺瘤)`, `高代谢(恶性可能)`, `未完成`",未完成
imagingBasedMalignancyRisk,影像学恶性风险评估,String,"综合影像学恶性风险。<br>**建议值**: `低风险(<5%)`, `中风险(5-20%)`, `高风险(>20%)`",中风险(5-20%)
hormonalScreening.dst1mg,激素筛查.1mg地塞米松抑制试验,Boolean,是否完成1mg DST(所有意外瘤必查),true
