字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
encounterDate,就诊日期,Date,本次就诊日期,2025-01-15
encounterType,就诊类型,String,"**建议值**: `急诊`, `住院`, `ICU`, `术后`, `门诊发现`",ICU

diagnosisInfo.aki,诊断.AKI诊断,String,"**KDIGO标准**(符合以下任一条):<br>**48h内SCr升高≥26.5 μmol/L(≥0.3 mg/dL)**<br>**或7天内SCr升高≥基线值1.5倍**<br>**或尿量<0.5 mL/kg/h持续6小时**<br>**建议值**: `是`, `否`, `疑似AKI`",是
diagnosisInfo.stage,诊断.KDIGO分期,String,"**KDIGO AKI分期**:<br>**1期**: SCr升高1.5-1.9倍基线值,或升高≥26.5 μmol/L;尿量<0.5 mL/kg/h持续6-12h<br>**2期**: SCr升高2.0-2.9倍基线值;尿量<0.5 mL/kg/h持续≥12h<br>**3期**: SCr升高≥3倍基线值,或SCr≥353.6 μmol/L(≥4.0 mg/dL),或启动肾脏替代治疗(RRT),或<18岁eGFR降至<35;尿量<0.3 mL/kg/h持续≥24h或无尿≥12h<br>**建议值**: `1期`, `2期`, `3期`, `未分期`",2期
diagnosisInfo.baseline,诊断.基线肾功能,String,"**基线SCr**: 发病前7-365天内最近一次稳定值,或入院时最低值,或估算值(MDRD反算,假设基线eGFR 75)。<br>**示例**: `基线SCr 88 μmol/L(3个月前)`, `入院后最低值SCr 92 μmol/L`, `估算基线SCr 106 μmol/L(MDRD反算)`,入院后最低值SCr 92 μmol/L

clinicalContext.setting,临床背景.发生场景,String,"**社区获得性AKI**: 入院时已存在<br>**医院获得性AKI**: 住院期间发生<br>**建议值**: `社区获得性`, `医院获得性(术后)`, `医院获得性(ICU)`, `医院获得性(造影剂后)`, `医院获得性(药物相关)`",医院获得性(术后)
clinicalContext.ckd,临床背景.慢性肾病史,String,"**AKD**: Acute Kidney Disease(急性肾病,AKI持续7-90天)<br>**CKD**: Chronic Kidney Disease(慢性肾病,≥3个月)<br>**AKI-CKD**: AKI叠加CKD<br>**建议值**: `无CKD(单纯AKI)`, `CKD G3a-G5基础上发生AKI`, `不明(基线肾功能未知)`",无CKD

akiType.category,AKI类型.分类,String,"**肾前性AKI(55%)**: 有效循环血量↓→肾灌注↓,肾实质无损伤,及时纠正可逆<br>**肾性AKI(40%)**: 肾实质损伤(ATN/AIN/肾小球肾炎/血管病)<br>**肾后性AKI(5%)**: 尿路梗阻<br>**建议值**: `肾前性`, `肾性`, `肾后性`, `混合型`, `待明确`",肾性
